Release Date,Report Month,Time,Actual%,Forecast%,Previous%
06/12/2024,Nov,18:00,0.27,0.2,-0.13
08/11/2024,Oct,18:00,-0.13,0.16,0.24
07/10/2024,Sep,18:00,0.24,0.26,0.0
06/09/2024,Aug,18:00,0.0,0.22,0.2
08/08/2024,Jul,18:00,0.2,0.29,0.32
08/07/2024,Jun,18:00,0.32,0.27,0.43
11/06/2024,May,18:00,0.43,0.41,0.59
08/05/2024,Apr,18:00,0.59,0.59,0.7
05/04/2024,Mar,17:00,0.7,0.67,1.09
07/03/2024,Feb,18:00,1.09,0.96,0.92
07/02/2024,Jan,18:00,0.92,0.92,0.45
09/01/2024,Dec,18:00,0.45,0.61,0.47
07/12/2023,Nov,18:00,0.47,0.45,0.25
08/11/2023,Oct,18:00,0.25,0.35,0.54
06/10/2023,Sep,18:00,0.54,0.52,0.7
07/09/2023,Aug,18:00,0.7,0.45,0.5
08/08/2023,Jul,18:00,0.5,0.32,0.3
10/07/2023,Jun,18:00,0.3,0.4,0.43
07/06/2023,May,18:00,0.43,0.64,0.78
05/05/2023,Apr,05:00,0.78,0.9,1.05
05/04/2023,Mar,05:00,1.05,0.96,1.66
04/03/2023,Feb,12:00,1.66,1.7,1.78
04/02/2023,Jan,12:00,1.78,1.64,1.26
05/01/2023,Dec,06:00,1.26,0.87,0.77
05/12/2022,Nov,06:00,0.77,0.63,0.72
05/11/2022,Oct,12:00,0.72,0.67,0.93
05/10/2022,Sep,06:00,0.93,0.75,1.02
05/09/2022,Aug,06:00,1.02,0.6,0.81
05/08/2022,Jul,07:00,0.81,0.59,0.51
05/07/2022,Jun,19:00,0.51,0.56,0.84
04/06/2022,May,12:00,0.84,0.83,1.25
05/05/2022,Apr,19:00,1.25,0.88,1.0
05/04/2022,Mar,19:00,1.0,0.92,1.63
05/03/2022,Feb,12:00,1.63,1.28,1.67
05/02/2022,Jan,14:00,1.67,0.91,0.73
05/01/2022,Dec,19:00,0.73,0.44,0.5
04/12/2021,Nov,00:00,0.5,0.2,0.01
05/11/2021,Oct,19:00,0.01,0.22,0.38
05/10/2021,Sep,19:00,0.38,0.36,0.45
03/09/2021,Aug,19:00,0.45,0.01,0.32
05/08/2021,Jul,19:00,0.32,0.01,-0.05
02/07/2021,Jun,19:00,-0.05,-0.08,1.0
04/06/2021,May,19:00,1.0,0.32,0.59
05/05/2021,Apr,19:00,0.59,0.32,0.51
05/04/2021,Mar,19:00,0.51,0.42,0.64
05/03/2021,Feb,19:00,0.64,0.51,0.41
05/02/2021,Jan,19:00,0.41,0.44,0.38
05/01/2021,Dec,19:00,0.38,0.19,-0.15
04/12/2020,Nov,19:00,-0.15,0.16,-0.06
05/11/2020,Oct,19:00,-0.06,0.16,0.32
05/10/2020,Sep,19:00,0.32,0.08,0.0
05/09/2020,Aug,12:00,0.0,0.11,0.0
05/08/2020,Jul,19:00,0.0,-0.17,-0.38
04/07/2020,Jun,12:00,-0.38,-0.09,-0.32
05/06/2020,May,19:00,-0.32,0.09,0.16
05/05/2020,Apr,19:00,0.16,,0.57
04/04/2020,Mar,12:00,0.57,0.66,0.67
05/03/2020,Feb,19:00,0.67,0.66,0.42
05/02/2020,Jan,19:00,0.42,0.57,0.26
03/01/2020,Dec,19:00,0.26,0.28,0.1
05/12/2019,Nov,19:00,0.1,0.17,0.16
05/11/2019,Oct,19:00,0.16,0.19,0.23
05/10/2019,Sep,12:00,0.23,0.16,0.09
05/09/2019,Aug,19:00,0.09,0.15,0.22
05/08/2019,Jul,19:00,0.22,0.15,0.27
05/07/2019,Jun,19:00,0.27,0.21,0.31
05/06/2019,May,19:00,0.31,0.3,0.5
04/05/2019,Apr,00:00,0.5,0.36,0.43
05/04/2019,Mar,19:00,0.43,0.33,0.57
05/03/2019,Feb,19:00,0.57,0.74,0.6
05/02/2019,Jan,19:00,0.6,0.7,0.3
05/01/2019,Dec,19:00,0.3,0.32,0.12
05/12/2018,Nov,19:00,0.12,0.17,0.12
02/11/2018,Oct,19:00,0.12,0.15,0.16
05/10/2018,Sep,19:00,0.16,0.18,0.12
05/09/2018,Aug,19:00,0.12,0.1,-0.13
03/08/2018,Jul,19:00,-0.13,0.09,0.15
05/07/2018,Jun,19:00,0.15,0.18,0.25
