Release Date,Report Month,Time,Actual%,Forecast%,Previous%
18/11/2024,Q3,11:00,0.2,0.3,0.5
15/08/2024,Q2,11:00,0.1,,1.2
15/05/2024,Q1,11:00,1.1,1.2,1.0
15/02/2024,Q4,11:00,-0.2,0.5,0.3
15/11/2023,Q3,11:00,0.2,0.6,-1.0
15/08/2023,Q2,11:00,-1.0,,1.4
15/05/2023,Q1,11:00,1.4,0.8,0.4
15/02/2023,Q4,11:00,0.7,-0.3,0.5
15/11/2022,Q3,11:00,1.6,0.2,1.3
16/08/2022,Q2,11:00,1.5,1.7,1.0
16/05/2022,Q1,11:00,1.0,0.4,4.3
15/02/2022,Q4,11:00,4.3,2.3,5.7
16/11/2021,Q3,11:00,5.7,5.0,-2.4
17/08/2021,Q2,11:00,-2.4,-2.2,2.9
14/05/2021,Q1,11:00,2.9,0.5,6.0
15/02/2021,Q4,11:00,6.0,6.9,8.7
17/11/2020,Q3,11:00,8.7,9.0,-14.9
14/08/2020,Q2,11:00,-14.9,-0.7,-2.4
15/05/2020,Q1,11:00,-2.4,-0.7,0.5
14/02/2020,Q4,11:00,0.5,,0.6
14/11/2019,Q3,11:30,0.6,,1.3
15/08/2019,Q2,11:00,1.4,,0.0
15/05/2019,Q1,11:00,0.0,,2.8
28/02/2019,Q4,11:00,2.8,0.4,0.2
15/11/2018,Q3,11:00,0.2,0.4,0.6
15/08/2018,Q2,11:00,0.6,,0.4
15/05/2018,Q1,11:00,0.4,,0.5
15/02/2018,Q4,11:00,1.6,,0.8
15/11/2017,Q3,11:00,0.8,0.9,0.7
15/08/2017,Q2,13:00,0.7,0.7,-0.2
19/05/2017,Q1,13:00,-0.2,-0.2,1.6
22/02/2017,Q4,13:00,1.6,0.9,0.3
30/11/2016,Q3,11:00,0.3,,0.2
29/08/2016,Q2,11:00,0.2,,0.2
03/06/2016,Q1,12:00,0.2,0.3,0.6
10/03/2016,Q4,12:00,0.6,0.5,1.1
10/12/2015,Q3,12:00,1.2,,0.6
10/09/2015,Q2,12:00,0.6,0.5,0.8
12/06/2015,Q1,12:00,0.8,0.3,0.7
17/03/2015,Q4,11:15,0.7,0.8,0.6
15/12/2014,Q3,12:00,0.6,1.5,-0.1
16/09/2014,Q2,11:15,-0.1,0.5,2.3
19/06/2014,Q1,09:00,2.3,1.5,4.9
