Release Date,Report Month,Time,Actual%,Forecast%,Previous%
18/12/2024,null,14:00,4.5,4.5,4.75
07/11/2024,null,14:00,4.75,4.75,5.0
18/09/2024,null,13:00,5.0,5.25,5.5
31/07/2024,null,13:00,5.5,5.5,5.5
12/06/2024,null,13:00,5.5,5.5,5.5
01/05/2024,null,13:00,5.5,5.5,5.5
20/03/2024,null,13:00,5.5,5.5,5.5
31/01/2024,null,14:00,5.5,5.5,5.5
13/12/2023,null,14:00,5.5,5.5,5.5
01/11/2023,null,13:00,5.5,5.5,5.5
20/09/2023,null,13:00,5.5,5.5,5.5
26/07/2023,null,13:00,5.5,5.5,5.25
14/06/2023,null,13:00,5.25,5.25,5.25
03/05/2023,null,13:00,5.25,5.25,5.0
22/03/2023,null,13:00,5.0,5.0,4.75
01/02/2023,null,14:00,4.75,4.75,4.5
14/12/2022,null,14:00,4.5,4.5,4.0
02/11/2022,null,13:00,4.0,4.0,3.25
21/09/2022,null,13:00,3.25,3.25,2.5
27/07/2022,null,13:00,2.5,2.5,1.75
15/06/2022,null,13:00,1.75,1.5,1.0
04/05/2022,null,13:00,1.0,1.0,0.5
16/03/2022,null,13:00,0.5,0.5,0.25
26/01/2022,null,14:00,0.25,0.25,0.25
15/12/2021,null,14:00,0.25,0.25,0.25
03/11/2021,null,13:00,0.25,0.25,0.25
22/09/2021,null,13:00,0.25,0.25,0.25
28/07/2021,null,13:00,0.25,0.25,0.25
16/06/2021,null,13:00,0.25,0.25,0.25
28/04/2021,null,13:00,0.25,0.25,0.25
17/03/2021,null,13:00,0.25,0.25,0.25
27/01/2021,null,14:00,0.25,0.25,0.25
16/12/2020,null,14:00,0.25,0.25,0.25
05/11/2020,null,14:00,0.25,0.25,0.25
16/09/2020,null,13:00,0.25,0.25,0.25
29/07/2020,null,13:00,0.25,0.25,0.25
10/06/2020,null,13:00,0.25,0.25,0.25
29/04/2020,null,13:00,0.25,0.25,0.25
15/03/2020,null,16:00,0.25,,1.25
03/03/2020,null,10:00,1.25,,1.75
29/01/2020,null,14:00,1.75,1.75,1.75
11/12/2019,null,14:00,1.75,1.75,1.75
30/10/2019,null,13:00,1.75,1.75,2.0
18/09/2019,null,13:00,2.0,2.0,2.25
31/07/2019,null,13:00,2.25,2.25,2.5
19/06/2019,null,13:00,2.5,2.5,2.5
01/05/2019,null,13:00,2.5,2.5,2.5
20/03/2019,null,13:00,2.5,2.5,2.5
30/01/2019,null,14:00,2.5,2.5,2.5
19/12/2018,null,14:00,2.5,2.5,2.25
08/11/2018,null,14:00,2.25,2.25,2.25
26/09/2018,null,13:00,2.25,2.25,2.0
01/08/2018,null,13:00,2.0,2.0,2.0
13/06/2018,null,13:00,2.0,2.0,1.75
02/05/2018,null,13:00,1.75,1.75,1.75
21/03/2018,null,13:00,1.75,1.75,1.5
31/01/2018,null,14:00,1.5,1.5,1.5
13/12/2017,null,14:00,1.5,1.5,1.25
01/11/2017,null,13:00,1.25,1.25,1.25
20/09/2017,null,13:00,1.25,1.25,1.25
26/07/2017,null,13:00,1.25,1.25,1.25
14/06/2017,null,13:00,1.25,1.25,1.0
03/05/2017,null,13:00,1.0,1.0,1.0
15/03/2017,null,13:00,1.0,1.0,0.75
01/02/2017,null,14:00,0.75,0.75,0.75
14/12/2016,null,14:00,0.75,0.75,0.5
02/11/2016,null,13:00,0.5,0.5,0.5
21/09/2016,null,13:00,0.5,0.5,0.5
27/07/2016,null,13:00,0.5,0.5,0.5
15/06/2016,null,13:00,0.5,0.5,0.5
27/04/2016,null,13:00,0.5,0.5,0.5
16/03/2016,null,13:00,0.5,0.5,0.5
27/01/2016,null,14:00,0.5,0.5,0.5
16/12/2015,null,14:00,0.5,0.5,0.25
28/10/2015,null,13:00,0.25,0.25,0.25
17/09/2015,null,13:00,0.25,0.25,0.25
29/07/2015,null,13:00,0.25,0.25,0.25
17/06/2015,null,13:00,0.25,0.25,0.25
29/04/2015,null,13:00,0.25,0.25,0.25
18/03/2015,null,13:00,0.25,0.25,0.25
28/01/2015,null,14:00,0.25,0.25,0.25
17/12/2014,null,14:00,0.25,0.25,0.25
29/10/2014,null,13:00,0.25,0.25,0.25
17/09/2014,null,13:00,0.25,0.25,0.25
30/07/2014,null,13:00,0.25,0.25,0.25
18/06/2014,null,13:00,0.25,0.25,0.25
30/04/2014,null,13:00,0.25,0.25,0.25
19/03/2014,null,13:00,0.25,0.25,0.25
29/01/2014,null,14:00,0.25,0.25,0.25
18/12/2013,null,14:00,0.25,0.25,0.25
30/10/2013,null,13:00,0.25,0.25,0.25
18/09/2013,null,13:00,0.25,0.25,0.25
31/07/2013,null,13:00,0.25,0.25,0.25
19/06/2013,null,13:00,0.25,0.25,0.25
01/05/2013,null,13:00,0.25,0.25,0.25
20/03/2013,null,13:00,0.25,0.25,0.25
30/01/2013,null,14:15,0.25,0.25,0.25
12/12/2012,null,12:30,0.25,0.25,0.25
24/10/2012,null,13:15,0.25,0.25,0.25
13/09/2012,null,11:30,0.25,0.25,0.25
01/08/2012,null,13:15,0.25,0.25,0.25
20/06/2012,null,11:30,0.25,0.25,0.25
25/04/2012,null,11:30,0.25,0.25,0.25
13/03/2012,null,13:15,0.25,0.25,0.25
25/01/2012,null,12:30,0.25,0.25,0.25
13/12/2011,null,14:15,0.25,0.25,0.25
02/11/2011,null,11:30,0.25,0.25,0.25
21/09/2011,null,13:15,0.25,0.25,0.25
09/08/2011,null,13:15,0.25,0.25,0.25
22/06/2011,null,11:30,0.25,0.25,0.25
27/04/2011,null,11:30,0.25,0.25,0.25
15/03/2011,null,13:15,0.25,0.25,0.25
26/01/2011,null,14:15,0.25,0.25,0.25
14/12/2010,null,14:15,0.25,0.25,0.25
03/11/2010,null,13:15,0.25,0.25,0.25
21/09/2010,null,13:15,0.25,0.25,0.25
10/08/2010,null,13:15,0.25,0.25,0.25
23/06/2010,null,13:15,0.25,0.25,0.25
28/04/2010,null,13:15,0.25,0.25,0.25
16/03/2010,null,13:15,0.25,0.25,0.25
27/01/2010,null,14:15,0.25,0.25,0.25
16/12/2009,null,14:15,0.25,0.25,0.25
04/11/2009,null,14:15,0.25,0.25,0.25
23/09/2009,null,13:15,0.25,0.25,0.25
12/08/2009,null,13:15,0.25,0.25,0.25
24/06/2009,null,13:15,0.25,0.25,0.25
29/04/2009,null,13:15,0.25,0.25,0.25
18/03/2009,null,13:15,0.25,0.25,0.25
28/01/2009,null,14:15,0.25,0.25,0.25
16/12/2008,null,14:15,0.25,0.5,1.0
29/10/2008,null,13:15,1.0,1.0,1.5
08/10/2008,null,06:00,1.5,,2.0
16/09/2008,null,13:15,2.0,2.0,2.0
05/08/2008,null,13:15,2.0,,2.0
25/06/2008,null,13:15,2.0,2.0,2.0
30/04/2008,null,13:15,2.0,2.0,2.25
18/03/2008,null,13:15,2.25,2.5,3.0
30/01/2008,null,13:15,3.0,,3.5
22/01/2008,null,13:15,3.5,,4.25
11/12/2007,null,13:00,4.25,,4.5
31/10/2007,null,13:00,4.5,,4.75
18/09/2007,null,13:00,4.75,,5.25
29/06/2006,null,13:00,5.25,,5.0
10/05/2006,null,13:00,5.0,,4.75
28/03/2006,null,13:00,4.75,,4.5
31/01/2006,null,13:00,4.5,,4.25
13/12/2005,null,13:00,4.25,,4.0
01/11/2005,null,13:00,4.0,,3.75
20/09/2005,null,13:00,3.75,,3.5
09/08/2005,null,13:00,3.5,,3.25
30/06/2005,null,13:00,3.25,,3.0
03/05/2005,null,13:00,3.0,,2.75
22/03/2005,null,13:00,2.75,,2.5
02/02/2005,null,13:00,2.5,,2.25
14/12/2004,null,13:00,2.25,,2.0
10/11/2004,null,13:00,2.0,,1.75
21/09/2004,null,13:00,1.75,,1.5
10/08/2004,null,13:00,1.5,,1.25
30/06/2004,null,13:00,1.25,,1.0
25/06/2003,null,13:00,1.0,,1.25
06/11/2002,null,13:00,1.25,,1.75
11/12/2001,null,13:00,1.75,,2.0
06/11/2001,null,13:00,2.0,,2.5
02/10/2001,null,13:00,2.5,,3.0
17/09/2001,null,13:00,3.0,,3.5
21/08/2001,null,13:00,3.5,,3.75
27/06/2001,null,13:00,3.75,,4.0
15/05/2001,null,13:00,4.0,,4.5
18/04/2001,null,13:00,4.5,,5.0
20/03/2001,null,13:00,5.0,,5.5
31/01/2001,null,13:00,5.5,,6.0
03/01/2001,null,13:00,6.0,,6.5
16/05/2000,null,13:00,6.5,,6.0
21/03/2000,null,13:00,6.0,,5.75
02/02/2000,null,13:00,5.75,,5.5
16/11/1999,null,13:00,5.5,,5.25
24/08/1999,null,13:00,5.25,,5.0
30/06/1999,null,13:00,5.0,,4.75
17/11/1998,null,13:00,4.75,,5.0
15/10/1998,null,13:00,5.0,,5.25
29/09/1998,null,13:00,5.25,,5.5
