Release Date,Time,Actual,Forecast,Previous
"Nov 18, 2024 (Q3)",11:00,0.2%,0.3%,0.5%
"Aug 15, 2024 (Q2)",11:00,0.1%, ,1.2%
"May 15, 2024 (Q1)",11:00,1.1%,1.2%,1.0%
"Feb 15, 2024 (Q4)",11:00,-0.2%,0.5%,0.3%
"Nov 15, 2023 (Q3)",11:00,0.2%,0.6%,-1.0%
"Aug 15, 2023 (Q2)",11:00,-1.0%, ,1.4%
"May 15, 2023 (Q1)",11:00,1.4%,0.8%,0.4%
"Feb 15, 2023 (Q4)",11:00,0.7%,-0.3%,0.5%
"Nov 15, 2022 (Q3)",11:00,1.6%,0.2%,1.3%
"Aug 16, 2022 (Q2)",11:00,1.5%,1.7%,1.0%
"May 16, 2022 (Q1)",11:00,1.0%,0.4%,4.3%
"Feb 15, 2022 (Q4)",11:00,4.3%,2.3%,5.7%
"Nov 16, 2021 (Q3)",11:00,5.7%,5.0%,-2.4%
"Aug 17, 2021 (Q2)",11:00,-2.4%,-2.2%,2.9%
"May 14, 2021 (Q1)",11:00,2.9%,0.5%,6.0%
"Feb 15, 2021 (Q4)",11:00,6.0%,6.9%,8.7%
"Nov 17, 2020 (Q3)",11:00,8.7%,9.0%,-14.9%
"Aug 14, 2020 (Q2)",11:00,-14.9%,-0.7%,-2.4%
"May 15, 2020 (Q1)",11:00,-2.4%,-0.7%,0.5%
"Feb 14, 2020 (Q4)",11:00,0.5%, ,0.6%
"Nov 14, 2019 (Q3)",11:30,0.6%, ,1.3%
"Aug 15, 2019 (Q2)",11:00,1.4%, ,0.0%
"May 15, 2019 (Q1)",11:00,0.0%, ,2.8%
"Feb 28, 2019 (Q4)",11:00,2.8%,0.4%,0.2%
"Nov 15, 2018 (Q3)",11:00,0.2%,0.4%,0.6%
"Aug 15, 2018 (Q2)",11:00,0.6%, ,0.4%
"May 15, 2018 (Q1)",11:00,0.4%, ,0.5%
"Feb 15, 2018 (Q4)",11:00,1.6%, ,0.8%
"Nov 15, 2017 (Q3)",11:00,0.8%,0.9%,0.7%
"Aug 15, 2017 (Q2)",13:00,0.7%,0.7%,-0.2%
"May 19, 2017 (Q1)",13:00,-0.2%,-0.2%,1.6%
"Feb 22, 2017 (Q4)",13:00,1.6%,0.9%,0.3%
"Nov 30, 2016 (Q3)",11:00,0.3%, ,0.2%
"Aug 29, 2016 (Q2)",11:00,0.2%, ,0.2%
"Jun 03, 2016 (Q1)",12:00,0.2%,0.3%,0.6%
"Mar 10, 2016 (Q4)",12:00,0.6%,0.5%,1.1%
"Dec 10, 2015 (Q3)",12:00,1.2%, ,0.6%
"Sep 10, 2015 (Q2)",12:00,0.6%,0.5%,0.8%
"Jun 12, 2015 (Q1)",12:00,0.8%,0.3%,0.7%
"Mar 17, 2015 (Q4)",11:15,0.7%,0.8%,0.6%
"Dec 15, 2014 (Q3)",12:00,0.6%,1.5%,-0.1%
"Sep 16, 2014 (Q2)",11:15,-0.1%,0.5%,2.3%
"Jun 19, 2014 (Q1)",09:00,2.3%,1.5%,4.9%
