Release Date,Time,Actual,Forecast,Previous
"Dec 20, 2024 (Oct)",13:00, ,9.25%,9.75%
"Oct 31, 2024 (Sep)",13:00,9.75%,9.50%,10.25%
"Sep 30, 2024 (Jul)",13:00,10.25%, ,10.75%
"Jul 31, 2024 (Jun)",13:00,10.75%,10.75%,11.25%
"Jun 28, 2024 (Apr)",13:00,11.25%,11.25%,11.75%
"Apr 30, 2024 (Mar)",13:00,11.75%,11.75%,12.25%
"Mar 22, 2024 (Jan)",13:00,12.25%, ,12.75%
"Jan 31, 2024 (Dec)",13:00,12.75%, ,13.00%
"Dec 19, 2023 (Oct)",13:00,13.00%,13.25%,13.25%
"Oct 31, 2023 (Sep)",13:00,13.25%,13.25%,13.25%
"Sep 29, 2023 (Jul)",13:00,13.25%, ,13.25%
"Jul 31, 2023 (Jun)",13:00,13.25%,13.25%,13.25%
"Jun 30, 2023 (Apr)",13:00,13.25%, ,13.25%
"Apr 28, 2023 (Mar)",13:00,13.25%,13.00%,13.00%
"Mar 30, 2023 (Jan)",13:00,13.00%,13.00%,12.75%
"Jan 27, 2023 (Dec)",13:30,12.75%,13.00%,12.00%
"Dec 16, 2022 (Oct)",15:00,12.00%,11.00%,11.00%
"Oct 28, 2022 (Sep)",15:00,11.00%,11.00%,10.00%
"Sep 30, 2022 (Sep)",14:00,10.00%,10.25%,9.00%
"Sep 29, 2022 (Jul)",14:00,10.00%,10.25%,9.00%
"Jul 29, 2022 (Jun)",15:00,9.00%,9.00%,7.50%
"Jun 30, 2022 (Apr)",14:30,7.50%,7.50%,6.00%
"Apr 29, 2022 (Mar)",15:00,6.00%,6.00%,4.00%
"Mar 31, 2022 (Jan)",15:00,5.00%,5.50%,4.00%
"Jan 28, 2022 (Dec)",15:00,4.00%,3.75%,3.00%
"Dec 17, 2021 (Oct)",15:00,3.00%,3.00%,2.50%
"Oct 29, 2021 (Sep)",15:00,2.50%,2.25%,1.75%
"Sep 30, 2021 (Aug)",15:00,2.00%,2.00%,1.75%
"Aug 30, 2021 (Jul)",15:00,1.75%, ,1.75%
"Jul 30, 2021 (Jun)",15:00,1.75%,1.75%,1.75%
"Jun 28, 2021 (May)",13:00,1.75%,1.75%,1.75%
"May 28, 2021 (Apr)",15:00,1.75%, ,1.75%
"Apr 30, 2021 (Mar)",15:00,1.75%,1.75%,1.75%
"Mar 26, 2021 (Jan)",13:00,1.75%,1.75%,1.75%
"Jan 29, 2021 (Dec)",15:00,1.75%,1.75%,1.75%
"Dec 18, 2020 (Nov)",15:00,1.75%,1.75%,1.75%
"Nov 27, 2020 (Oct)",15:00,1.75%,1.75%,1.75%
"Oct 30, 2020 (Sep)",13:00,1.75%,1.75%,1.75%
"Sep 25, 2020 (Aug)",15:00,1.75%,1.75%,2.00%
"Aug 31, 2020 (Jul)",15:00,2.00%,2.00%,2.25%
"Jul 31, 2020 (Jun)",15:00,2.25%,2.25%,2.50%
"Jun 30, 2020 (May)",15:00,2.50%,2.50%,2.75%
"May 29, 2020 (Apr)",13:00,2.75%,2.75%,3.25%
"Apr 30, 2020 (Mar)",15:00,3.25%, ,3.75%
"Mar 27, 2020 (Jan)",15:00,3.75%,4.25%,4.25%
"Jan 31, 2020 (Dec)",15:00,4.25%,4.25%,4.25%
"Dec 20, 2019 (Oct)",13:00,4.25%,4.25%,4.25%
"Oct 31, 2019 (Sep)",15:00,4.25%,4.25%,4.25%
"Sep 27, 2019 (Sep)",15:00, ,4.25%,4.25%
"Sep 23, 2019 (Aug)",15:00,4.25%,4.25%, 
"Aug 30, 2019 (Jul)",15:00,4.25%,4.25%,4.25%
"Jul 26, 2019 (Jun)",15:00,4.25%,4.25%,4.25%
"Jun 28, 2019 (Jun)",15:00,4.25%,4.25%,4.25%
"Jun 21, 2019 (Apr)",15:00,4.25%,4.25%,4.25%
"Apr 26, 2019 (Mar)",15:00,4.25%,4.25%,4.25%
"Mar 22, 2019 (Jan)",15:00,4.25%,4.25%,4.25%
"Jan 31, 2019 (Dec)",15:00,4.25%,4.25%,4.25%
"Dec 21, 2018 (Oct)",15:00,4.25%,4.25%,4.25%
"Oct 26, 2018 (Sep)",15:00,4.25%,4.25%,4.25%
"Sep 28, 2018 (Jul)",15:00,4.25%,4.25%,4.25%
"Jul 27, 2018 (Jun)",15:00,4.25%,4.25%,4.25%
"Jun 29, 2018 (Apr)",15:00,4.25%,4.25%,4.25%
"Apr 27, 2018 (Mar)",15:00,4.25%,4.25%,4.50%
"Mar 20, 2018 (Feb)",15:00,4.50%,4.50%,4.50%
