"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2002","12,350","12,207","12,468","12,114","313.27M","1.20%"
"05/14/2002","12,204","11,999","12,327","11,999","317.39M","1.68%"
"05/13/2002","12,002","12,147","12,212","11,943","145.04M","-1.06%"
"05/10/2002","12,130","12,106","12,180","11,944","282.86M","0.23%"
"05/09/2002","12,102","12,602","12,603","12,077","284.22M","-4.08%"
"05/08/2002","12,617","12,353","12,664","12,353","251.81M","2.23%"
"05/07/2002","12,342","12,433","12,631","12,291","244.07M","-0.71%"
"05/06/2002","12,430","12,594","12,595","12,272","188.42M","-1.43%"
"05/03/2002","12,610","12,557","12,679","12,431","255.43M","0.57%"
"05/02/2002","12,538","13,088","13,090","12,510","302.43M","-4.18%"
"04/30/2002","13,085","13,096","13,267","13,065","302.18M","-0.04%"
"04/29/2002","13,090","13,076","13,142","13,032","127.56M","0.11%"
"04/26/2002","13,076","13,273","13,367","13,037","266.16M","-1.48%"
"04/25/2002","13,273","13,384","13,384","13,113","243.73M","-0.81%"
"04/24/2002","13,381","13,182","13,394","13,176","207.59M","1.46%"
"04/23/2002","13,188","13,224","13,302","13,076","275.08M","-0.27%"
"04/22/2002","13,224","13,484","13,485","13,056","241.62M","-1.88%"
"04/19/2002","13,478","13,568","13,631","13,448","159.61M","-0.70%"
"04/18/2002","13,573","13,729","13,729","13,446","276.04M","-1.16%"
"04/17/2002","13,732","13,633","13,872","13,633","383.65M","0.80%"
"04/16/2002","13,623","13,476","13,693","13,476","246.14M","1.12%"
"04/15/2002","13,472","13,772","13,822","13,438","309.23M","-2.03%"
"04/12/2002","13,751","13,418","13,764","13,418","243.71M","2.54%"
"04/11/2002","13,411","13,419","13,559","13,385","206.35M","-0.04%"
"04/10/2002","13,416","13,183","13,445","13,182","221.90M","1.67%"
"04/09/2002","13,195","13,165","13,243","13,147","193.14M","0.27%"
"04/08/2002","13,160","13,248","13,248","13,114","108.39M","-0.87%"
"04/05/2002","13,276","13,362","13,445","13,233","184.87M","-0.63%"
"04/04/2002","13,360","13,090","13,370","13,041","187.24M","2.10%"
"04/03/2002","13,085","13,280","13,345","13,061","235.62M","-1.21%"
"04/02/2002","13,245","13,482","13,535","13,245","225.92M","-1.65%"
"04/01/2002","13,467","13,253","13,499","13,095","202.99M","1.60%"
"03/28/2002","13,255","13,428","13,498","13,226","181.62M","-1.27%"
"03/27/2002","13,425","13,569","13,579","13,425","150.17M","-1.07%"
"03/26/2002","13,570","13,309","13,570","13,309","198.64M","2.20%"
"03/25/2002","13,278","13,359","13,430","13,183","203.20M","-0.26%"
"03/22/2002","13,312","13,723","13,726","13,283","374.33M","-2.95%"
"03/21/2002","13,717","14,086","14,086","13,662","212.59M","-2.65%"
"03/20/2002","14,090","14,123","14,158","13,895","244.73M","-0.20%"
"03/19/2002","14,118","14,266","14,330","14,069","207.72M","-0.89%"
"03/18/2002","14,245","14,366","14,495","14,217","162.42M","-0.84%"
"03/15/2002","14,365","14,120","14,370","14,089","270.48M","1.76%"
"03/14/2002","14,117","14,240","14,337","14,025","219.23M","-0.89%"
"03/13/2002","14,244","14,191","14,352","14,100","274.44M","0.44%"
"03/12/2002","14,181","13,717","14,213","13,710","345.74M","3.54%"
"03/11/2002","13,696","13,959","14,032","13,593","245.20M","-1.91%"
"03/08/2002","13,962","13,783","13,962","13,767","245.02M","1.72%"
"03/07/2002","13,726","13,836","14,011","13,640","317.48M","-0.82%"
"03/06/2002","13,839","14,007","14,007","13,683","357.27M","-1.23%"
"03/05/2002","14,011","14,455","14,482","14,011","246.94M","-3.18%"
"03/04/2002","14,471","14,373","14,474","14,100","262.75M","0.89%"
"03/01/2002","14,343","14,047","14,355","13,978","289.76M","2.21%"
"02/28/2002","14,033","14,216","14,221","14,033","257.11M","-1.26%"
"02/27/2002","14,212","13,978","14,251","13,978","254.10M","1.78%"
"02/26/2002","13,964","13,975","14,053","13,832","214.39M","-0.10%"
"02/25/2002","13,978","13,567","14,005","13,567","291.16M","3.06%"
