"Date","Price","Open","High","Low","Change %"
"12/20/2024","14.609","14.609","14.609","14.609","-0.03%"
"12/19/2024","14.613","15.039","14.768","14.613","-1.06%"
"12/18/2024","14.770","14.560","14.840","14.455","3.03%"
"12/17/2024","14.335","14.800","14.847","14.335","-2.08%"
"12/16/2024","14.640","14.640","14.640","14.640","5.23%"
"12/13/2024","13.913","13.762","13.913","13.631","1.98%"
"12/12/2024","13.644","13.630","13.880","13.465","0.93%"
"12/11/2024","13.517","13.520","13.655","13.520","-1.90%"
"12/10/2024","13.780","14.014","14.186","13.780","-2.82%"
"12/09/2024","14.180","13.960","14.220","13.960","1.07%"
"12/06/2024","14.030","13.668","14.030","13.668","2.88%"
"12/05/2024","13.637","13.670","13.688","13.637","-0.84%"
"12/04/2024","13.752","13.930","13.930","13.712","-0.28%"
"12/03/2024","13.790","13.770","13.815","13.710","2.11%"
"12/02/2024","13.505","13.510","13.530","13.401","0.24%"
"11/29/2024","13.472","14.040","14.040","13.472","0.14%"
"11/28/2024","13.453","13.310","13.520","13.195","1.96%"
"11/27/2024","13.195","12.858","13.195","12.837","3.22%"
"11/25/2024","12.783","12.870","12.870","12.783","-0.75%"
"11/22/2024","12.880","12.868","12.945","12.795","0.37%"
"11/21/2024","12.833","12.935","12.935","12.795","-0.71%"
"11/19/2024","12.925","12.920","12.925","12.875","0.17%"
"11/18/2024","12.903","12.917","12.917","12.885","0.02%"
"11/14/2024","12.900","12.930","12.960","12.900","0.08%"
"11/12/2024","12.890","12.730","12.890","12.730","1.34%"
"11/11/2024","12.720","12.785","12.785","12.720","-0.27%"
"11/08/2024","12.755","12.745","12.755","12.745","-0.23%"
"11/07/2024","12.785","12.655","12.785","12.655","0.55%"
"11/06/2024","12.715","12.925","12.925","12.715","-0.82%"
"11/05/2024","12.820","12.950","12.950","12.820","-1.16%"
"11/04/2024","12.970","12.920","12.970","12.920","-1.07%"
"11/01/2024","13.110","12.880","13.110","12.880","2.02%"
"10/31/2024","12.850","12.770","12.850","12.770","0.16%"
"10/30/2024","12.830","12.830","12.830","12.830","0.23%"
"10/29/2024","12.800","12.720","12.800","12.720","0.79%"
"10/28/2024","12.700","12.620","12.700","12.620","0.00%"
"10/25/2024","12.700","12.700","12.700","12.700","-0.66%"
"10/24/2024","12.785","12.910","12.910","12.785","-0.74%"
"10/23/2024","12.880","12.820","12.880","12.820","0.55%"
"10/22/2024","12.810","12.840","12.840","12.810","-0.47%"
"10/21/2024","12.870","12.810","12.870","12.810","-0.16%"
"10/18/2024","12.890","12.790","12.890","12.790","0.31%"
"10/17/2024","12.850","12.830","12.850","12.830","0.86%"
"10/16/2024","12.740","12.710","12.740","12.710","2.41%"
"10/15/2024","12.440","12.440","12.440","12.440","-0.72%"
"10/14/2024","12.530","12.590","12.590","12.530","-1.42%"
"10/11/2024","12.710","12.510","12.710","12.510","2.01%"
"10/10/2024","12.460","12.380","12.460","12.380","0.40%"
"10/09/2024","12.410","12.280","12.410","12.280","2.06%"
"10/08/2024","12.160","12.190","12.190","12.160","-0.98%"
"10/07/2024","12.280","12.320","12.320","12.280","-0.41%"
"10/04/2024","12.330","12.360","12.360","12.330","0.16%"
"10/03/2024","12.310","12.360","12.360","12.310","0.08%"
"10/02/2024","12.300","12.310","12.310","12.300","-0.97%"
"10/01/2024","12.420","12.400","12.420","12.400","0.08%"
"09/30/2024","12.410","12.350","12.410","12.350","0.89%"
"09/27/2024","12.300","12.310","12.310","12.300","0.74%"
"09/26/2024","12.210","12.210","12.210","12.210","-0.41%"
"09/25/2024","12.260","12.260","12.260","12.260","-0.33%"
"09/24/2024","12.300","12.370","12.370","12.300","-1.91%"
"09/23/2024","12.540","12.485","12.540","12.485","1.58%"
"09/20/2024","12.345","12.220","12.345","12.220","1.69%"
"09/19/2024","12.140","12.070","12.140","12.070","1.76%"
"09/18/2024","11.930","12.025","12.025","11.930","-0.95%"
"09/17/2024","12.045","12.090","12.090","12.045","0.29%"
"09/16/2024","12.010","12.010","12.010","12.010","0.50%"
"09/13/2024","11.950","11.980","11.980","11.950","-0.33%"
"09/12/2024","11.990","11.900","11.990","11.900","1.35%"
"09/11/2024","11.830","11.810","11.830","11.810","0.00%"
"09/10/2024","11.830","11.820","11.830","11.820","0.25%"
"09/09/2024","11.800","11.860","11.860","11.800","-0.25%"
"09/06/2024","11.830","11.820","11.830","11.820","-1.50%"
"09/05/2024","12.010","11.940","12.010","11.940","-0.17%"
"09/04/2024","12.030","12.100","12.100","12.030","-0.74%"
"09/03/2024","12.120","12.100","12.120","12.100","-0.57%"
"09/02/2024","12.190","12.230","12.230","12.190","0.00%"
"08/30/2024","12.190","12.080","12.190","12.080","2.35%"
"08/29/2024","11.910","11.870","11.910","11.870","1.19%"
"08/28/2024","11.770","11.730","11.770","11.730","0.68%"
"08/27/2024","11.690","11.710","11.710","11.690","0.43%"
"08/26/2024","11.640","11.650","11.650","11.640","0.00%"
"08/23/2024","11.640","11.660","11.660","11.640","-0.51%"
"08/22/2024","11.700","11.680","11.700","11.680","1.21%"
"08/21/2024","11.560","11.580","11.580","11.560","0.26%"
"08/20/2024","11.530","11.510","11.530","11.510","1.23%"
"08/19/2024","11.390","11.450","11.450","11.390","-0.96%"
"08/16/2024","11.500","11.470","11.500","11.470","-0.43%"
"08/15/2024","11.550","11.540","11.550","11.540","0.96%"
"08/14/2024","11.440","11.460","11.460","11.440","0.26%"
"08/13/2024","11.410","11.420","11.420","11.410","-1.13%"
"08/12/2024","11.540","11.490","11.540","11.490","-0.86%"
"08/09/2024","11.640","11.730","11.730","11.640","-1.69%"
"08/08/2024","11.840","11.840","11.840","11.840","0.25%"
