"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","1.0730","1.0720","1.0747","1.0686","","0.13%"
"12/18/2024","1.0716","1.0674","1.0728","1.0650","","0.43%"
"12/17/2024","1.0670","1.0638","1.0690","1.0616","","0.37%"
"12/16/2024","1.0631","1.0660","1.0696","1.0630","","-0.30%"
"12/13/2024","1.0663","1.0713","1.0715","1.0650","","-0.39%"
"12/12/2024","1.0705","1.0775","1.0782","1.0700","","-0.63%"
"12/11/2024","1.0773","1.0760","1.0789","1.0745","","0.17%"
"12/10/2024","1.0755","1.0781","1.0806","1.0754","","-0.21%"
"12/09/2024","1.0778","1.0764","1.0789","1.0748","","0.15%"
"12/06/2024","1.0762","1.0749","1.0802","1.0742","","0.16%"
"12/05/2024","1.0745","1.0759","1.0767","1.0725","","-0.10%"
"12/04/2024","1.0756","1.0739","1.0765","1.0720","","0.20%"
"12/03/2024","1.0734","1.0741","1.0765","1.0722","","-0.05%"
"12/02/2024","1.0739","1.0732","1.0768","1.0720","","0.07%"
"11/29/2024","1.0731","1.0730","1.0762","1.0721","","0.07%"
"11/28/2024","1.0724","1.0732","1.0747","1.0714","","-0.07%"
"11/27/2024","1.0731","1.0747","1.0778","1.0721","","-0.15%"
"11/26/2024","1.0747","1.0748","1.0787","1.0718","","-0.01%"
"11/25/2024","1.0748","1.0762","1.0771","1.0693","","0.14%"
"11/22/2024","1.0733","1.0763","1.0861","1.0720","","-0.28%"
"11/21/2024","1.0763","1.0725","1.0775","1.0719","","0.38%"
"11/20/2024","1.0722","1.0694","1.0746","1.0672","","0.28%"
"11/19/2024","1.0692","1.0683","1.0746","1.0673","","0.09%"
"11/18/2024","1.0682","1.0686","1.0694","1.0667","","0.01%"
"11/15/2024","1.0681","1.0663","1.0699","1.0635","","0.14%"
"11/14/2024","1.0666","1.0681","1.0695","1.0647","","-0.14%"
"11/13/2024","1.0681","1.0671","1.0707","1.0646","","0.09%"
"11/12/2024","1.0671","1.0655","1.0698","1.0644","","0.19%"
"11/11/2024","1.0651","1.0640","1.0682","1.0632","","0.00%"
"11/08/2024","1.0651","1.0605","1.0675","1.0599","","0.43%"
"11/07/2024","1.0605","1.0630","1.0647","1.0587","","-0.24%"
"11/06/2024","1.0630","1.0596","1.0688","1.0587","","0.32%"
"11/05/2024","1.0596","1.0637","1.0654","1.0593","","-0.38%"
"11/04/2024","1.0636","1.0568","1.0644","1.0554","","0.27%"
"11/01/2024","1.0607","1.0635","1.0644","1.0570","","-0.26%"
"10/31/2024","1.0635","1.0625","1.0660","1.0613","","0.12%"
