"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","0.1368","0.1365","0.1371","0.1365","","-0.35%"
"12/18/2024","0.1372","0.1373","0.1373","0.1372","","0.00%"
"12/17/2024","0.1373","0.1373","0.1374","0.1372","","0.00%"
"12/16/2024","0.1373","0.1375","0.1375","0.1373","","-0.10%"
"12/13/2024","0.1374","0.1375","0.1375","0.1373","","-0.07%"
"12/12/2024","0.1375","0.1378","0.1378","0.1375","","-0.12%"
"12/11/2024","0.1377","0.1380","0.1381","0.1375","","-0.17%"
"12/10/2024","0.1379","0.1377","0.1381","0.1377","","0.14%"
"12/09/2024","0.1377","0.1375","0.1377","0.1374","","0.16%"
"12/06/2024","0.1375","0.1377","0.1379","0.1375","","-0.16%"
"12/05/2024","0.1377","0.1376","0.1377","0.1375","","0.08%"
"12/04/2024","0.1376","0.1374","0.1377","0.1373","","0.27%"
"12/03/2024","0.1372","0.1373","0.1374","0.1370","","-0.19%"
"12/02/2024","0.1375","0.1379","0.1379","0.1375","","-0.41%"
"11/29/2024","0.1381","0.1382","0.1384","0.1380","","0.00%"
"11/28/2024","0.1380","0.1381","0.1381","0.1379","","0.00%"
"11/27/2024","0.1380","0.1380","0.1380","0.1378","","0.06%"
"11/26/2024","0.1379","0.1379","0.1380","0.1378","","-0.17%"
"11/25/2024","0.1381","0.1381","0.1381","0.1380","","0.08%"
"11/22/2024","0.1380","0.1380","0.1380","0.1379","","-0.11%"
"11/21/2024","0.1382","0.1381","0.1382","0.1381","","0.11%"
"11/20/2024","0.1380","0.1382","0.1382","0.1380","","-0.09%"
"11/19/2024","0.1381","0.1383","0.1383","0.1380","","0.00%"
"11/18/2024","0.1382","0.1382","0.1383","0.1380","","-0.06%"
"11/15/2024","0.1382","0.1382","0.1384","0.1381","","0.00%"
"11/14/2024","0.1383","0.1382","0.1383","0.1380","","-0.07%"
"11/13/2024","0.1384","0.1384","0.1388","0.1383","","0.10%"
"11/12/2024","0.1382","0.1385","0.1385","0.1381","","-0.24%"
