"Date","Price","Open","High","Low","Change %"
"03/16/2024","9.392","9.392","9.392","9.392","0.00%"
"03/15/2024","9.392","9.435","9.435","9.335","-0.46%"
"03/14/2024","9.435","9.225","9.435","9.225","2.28%"
"03/13/2024","9.225","9.280","9.280","9.225","-0.59%"
"03/12/2024","9.280","9.196","9.285","9.196","0.91%"
"03/11/2024","9.196","9.102","9.196","9.102","1.03%"
"03/10/2024","9.102","9.102","9.102","9.102","0.00%"
"03/09/2024","9.102","9.102","9.102","9.102","0.00%"
"03/08/2024","9.102","9.072","9.119","9.072","0.33%"
"03/07/2024","9.072","9.100","9.100","9.001","-0.31%"
"03/06/2024","9.100","9.035","9.130","9.035","0.72%"
"03/05/2024","9.035","9.049","9.049","8.999","-0.15%"
"03/04/2024","9.049","9.015","9.049","9.015","0.38%"
"03/03/2024","9.015","9.015","9.015","9.015","0.00%"
"03/02/2024","9.015","9.015","9.015","9.015","0.00%"
"03/01/2024","9.015","9.040","9.040","8.990","-0.39%"
"02/29/2024","9.050","9.142","9.142","9.043","-1.01%"
"02/28/2024","9.142","9.186","9.250","9.142","-0.48%"
"02/27/2024","9.186","9.163","9.186","9.156","0.25%"
"02/26/2024","9.163","9.150","9.170","9.129","0.14%"
"02/25/2024","9.150","9.150","9.150","9.150","0.00%"
"02/24/2024","9.150","9.150","9.150","9.150","0.00%"
"02/23/2024","9.150","9.140","9.150","9.100","0.11%"
"02/22/2024","9.140","9.110","9.140","9.100","0.33%"
"02/21/2024","9.110","9.045","9.110","9.039","0.72%"
"02/20/2024","9.045","8.952","9.045","8.952","1.04%"
"02/19/2024","8.952","8.980","8.980","8.950","-0.31%"
"02/18/2024","8.980","8.980","8.980","8.980","0.00%"
"02/17/2024","8.980","8.980","8.980","8.980","0.02%"
"02/16/2024","8.978","8.980","9.054","8.978","-0.02%"
"02/15/2024","8.980","9.070","9.070","8.980","-0.99%"
"02/14/2024","9.070","9.144","9.150","9.070","-0.81%"
"02/13/2024","9.144","9.050","9.160","9.050","1.04%"
"02/12/2024","9.050","9.010","9.077","9.010","0.44%"
"02/11/2024","9.010","9.010","9.010","9.010","0.00%"
"02/10/2024","9.010","9.010","9.010","9.010","0.00%"
"02/09/2024","9.010","8.990","9.010","8.971","0.22%"
"02/08/2024","8.990","8.960","9.049","8.960","0.33%"
"02/07/2024","8.960","9.000","9.000","8.900","-0.44%"
"02/06/2024","9.000","9.150","9.150","9.000","-1.64%"
"02/05/2024","9.150","9.040","9.200","9.040","1.22%"
"02/04/2024","9.040","9.040","9.040","9.040","0.00%"
"02/03/2024","9.040","9.040","9.040","9.040","0.00%"
"02/02/2024","9.040","8.858","9.068","8.858","2.05%"
"02/01/2024","8.858","8.818","8.858","8.790","0.45%"
"01/31/2024","8.818","8.942","8.942","8.800","-1.39%"
"01/30/2024","8.942","8.950","8.979","8.924","-0.09%"
"01/29/2024","8.950","9.037","9.037","8.950","-0.96%"
"01/28/2024","9.037","9.037","9.037","9.037","0.00%"
"01/27/2024","9.037","9.037","9.037","9.037","0.00%"
"01/26/2024","9.037","9.031","9.057","9.031","0.07%"
"01/25/2024","9.031","9.032","9.052","9.029","-0.01%"
"01/24/2024","9.032","9.110","9.110","9.032","-0.86%"
"01/23/2024","9.110","9.069","9.110","9.063","0.45%"
"01/22/2024","9.069","9.135","9.135","9.039","-0.72%"
"01/21/2024","9.135","9.135","9.135","9.135","0.00%"
"01/20/2024","9.135","9.135","9.135","9.135","0.00%"
"01/19/2024","9.135","9.120","9.150","9.120","0.16%"
"01/18/2024","9.120","9.100","9.120","9.069","0.22%"
"01/17/2024","9.100","9.057","9.150","9.057","0.47%"
"01/16/2024","9.057","8.980","9.090","8.980","0.86%"
"01/15/2024","8.980","9.042","9.050","8.980","-0.69%"
"01/14/2024","9.042","9.042","9.042","9.042","0.00%"
"01/13/2024","9.042","9.042","9.042","9.042","0.00%"
"01/12/2024","9.042","9.088","9.088","9.037","-0.51%"
"01/11/2024","9.088","9.100","9.140","9.055","-0.13%"
"01/10/2024","9.100","9.274","9.274","9.100","-1.88%"
"01/09/2024","9.274","9.404","9.404","9.274","-2.09%"
"01/08/2024","9.472","9.472","9.472","9.472","0.00%"
"01/07/2024","9.472","9.472","9.472","9.472","0.00%"
"01/06/2024","9.472","9.472","9.472","9.472","0.00%"
"01/05/2024","9.472","9.520","9.549","9.472","-0.50%"
"01/04/2024","9.520","9.500","9.527","9.480","0.20%"
"01/03/2024","9.501","9.500","9.585","9.500","0.01%"
"01/02/2024","9.500","9.509","9.509","9.490","0.96%"
"12/29/2023","9.410","9.410","9.410","9.410","0.00%"
"12/28/2023","9.410","9.360","9.410","9.360","0.53%"
"12/27/2023","9.360","9.480","9.480","9.310","-1.27%"
"12/26/2023","9.480","9.480","9.480","9.480","0.00%"
"12/25/2023","9.480","9.480","9.480","9.480","0.00%"
"12/24/2023","9.480","9.480","9.480","9.480","0.00%"
"12/23/2023","9.480","9.480","9.480","9.480","0.00%"
"12/22/2023","9.480","9.341","9.480","9.341","1.49%"
"12/21/2023","9.341","9.480","9.496","9.341","-1.47%"
"12/20/2023","9.480","9.520","9.520","9.400","-0.42%"
"12/19/2023","9.520","9.570","9.570","9.480","-0.52%"
"12/18/2023","9.570","9.635","9.635","9.570","-0.67%"
"12/17/2023","9.635","9.635","9.635","9.635","0.00%"
"12/16/2023","9.635","9.635","9.635","9.635","0.00%"
"12/15/2023","9.635","9.631","9.692","9.631","0.04%"
"12/14/2023","9.631","9.930","9.930","9.622","-3.01%"
"12/13/2023","9.930","10.080","10.080","9.930","-1.97%"
"12/12/2023","10.130","10.080","10.130","10.054","0.50%"
"12/11/2023","10.080","10.002","10.080","10.002","1.82%"
"12/08/2023","9.900","9.900","9.900","9.900","0.00%"
"12/07/2023","9.900","9.931","9.965","9.900","-0.31%"
"12/06/2023","9.931","9.986","9.986","9.897","-0.55%"
"12/05/2023","9.986","10.063","10.063","9.986","-0.77%"
"12/04/2023","10.063","9.970","10.075","9.970","0.93%"
"12/03/2023","9.970","9.970","9.970","9.970","0.00%"
"12/02/2023","9.970","9.970","9.970","9.970","0.00%"
"12/01/2023","9.970","10.050","10.065","9.970","-0.80%"
"11/30/2023","10.050","9.899","10.050","9.899","1.53%"
"11/29/2023","9.899","9.960","9.960","9.800","-0.61%"
"11/28/2023","9.960","10.044","10.050","9.900","-0.84%"
"11/27/2023","10.044","10.115","10.115","9.988","-0.70%"
"11/26/2023","10.115","10.115","10.115","10.115","0.00%"
"11/25/2023","10.115","10.115","10.115","10.115","0.00%"
"11/24/2023","10.115","10.050","10.150","10.050","0.65%"
"11/23/2023","10.050","10.040","10.055","9.990","0.10%"
"11/22/2023","10.040","10.000","10.040","9.880","0.40%"
"11/21/2023","10.000","10.040","10.040","9.919","-0.40%"
"11/20/2023","10.040","10.185","10.230","10.040","-1.42%"
"11/19/2023","10.185","10.185","10.185","10.185","0.00%"
"11/18/2023","10.185","10.185","10.185","10.185","0.00%"
"11/17/2023","10.185","10.200","10.210","10.130","-0.15%"
"11/16/2023","10.200","10.210","10.265","10.144","-0.10%"
"11/15/2023","10.210","10.349","10.409","10.210","-1.34%"
"11/14/2023","10.349","10.433","10.433","10.349","-2.69%"
"11/13/2023","10.635","10.635","10.635","10.635","0.00%"
"11/12/2023","10.635","10.635","10.635","10.635","0.00%"
"11/11/2023","10.635","10.635","10.635","10.635","0.00%"
"11/10/2023","10.635","10.540","10.642","10.540","0.90%"
"11/09/2023","10.540","10.472","10.540","10.330","0.65%"
"11/08/2023","10.472","10.500","10.550","10.467","-0.27%"
"11/07/2023","10.500","10.668","10.670","10.500","-0.80%"
"11/06/2023","10.585","10.585","10.585","10.585","0.00%"
"11/05/2023","10.585","10.585","10.585","10.585","0.00%"
"11/04/2023","10.585","10.585","10.585","10.585","0.00%"
"11/03/2023","10.585","10.700","10.700","10.480","-1.07%"
"11/02/2023","10.700","10.900","10.900","10.662","-1.83%"
"11/01/2023","10.900","11.009","11.009","10.900","-0.99%"
"10/31/2023","11.009","11.160","11.160","11.009","-1.35%"
"10/30/2023","11.160","11.211","11.211","11.150","-0.45%"
"10/29/2023","11.211","11.211","11.211","11.211","0.00%"
"10/28/2023","11.211","11.211","11.211","11.211","0.00%"
"10/27/2023","11.211","11.222","11.222","11.183","-0.10%"
"10/26/2023","11.222","11.409","11.409","11.222","-1.64%"
"10/25/2023","11.409","11.350","11.460","11.350","0.52%"
"10/24/2023","11.350","11.340","11.455","11.340","0.09%"
"10/23/2023","11.340","11.240","11.340","11.231","0.89%"
"10/22/2023","11.240","11.240","11.240","11.240","0.00%"
"10/21/2023","11.240","11.240","11.240","11.240","0.00%"
"10/20/2023","11.240","11.221","11.240","11.221","0.17%"
"10/19/2023","11.221","11.356","11.356","11.221","-1.19%"
"10/18/2023","11.356","11.360","11.450","11.300","-0.04%"
"10/17/2023","11.360","11.500","11.500","11.360","9.55%"
"10/15/2023","10.370","10.370","10.370","10.370","-7.00%"
"10/13/2023","11.150","11.100","11.150","11.090","0.00%"
"10/12/2023","11.150","11.118","11.150","11.100","0.90%"
"10/11/2023","11.050","11.257","11.257","11.050","-3.62%"
"10/10/2023","11.465","11.362","11.465","11.300","-0.74%"
"10/09/2023","11.550","11.450","11.570","11.450","0.43%"
"10/06/2023","11.500","11.600","11.650","11.500","0.52%"
"10/05/2023","11.440","11.101","11.440","11.101","1.77%"
"10/04/2023","11.241","11.369","11.380","11.170","-1.83%"
"10/03/2023","11.450","11.350","11.450","11.280","2.69%"
"10/02/2023","11.150","11.140","11.210","11.102","1.35%"
"09/29/2023","11.001","11.103","11.165","11.001","-2.21%"
"09/28/2023","11.250","11.400","11.400","11.250","-1.32%"
"09/27/2023","11.401","11.190","11.530","11.190","2.34%"
"09/26/2023","11.140","10.910","11.140","10.910","2.20%"
"09/25/2023","10.900","10.775","10.940","10.775","1.89%"
"09/22/2023","10.698","10.546","10.710","10.546","1.27%"
"09/21/2023","10.564","10.645","10.645","10.564","1.20%"
"09/20/2023","10.439","10.350","10.439","10.330","0.38%"
"09/19/2023","10.400","10.340","10.400","10.330","0.97%"
"09/18/2023","10.300","10.270","10.300","10.229","0.19%"
"09/15/2023","10.280","10.280","10.280","10.280","-0.52%"
"09/14/2023","10.334","10.334","10.334","10.334","-0.67%"
"09/13/2023","10.404","10.404","10.404","10.404","-0.91%"
"09/12/2023","10.500","10.500","10.500","10.500","0.48%"
"09/11/2023","10.450","10.450","10.450","10.450","1.06%"
"09/08/2023","10.340","10.340","10.340","10.340","1.85%"
