"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2019","2.6910","2.6900","2.6910","2.6875","0.02K","0.30%"
"10/25/2019","2.6830","2.6915","2.6915","2.6910","0.03K","0.30%"
"10/24/2019","2.6750","2.6740","2.6745","2.6740","0.13K","-0.13%"
"10/23/2019","2.6785","2.6435","2.6740","2.6435","0.11K","1.36%"
"10/22/2019","2.6425","2.6485","2.6485","2.6430","0.27K","-0.45%"
"10/21/2019","2.6545","2.6525","2.6525","2.6525","0.05K","0.42%"
"10/18/2019","2.6435","2.6400","2.6405","2.6375","0.03K","1.46%"
"10/17/2019","2.6055","2.5820","2.6095","2.5735","0.02K","0.31%"
"10/16/2019","2.5975","2.5910","2.5945","2.5910","0.01K","-0.92%"
"10/15/2019","2.6215","2.6260","2.6260","2.6035","0.02K","-0.76%"
"10/14/2019","2.6415","2.6210","2.6210","2.6210","0.05K","0.25%"
"10/11/2019","2.6350","2.6135","2.6300","2.6120","0.09K","0.59%"
"10/10/2019","2.6195","2.6140","2.6140","2.6140","0.05K","1.71%"
"10/09/2019","2.5755","2.5810","2.5810","2.5810","0.02K","-0.04%"
"10/08/2019","2.5765","2.5715","2.5715","2.5715","0.19K","-0.27%"
"10/07/2019","2.5835","2.5890","2.5900","2.5875","0.21K","0.56%"
"10/04/2019","2.5690","2.5430","2.5720","2.5430","0.16K","0.31%"
"10/03/2019","2.5610","2.5555","2.5630","2.5530","0.09K","-0.70%"
"10/02/2019","2.5790","2.5855","2.5855","2.5855","0.10K","0.37%"
"10/01/2019","2.5695","2.5440","2.5715","2.5440","0.27K","-0.73%"
"09/30/2019","2.5885","2.5845","2.5845","2.5845","0.07K","-0.73%"
"09/27/2019","2.6075","2.6060","2.6060","2.6060","0.04K","0.93%"
"09/26/2019","2.5835","2.5980","2.5990","2.5620","0.16K","-1.30%"
"09/25/2019","2.6175","2.6035","2.6180","2.6010","0.18K","0.19%"
"09/24/2019","2.6125","2.6145","2.6225","2.6140","0.02K","-0.19%"
"09/23/2019","2.6175","2.6090","2.6090","2.6040","0.08K","0.19%"
"09/20/2019","2.6125","2.6215","2.6230","2.6175","0.04K","-0.10%"
"09/19/2019","2.6150","2.6190","2.6190","2.6175","0.03K","-0.15%"
"09/18/2019","2.6190","2.6225","2.6240","2.6210","0.18K","-0.55%"
"09/17/2019","2.6335","2.6225","2.6340","2.6200","0.09K","-0.53%"
"09/16/2019","2.6475","2.6790","2.6805","2.6570","0.11K","-2.16%"
"09/13/2019","2.7060","2.6720","2.6720","2.6720","0.06K","2.23%"
"09/12/2019","2.6470","2.6270","2.6270","2.6270","0.04K","0.97%"
"09/11/2019","2.6215","2.6190","2.6190","2.6190","0.09K","-0.49%"
"09/10/2019","2.6345","2.6150","2.6260","2.6150","0.09K","0.02%"
"09/09/2019","2.6340","2.6250","2.6250","2.6250","0.23K","-0.25%"
"09/06/2019","2.6405","2.6420","2.6470","2.6370","0.11K","-0.30%"
"09/05/2019","2.6485","2.5975","2.6470","2.5975","0.04K","1.83%"
"09/04/2019","2.6010","2.5870","2.6005","2.5870","0.03K","2.64%"
"09/03/2019","2.5340","2.5000","2.5355","2.5000","0.02K","0.08%"
"09/02/2019","2.5320","2.5520","2.5670","2.5280","","-0.78%"
"09/01/2019","2.5520","2.5570","2.5570","2.5470","","-0.23%"
"08/30/2019","2.5580","2.5570","2.5630","2.5570","0.01K","-0.99%"
"08/29/2019","2.5835","2.5725","2.5820","2.5725","0.03K","0.74%"
