"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2024","569.41","573.35","573.37","567.60","0.00K","-0.62%"
"12/19/2024","572.96","577.26","577.39","570.47","0.00K","-1.03%"
"12/18/2024","578.91","579.01","581.60","577.25","0.00K","0.08%"
"12/17/2024","578.46","583.24","584.18","578.21","0.00K","-0.79%"
"12/16/2024","583.08","585.35","587.12","582.86","0.00K","-0.34%"
"12/13/2024","585.09","589.04","589.18","583.52","0.00K","-0.64%"
"12/12/2024","588.84","587.87","592.67","587.72","0.00K","0.26%"
"12/11/2024","587.30","589.30","590.39","586.35","0.00K","-0.34%"
"12/10/2024","589.33","592.12","597.84","588.93","0.00K","-0.49%"
"12/09/2024","592.21","585.02","592.70","583.14","0.00K","1.21%"
"12/06/2024","585.14","583.39","586.71","582.51","0.00K","0.37%"
"12/05/2024","582.96","581.78","583.47","579.70","0.00K","0.27%"
"12/04/2024","581.40","578.96","581.87","578.38","0.00K","0.45%"
"12/03/2024","578.81","573.47","579.22","573.18","0.00K","0.95%"
"12/02/2024","573.36","568.32","573.89","568.14","0.00K","0.81%"
"11/29/2024","568.77","567.23","571.57","565.87","0.00K","0.26%"
"11/28/2024","567.31","572.06","572.34","567.15","0.00K","-0.75%"
"11/27/2024","571.58","570.29","573.60","568.41","0.00K","0.28%"
"11/26/2024","569.96","571.90","573.21","569.35","0.00K","-0.43%"
"11/25/2024","572.44","571.27","574.74","571.01","0.00K","0.33%"
"11/22/2024","570.54","570.20","573.12","568.97","0.00K","0.04%"
"11/21/2024","570.31","575.33","575.39","569.99","0.00K","-0.85%"
"11/20/2024","575.20","576.02","577.00","574.40","0.00K","-0.09%"
"11/19/2024","575.72","572.86","577.88","572.66","0.00K","0.61%"
"11/18/2024","572.22","571.80","574.22","570.30","0.00K","0.10%"
"11/15/2024","571.62","571.71","574.10","570.36","","-0.06%"
"11/14/2024","571.95","577.27","577.34","571.30","","-0.93%"
"11/13/2024","577.29","581.32","581.37","576.93","","-0.65%"
"11/12/2024","581.05","591.96","592.00","580.67","","-1.87%"
"11/11/2024","592.12","596.20","596.28","589.92","","-0.74%"
"11/08/2024","596.56","600.83","605.25","595.20","","-0.57%"
"11/07/2024","599.98","594.72","601.43","593.19","","0.84%"
"11/06/2024","595.00","598.15","598.15","592.43","","-0.45%"
"11/05/2024","597.66","591.19","598.62","589.21","","1.08%"
"11/04/2024","591.25","589.09","592.31","589.07","","0.38%"
"11/01/2024","589.01","587.82","590.90","584.12","","0.31%"
"10/31/2024","587.17","590.21","591.56","584.89","","-0.38%"
"10/30/2024","589.39","594.26","595.10","589.39","","-0.81%"
"10/29/2024","594.19","595.57","596.83","591.45","","-0.21%"
"10/28/2024","595.42","594.18","596.23","592.11","","0.18%"
"10/25/2024","594.37","594.67","597.24","593.74","","0.07%"
"10/24/2024","593.96","598.13","598.79","593.59","","-0.58%"
"10/23/2024","597.43","598.57","601.66","596.19","","-0.17%"
"10/22/2024","598.47","600.64","601.47","598.03","","-0.40%"
"10/21/2024","600.89","604.60","606.20","600.15","","-0.63%"
"10/18/2024","604.68","593.96","606.42","593.69","","1.93%"
"10/17/2024","593.21","598.21","602.67","593.16","","-0.81%"
"10/16/2024","598.03","600.05","601.67","596.15","","-0.36%"
"10/15/2024","600.19","606.32","607.56","599.22","","-0.99%"
"10/14/2024","606.18","606.88","608.71","601.61","","-0.04%"
"10/11/2024","606.44","605.68","607.99","605.48","","0.17%"
"10/10/2024","605.42","600.50","609.87","600.27","","0.79%"
"10/09/2024","600.66","606.20","611.00","598.73","","-0.89%"
"10/08/2024","606.03","620.80","621.77","601.42","","-2.36%"
"10/07/2024","620.70","614.38","621.53","614.23","","0.35%"
"10/04/2024","618.52","613.95","619.29","612.73","","0.67%"
"10/03/2024","614.39","622.76","622.79","613.02","","-1.41%"
"10/02/2024","623.16","613.19","625.91","612.87","","1.64%"
"10/01/2024","613.10","611.66","613.39","611.35","","0.12%"
"09/30/2024","612.39","611.58","618.53","610.09","","0.20%"
"09/27/2024","611.18","605.11","612.92","604.89","","1.14%"
"09/26/2024","604.30","590.89","605.58","590.81","","2.15%"
"09/25/2024","591.59","589.20","595.73","588.99","","0.62%"
"09/24/2024","587.92","586.22","588.86","586.13","","1.98%"
"09/23/2024","576.52","574.40","576.76","573.99","","0.39%"
"09/20/2024","574.26","571.32","575.87","571.16","","0.55%"
"09/19/2024","571.13","564.11","571.52","562.75","","1.27%"
"09/18/2024","563.98","565.73","565.94","563.45","","-0.30%"
"09/17/2024","565.67","563.59","565.98","562.35","","0.41%"
"09/16/2024","563.36","561.60","563.73","560.37","","0.39%"
"09/13/2024","561.18","558.61","562.04","558.54","","0.61%"
"09/12/2024","557.77","550.25","558.82","550.06","","1.41%"
"09/11/2024","550.04","552.25","552.41","549.31","","-0.41%"
"09/10/2024","552.28","551.87","553.75","551.16","","0.09%"
"09/09/2024","551.79","556.77","556.90","550.64","","-1.01%"
"09/06/2024","557.43","558.39","560.44","556.78","","-0.04%"
"09/05/2024","557.63","556.16","558.96","555.99","","0.30%"
"09/04/2024","555.95","562.65","562.85","554.25","","-1.17%"
"09/03/2024","562.51","564.64","565.23","562.39","","-0.37%"
"09/02/2024","564.60","567.09","568.09","564.18","","-0.43%"
"08/30/2024","567.05","564.55","568.87","564.41","","0.51%"
"08/29/2024","564.19","564.46","564.95","561.21","","-0.11%"
"08/28/2024","564.79","566.11","566.71","563.89","","-0.22%"
"08/27/2024","566.05","568.10","568.26","565.37","","-0.35%"
"08/26/2024","568.02","567.63","570.36","567.58","","0.27%"
"08/23/2024","566.48","565.76","567.95","563.48","","0.04%"
"08/22/2024","566.27","566.82","568.56","565.42","","-0.07%"
"08/21/2024","566.67","568.67","568.95","565.15","","-0.29%"
"08/20/2024","568.32","569.29","570.74","568.32","","-0.02%"
"08/19/2024","568.43","563.92","569.57","563.70","","0.99%"
"08/16/2024","562.88","554.55","563.87","554.45","","1.40%"
