"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2015","52,810.36","52,638.10","53,127.38","52,484.59","263.29M","-0.23%"
"05/27/2015","52,933.34","52,861.51","52,933.34","52,413.65","252.83M","-0.06%"
"05/26/2015","52,963.39","54,100.20","54,172.79","52,963.39","211.81M","-1.89%"
"05/25/2015","53,985.66","54,148.62","54,216.68","53,896.32","88.26M","-0.13%"
"05/22/2015","54,055.38","54,136.12","54,294.48","54,031.54","172.10M","-0.13%"
"05/21/2015","54,123.89","54,106.73","54,260.98","53,918.66","188.13M","-0.13%"
"05/20/2015","54,192.07","54,199.40","54,334.38","53,970.06","188.83M","-0.25%"
"05/19/2015","54,327.13","54,549.87","54,549.87","54,169.14","223.56M","-0.15%"
"05/18/2015","54,409.43","54,256.09","54,409.43","54,059.43","217.60M","0.71%"
"05/15/2015","54,028.17","54,238.30","54,383.21","54,028.17","188.81M","0.29%"
"05/14/2015","53,874.59","54,109.31","54,109.31","53,874.59","198.45M","-0.33%"
"05/13/2015","54,053.92","54,136.05","54,271.08","54,053.92","249.09M","0.22%"
"05/12/2015","53,934.41","54,164.52","54,231.43","53,795.65","186.59M","-0.42%"
"05/11/2015","54,161.05","54,151.32","54,235.23","53,977.66","161.51M","0.69%"
"05/08/2015","53,790.57","53,907.52","53,935.77","53,657.11","174.39M","1.04%"
"05/07/2015","53,238.17","53,651.44","53,651.44","53,001.44","248.96M","-1.13%"
"05/06/2015","53,848.74","54,224.45","54,380.82","53,740.60","241.98M","-1.33%"
"05/05/2015","54,574.99","54,528.34","54,789.53","54,499.79","183.85M","-0.12%"
"05/04/2015","54,639.86","54,899.70","55,113.76","54,455.32","169.37M","0.37%"
"04/30/2015","54,440.43","54,500.26","54,816.67","54,314.52","211.48M","-0.19%"
"04/29/2015","54,541.74","55,071.90","55,156.46","54,425.92","247.39M","-0.90%"
"04/28/2015","55,039.29","55,252.01","55,252.01","54,855.35","965.48M","-0.27%"
"04/24/2015","55,188.34","54,962.46","55,355.12","54,928.03","207.54M","0.92%"
"04/23/2015","54,686.54","54,467.94","54,686.54","54,327.05","174.73M","0.75%"
"04/22/2015","54,281.56","54,143.85","54,362.44","53,914.95","170.13M","0.26%"
"04/21/2015","54,140.93","54,096.82","54,243.19","53,902.43","172.75M","0.56%"
"04/20/2015","53,839.71","53,691.57","53,980.02","53,611.32","142.37M","0.20%"
"04/17/2015","53,734.04","54,147.98","54,195.40","53,510.41","268.11M","-0.97%"
"04/16/2015","54,262.27","53,904.53","54,262.27","53,903.40","192.83M","1.01%"
"04/15/2015","53,720.57","53,367.13","53,720.57","53,343.60","191.23M","0.77%"
"04/14/2015","53,311.46","53,403.98","53,656.23","53,168.98","183.87M","-0.52%"
"04/13/2015","53,589.31","53,563.12","53,750.37","53,528.26","181.62M","0.32%"
"04/10/2015","53,420.78","53,133.54","53,420.78","53,087.40","156.36M","0.82%"
"04/09/2015","52,984.55","52,943.03","53,078.68","52,765.66","175.15M","0.34%"
"04/08/2015","52,806.00","52,729.81","52,953.80","52,595.30","181.16M","0.40%"
"04/07/2015","52,595.69","52,667.65","52,727.11","52,571.34","173.16M","0.70%"
"04/02/2015","52,229.32","52,299.54","52,446.12","52,148.89","200.10M","-0.10%"
"04/01/2015","52,281.14","52,023.78","52,281.14","51,921.30","218.61M","0.19%"
"03/31/2015","52,181.95","52,519.84","52,619.16","52,103.02","246.41M","-0.52%"
"03/30/2015","52,455.36","52,095.94","52,534.09","52,095.94","241.62M","1.25%"
"03/27/2015","51,810.16","51,700.15","51,821.12","51,456.24","186.67M","0.40%"
"03/26/2015","51,603.93","51,996.32","52,195.29","51,422.20","201.44M","-1.36%"
"03/25/2015","52,313.02","52,663.86","52,727.44","52,145.08","229.90M","-1.03%"
"03/24/2015","52,858.12","52,492.81","53,005.78","52,398.70","193.13M","0.57%"
"03/23/2015","52,559.35","52,870.88","52,886.96","52,481.36","186.67M","-0.14%"
"03/20/2015","52,631.78","52,803.17","52,803.17","52,465.81","471.29M","-0.21%"
"03/19/2015","52,741.02","52,862.38","53,301.90","52,741.02","355.18M","1.06%"
"03/18/2015","52,187.48","52,334.69","52,482.87","52,087.85","191.17M","-0.22%"
"03/17/2015","52,300.24","52,306.07","52,561.52","52,101.79","214.41M","0.31%"
"03/16/2015","52,139.15","51,855.68","52,156.41","51,721.58","180.34M","0.66%"
"03/13/2015","51,798.74","52,194.06","52,404.12","51,706.73","288.59M","-0.84%"
"03/12/2015","52,240.06","51,967.49","52,356.04","51,967.49","244.36M","0.94%"
"03/11/2015","51,753.07","52,043.99","52,214.86","51,649.27","318.86M","-0.64%"
"03/10/2015","52,088.54","52,605.99","52,626.61","51,919.42","","-1.00%"
"03/09/2015","52,614.08","52,887.39","53,027.63","52,610.90","201.54M","-1.37%"
"03/06/2015","53,346.99","53,246.14","53,432.76","53,042.35","253.89M","0.12%"
"03/05/2015","53,285.60","52,818.11","53,374.08","52,818.11","306.67M","0.75%"
"03/04/2015","52,891.30","53,032.36","53,218.78","52,833.50","215.29M","-0.45%"
"03/03/2015","53,130.34","53,055.69","53,198.77","52,871.30","231.51M","0.34%"
"03/02/2015","52,952.91","53,531.95","53,575.23","52,834.82","206.37M","-0.73%"
"02/27/2015","53,344.20","53,337.63","53,381.21","53,092.30","226.92M","0.02%"
"02/26/2015","53,331.16","53,330.51","53,373.11","53,002.66","169.17M","0.21%"
"02/25/2015","53,217.75","53,539.22","53,615.42","53,145.40","201.59M","-0.29%"
