"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2024","921.45","923.50","928.35","919.20","21.37K","-0.22%"
"12/19/2024","923.50","922.60","934.00","918.00","34.08K","-1.19%"
"12/18/2024","934.60","944.30","947.00","921.60","30.44K","-0.94%"
"12/17/2024","943.50","941.90","946.80","927.40","27.85K","0.18%"
"12/16/2024","941.80","927.90","947.70","920.30","32.80K","1.89%"
"12/13/2024","924.30","940.00","945.40","920.90","35.54K","-1.74%"
"12/12/2024","940.70","950.60","961.70","938.00","31.31K","-1.06%"
"12/11/2024","950.80","948.20","955.70","940.70","26.51K","0.18%"
"12/10/2024","949.10","948.70","952.70","937.50","30.56K","-0.51%"
"12/09/2024","954.00","936.70","964.70","933.00","38.27K","2.16%"
"12/06/2024","933.80","944.90","952.60","932.20","25.78K","-0.83%"
"12/05/2024","941.60","948.10","957.40","940.40","21.90K","-1.23%"
"12/04/2024","953.30","958.30","958.30","935.00","29.44K","-0.72%"
"12/03/2024","960.20","951.20","964.80","945.30","22.72K","1.03%"
"12/02/2024","950.40","952.40","953.10","941.20","18.66K","-0.39%"
"11/29/2024","954.10","932.20","956.90","930.10","25.64K","2.39%"
"11/27/2024","931.80","931.30","943.90","929.00","23.46K","0.76%"
"11/26/2024","924.80","938.20","940.10","926.50","0.07K","-1.65%"
"11/25/2024","940.30","971.30","971.30","940.20","0.08K","-3.18%"
"11/22/2024","971.20","964.50","967.50","961.30","0.04K","0.47%"
"11/21/2024","966.70","965.90","968.20","957.50","0.05K","0.47%"
"11/20/2024","962.20","976.60","976.60","960.40","0.03K","-1.68%"
"11/19/2024","978.60","973.20","982.60","967.20","17.70K","0.42%"
"11/18/2024","974.50","946.20","976.00","944.30","23.81K","3.11%"
"11/15/2024","945.10","944.40","956.90","938.40","19.65K","0.12%"
"11/14/2024","944.00","942.00","948.50","932.30","25.61K","0.05%"
"11/13/2024","943.50","955.40","960.60","940.80","24.52K","-0.50%"
"11/12/2024","948.20","972.20","972.20","945.50","29.79K","-2.20%"
"11/11/2024","969.50","978.20","995.00","966.90","23.84K","-0.92%"
"11/08/2024","978.50","1,004.60","1,007.80","972.50","27.52K","-2.06%"
"11/07/2024","999.10","992.30","1,005.60","981.60","23.74K","0.63%"
"11/06/2024","992.80","1,007.40","1,008.50","971.80","35.89K","-1.38%"
"11/05/2024","1,006.70","988.70","1,012.00","986.70","18.31K","1.64%"
"11/04/2024","990.50","1,003.00","1,009.50","986.50","21.07K","-1.24%"
"11/01/2024","1,002.90","999.90","1,014.20","994.20","21.72K","0.33%"
"10/31/2024","999.60","1,022.60","1,022.90","993.00","28.50K","-2.16%"
"10/30/2024","1,021.70","1,062.70","1,064.60","1,018.90","31.08K","-3.28%"
"10/29/2024","1,056.30","1,042.90","1,059.80","1,042.90","0.09K","1.10%"
"10/28/2024","1,044.80","1,030.30","1,046.40","1,023.30","0.06K","1.06%"
"10/25/2024","1,033.80","1,034.80","1,034.80","1,011.00","0.07K","0.36%"
"10/24/2024","1,030.10","1,024.50","1,048.70","1,024.50","0.29K","0.51%"
