"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2013","3,776.53","3,809.79","3,819.07","3,774.72","","-0.87%"
"10/08/2013","3,809.79","3,812.86","3,820.23","3,796.24","","-0.08%"
"10/07/2013","3,812.86","3,839.24","3,839.40","3,802.01","","-0.69%"
"10/04/2013","3,839.24","3,832.00","3,841.64","3,830.63","","0.33%"
"10/03/2013","3,826.61","3,821.79","3,837.59","3,808.46","","0.13%"
"10/02/2013","3,821.79","3,855.70","3,860.58","3,819.59","","-0.88%"
"10/01/2013","3,855.70","3,823.85","3,858.11","3,822.46","","0.83%"
"09/30/2013","3,823.85","3,872.91","3,872.91","3,822.82","","-1.27%"
"09/27/2013","3,872.91","3,896.27","3,896.27","3,859.54","","-0.60%"
"09/26/2013","3,896.27","3,902.07","3,919.80","3,890.87","","-0.15%"
"09/25/2013","3,902.07","3,918.11","4,414.61","3,883.45","","-0.41%"
"09/24/2013","3,918.11","3,952.03","3,952.03","3,907.02","","-0.82%"
"09/23/2013","3,950.45","3,820.84","3,964.35","3,820.84","","3.39%"
"09/17/2013","3,820.84","3,835.20","3,844.74","3,812.43","","-0.37%"
"09/16/2013","3,835.03","3,791.66","3,849.03","3,513.99","","1.14%"
"09/13/2013","3,791.66","3,830.97","3,832.07","3,790.97","","-1.03%"
"09/12/2013","3,830.97","3,903.44","3,904.61","3,820.79","","-1.86%"
"09/11/2013","3,903.44","3,893.42","3,915.76","3,625.95","","0.26%"
"09/10/2013","3,893.42","3,893.53","3,946.90","3,858.61","","0.00%"
"09/09/2013","3,893.53","3,799.28","3,900.11","3,799.28","","2.48%"
"09/06/2013","3,799.28","3,709.79","3,803.83","3,709.79","","2.41%"
"09/05/2013","3,709.79","3,618.64","3,711.66","3,618.64","","2.52%"
"09/04/2013","3,618.64","3,613.70","3,626.57","3,613.61","","0.14%"
"09/03/2013","3,613.70","3,639.13","3,647.52","3,611.91","","-0.70%"
"09/02/2013","3,639.13","3,628.73","3,656.08","3,628.50","","0.29%"
"08/30/2013","3,628.73","3,554.45","3,632.10","3,553.48","","2.09%"
"08/29/2013","3,554.45","3,537.81","3,575.50","3,531.18","","0.47%"
"08/28/2013","3,537.81","3,558.24","3,591.17","3,532.60","","-0.57%"
"08/27/2013","3,558.24","3,641.24","3,641.24","3,556.89","","-2.28%"
"08/26/2013","3,641.24","3,660.90","3,684.36","3,640.04","","-0.52%"
"08/23/2013","3,660.17","3,616.15","3,661.42","3,616.15","","1.22%"
"08/22/2013","3,616.15","3,621.79","3,651.68","3,611.84","","-0.12%"
"08/21/2013","3,620.66","3,687.19","3,687.19","3,616.85","","-1.80%"
"08/20/2013","3,687.19","3,702.92","3,714.20","3,680.40","","-0.42%"
"08/19/2013","3,702.92","3,730.40","3,731.56","3,697.97","","-0.74%"
"08/16/2013","3,730.40","3,759.45","3,763.26","3,728.17","","-0.77%"
"08/14/2013","3,759.45","3,775.22","3,776.33","3,748.24","","-0.42%"
"08/13/2013","3,775.22","3,785.04","3,800.14","3,763.32","","-0.26%"
"08/12/2013","3,785.04","3,779.02","3,794.09","3,777.58","","0.16%"
"08/09/2013","3,779.02","3,740.59","3,786.78","3,730.07","","1.03%"
"08/08/2013","3,740.59","3,666.22","3,749.28","3,666.22","","2.03%"
"08/07/2013","3,666.22","3,711.01","3,713.22","3,659.54","","-1.21%"
"08/06/2013","3,711.01","3,778.91","3,784.54","3,704.88","","-1.80%"
"08/05/2013","3,778.91","3,820.54","3,822.67","3,767.16","","-1.09%"
"08/02/2013","3,820.54","3,830.59","3,855.89","3,815.49","","-0.26%"
"08/01/2013","3,830.59","3,732.54","3,833.08","3,732.54","","2.63%"
"07/31/2013","3,732.54","3,748.36","3,753.49","3,708.66","","-0.42%"
"07/30/2013","3,748.36","3,803.89","3,803.89","3,731.84","","-1.46%"
"07/29/2013","3,803.89","3,809.52","3,811.24","3,783.95","","-0.15%"
"07/26/2013","3,809.52","3,849.89","3,852.74","3,807.51","","-1.05%"
"07/25/2013","3,849.89","3,872.01","3,872.41","3,847.79","","-0.57%"
"07/24/2013","3,872.01","3,859.95","3,884.23","3,859.95","","0.31%"
"07/23/2013","3,859.95","3,859.92","3,873.95","3,848.97","","0.00%"
"07/22/2013","3,859.92","3,852.57","3,864.13","3,848.65","","0.19%"
"07/19/2013","3,852.57","3,909.94","3,909.94","3,845.82","","-1.47%"
"07/18/2013","3,909.94","3,864.43","3,924.35","3,864.43","","1.18%"
"07/17/2013","3,864.43","3,806.92","3,875.51","3,806.92","","1.51%"
"07/15/2013","3,806.92","3,740.30","3,808.11","3,734.97","","1.78%"
"07/12/2013","3,740.30","3,730.44","3,750.93","3,709.99","","0.26%"
"07/11/2013","3,730.44","3,735.91","3,782.14","3,724.11","","-0.15%"
"07/10/2013","3,735.91","3,777.95","3,791.85","3,730.54","","-1.11%"
"07/09/2013","3,777.95","3,817.70","3,821.30","3,757.64","","-1.04%"
"07/08/2013","3,817.70","3,831.92","3,843.15","3,814.05","","-0.37%"
"07/05/2013","3,831.92","3,866.23","3,876.71","3,826.09","","-0.89%"
"07/04/2013","3,866.23","3,847.62","3,875.40","3,847.18","","0.48%"
"07/03/2013","3,847.62","3,876.62","3,877.79","3,842.30","","-0.75%"
"07/02/2013","3,876.62","3,953.87","3,955.96","3,861.49","","-1.95%"
"07/01/2013","3,953.87","4,029.67","4,038.35","3,952.61","","-1.88%"
"06/28/2013","4,029.67","3,961.88","4,033.13","3,958.32","","1.71%"
"06/27/2013","3,961.88","3,903.31","3,965.51","3,903.31","","1.50%"
"06/26/2013","3,903.31","3,821.26","3,913.09","3,821.26","","2.15%"
"06/25/2013","3,821.26","3,802.19","3,845.75","3,802.19","","0.50%"
"06/24/2013","3,802.19","3,821.74","3,821.74","3,723.89","","-0.51%"
"06/21/2013","3,821.74","3,826.43","3,857.58","3,805.18","","-0.12%"
"06/20/2013","3,826.43","3,947.11","3,947.11","3,816.47","","-3.06%"
"06/19/2013","3,947.11","3,974.23","3,986.74","3,943.77","","-0.68%"
"06/18/2013","3,974.23","3,972.59","3,994.62","3,972.59","","0.04%"
"06/17/2013","3,972.59","3,990.21","4,008.41","3,959.08","","-0.44%"
"06/14/2013","3,990.21","3,981.48","3,997.01","3,976.90","","0.22%"
"06/13/2013","3,981.48","3,924.43","3,996.37","3,914.10","","1.45%"
