"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2024","49,650.51","49,263.04","49,757.58","49,174.44","43.03M","0.80%"
"12/19/2024","49,254.47","49,919.59","50,657.93","49,200.60","176.31M","-1.43%"
"12/18/2024","49,968.44","50,414.44","50,636.90","49,896.07","208.79M","-1.05%"
"12/17/2024","50,500.34","50,718.05","50,928.81","50,371.27","276.37M","-0.69%"
"12/16/2024","50,849.43","51,626.66","51,639.95","50,784.56","240.71M","-1.49%"
"12/13/2024","51,619.75","51,265.18","51,717.64","51,043.68","263.27M","0.64%"
"12/11/2024","51,289.74","51,285.29","51,433.08","50,975.49","202.34M","-0.17%"
"12/10/2024","51,377.28","52,207.76","52,207.76","51,343.14","184.83M","-1.56%"
"12/09/2024","52,190.68","51,417.93","52,291.89","51,370.39","192.66M","1.64%"
"12/06/2024","51,348.80","51,644.52","51,819.76","51,263.92","178.10M","-0.79%"
"12/05/2024","51,756.84","51,143.51","51,912.21","51,087.58","209.96M","0.99%"
"12/04/2024","51,249.80","50,828.47","51,370.12","50,745.56","208.06M","0.83%"
"12/03/2024","50,828.06","50,565.98","51,050.98","50,400.10","226.63M","0.82%"
"12/02/2024","50,414.17","49,954.98","50,610.82","49,954.98","216.61M","1.21%"
"11/29/2024","49,812.64","49,748.65","50,406.66","49,458.79","159.87M","-0.26%"
"11/28/2024","49,941.27","49,812.09","50,102.83","49,756.48","40.83M","0.31%"
"11/27/2024","49,787.82","49,690.49","50,098.08","49,600.03","218.92M","0.13%"
"11/26/2024","49,721.85","50,135.86","50,298.85","49,562.99","200.05M","-0.97%"
"11/25/2024","50,207.18","50,366.75","50,931.28","50,136.56","773.79M","-0.44%"
"11/22/2024","50,430.02","50,149.27","50,499.64","49,921.78","208.58M","0.51%"
"11/21/2024","50,174.64","50,099.45","50,593.90","50,064.85","234.44M","0.01%"
"11/20/2024","50,168.88","50,276.58","50,368.18","49,976.47","221.52M","-0.11%"
"11/19/2024","50,222.40","50,493.48","50,759.37","50,165.78","194.47M","-0.49%"
"11/15/2024","50,469.40","50,321.77","50,860.10","50,321.77","153.07M","-0.17%"
"11/14/2024","50,553.31","50,790.59","50,905.00","50,380.00","198.74M","-0.38%"
"11/13/2024","50,747.63","51,074.86","51,134.84","50,706.11","179.94M","-0.68%"
"11/12/2024","51,096.64","51,492.63","51,514.40","50,984.01","170.23M","-0.69%"
"11/11/2024","51,449.43","51,765.41","51,907.05","51,410.29","156.14M","-0.76%"
"11/08/2024","51,845.17","51,937.38","52,028.21","51,370.36","163.29M","-0.89%"
"11/07/2024","52,311.08","51,800.52","52,594.22","51,580.85","254.70M","1.12%"
"11/06/2024","51,732.46","50,625.60","51,812.71","49,486.17","247.30M","1.77%"
"11/05/2024","50,831.51","50,639.43","50,934.65","50,253.88","179.68M","-0.10%"
"11/04/2024","50,882.54","50,595.33","51,193.34","50,446.34","140.02M","0.51%"
"11/01/2024","50,622.39","50,688.27","50,886.77","50,542.70","151.38M","-0.08%"
"10/31/2024","50,661.05","50,821.74","50,942.30","50,520.96","250.30M","-0.42%"
"10/30/2024","50,877.24","51,172.13","51,227.75","50,803.54","207.69M","-0.56%"
"10/29/2024","51,166.29","51,760.37","51,911.31","51,127.88","210.44M","-1.25%"
"10/28/2024","51,816.30","51,744.79","51,890.22","51,457.53","206.40M","0.06%"
"10/25/2024","51,784.33","51,822.28","52,221.66","51,743.29","201.31M","-0.02%"
"10/24/2024","51,795.56","52,175.86","52,421.65","51,543.17","221.58M","-0.66%"
"10/23/2024","52,142.13","52,183.12","52,506.68","51,878.57","206.24M","-0.43%"
"10/22/2024","52,368.69","52,753.32","52,753.32","51,877.40","248.60M","-0.84%"
"10/21/2024","52,814.82","53,054.25","53,141.54","52,538.99","144.29M","-0.40%"
"10/18/2024","53,027.42","52,510.92","53,076.69","52,354.14","178.43M","1.07%"
"10/17/2024","52,463.66","52,392.22","52,680.08","52,287.59","153.67M","-0.04%"
"10/16/2024","52,483.62","52,281.28","52,601.45","52,212.02","249.95M","0.20%"
"10/15/2024","52,377.78","52,010.75","52,410.31","51,922.15","251.83M","0.66%"
"10/14/2024","52,032.99","52,375.54","52,377.01","51,864.78","199.15M","-0.69%"
"10/11/2024","52,395.66","52,485.19","52,529.26","52,213.62","154.45M","0.01%"
"10/10/2024","52,391.29","51,875.63","52,475.60","51,741.71","230.01M","1.01%"
"10/09/2024","51,869.14","51,799.49","52,409.57","51,699.27","198.23M","0.20%"
"10/08/2024","51,764.64","52,085.07","52,095.76","51,567.96","242.91M","-0.53%"
"10/07/2024","52,039.87","52,587.77","53,067.02","51,943.00","178.65M","-1.08%"
"10/04/2024","52,609.87","51,763.54","52,984.36","51,731.62","208.83M","1.81%"
"10/03/2024","51,674.54","52,183.99","52,183.99","51,507.52","261.78M","-1.01%"
"10/02/2024","52,199.66","52,324.65","52,771.20","51,654.61","312.65M","-0.53%"
"09/30/2024","52,477.30","52,854.82","52,865.08","52,368.51","246.17M","-0.57%"
"09/27/2024","52,778.17","53,540.23","53,846.37","52,722.22","234.65M","-1.52%"
"09/26/2024","53,590.52","53,052.69","54,201.46","53,052.69","241.23M","0.75%"
"09/25/2024","53,190.93","53,496.74","53,597.83","53,100.25","221.52M","-0.86%"
"09/24/2024","53,653.95","52,529.94","53,711.58","52,529.94","279.23M","2.35%"
"09/23/2024","52,422.24","52,231.93","52,547.38","51,895.92","202.24M","0.44%"
"09/20/2024","52,190.48","52,913.12","52,913.12","52,082.45","899.08M","-1.37%"
"09/19/2024","52,918.04","52,735.25","53,114.01","52,636.70","204.81M","0.64%"
"09/18/2024","52,582.89","52,350.40","52,783.81","52,193.85","144.91M","0.59%"
"09/17/2024","52,273.53","51,978.63","52,796.49","51,978.63","203.05M","0.49%"
"09/13/2024","52,016.85","52,005.65","52,431.65","51,877.41","141.37M","0.03%"
"09/12/2024","51,999.73","51,158.21","52,137.38","51,158.21","229.95M","1.57%"
"09/11/2024","51,195.76","50,990.32","51,318.33","50,782.11","238.24M","0.44%"
"09/10/2024","50,973.11","51,099.70","51,283.87","50,790.24","241.35M","-0.32%"
"09/09/2024","51,136.05","51,044.56","51,578.67","51,020.33","153.37M","0.10%"
"09/06/2024","51,083.44","51,727.46","51,924.52","50,912.97","147.26M","-1.12%"
"09/05/2024","51,661.48","51,791.82","52,149.44","51,597.65","194.17M","-0.29%"
"09/04/2024","51,811.37","51,571.67","52,232.51","51,466.16","178.95M","0.43%"
"09/03/2024","51,589.42","52,421.70","52,462.74","51,507.48","200.06M","-1.72%"
"09/02/2024","52,493.38","52,133.89","52,737.12","52,091.59","31.03M","0.98%"
"08/30/2024","51,985.87","52,945.72","53,102.09","52,744.52","464.82M","-2.17%"
"08/29/2024","53,138.96","52,511.05","53,302.31","52,476.85","216.58M","1.33%"
"08/28/2024","52,439.87","52,500.07","52,972.61","52,388.48","239.11M","-0.07%"
"08/27/2024","52,474.31","53,122.58","53,403.01","52,457.73","200.49M","-1.31%"
