"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","0.7345","0.7337","0.7367","0.7333","","0.12%"
"12/18/2024","0.7336","0.7408","0.7413","0.7333","","-0.95%"
"12/17/2024","0.7406","0.7409","0.7418","0.7399","","-0.03%"
"12/16/2024","0.7408","0.7412","0.7422","0.7397","","-0.05%"
"12/13/2024","0.7412","0.7425","0.7429","0.7407","","-0.16%"
"12/12/2024","0.7424","0.7438","0.7454","0.7420","","-0.15%"
"12/11/2024","0.7435","0.7452","0.7464","0.7425","","-0.23%"
"12/10/2024","0.7452","0.7460","0.7474","0.7444","","-0.09%"
"12/09/2024","0.7459","0.7450","0.7479","0.7441","","0.17%"
"12/06/2024","0.7446","0.7470","0.7488","0.7445","","-0.27%"
"12/05/2024","0.7466","0.7441","0.7475","0.7437","","0.35%"
"12/04/2024","0.7440","0.7436","0.7453","0.7418","","0.07%"
"12/03/2024","0.7435","0.7434","0.7446","0.7417","","0.08%"
"12/02/2024","0.7429","0.7467","0.7475","0.7413","","-0.47%"
"11/29/2024","0.7464","0.7447","0.7483","0.7445","","0.30%"
"11/28/2024","0.7442","0.7454","0.7461","0.7433","","-0.24%"
"11/27/2024","0.7460","0.7426","0.7469","0.7417","","0.47%"
"11/26/2024","0.7425","0.7428","0.7442","0.7399","","-0.05%"
"11/25/2024","0.7429","0.7425","0.7452","0.7417","","0.05%"
"11/22/2024","0.7425","0.7425","0.7439","0.7398","","0.00%"
"11/21/2024","0.7425","0.7439","0.7455","0.7419","","-0.26%"
"11/20/2024","0.7444","0.7477","0.7482","0.7432","","-0.36%"
"11/19/2024","0.7471","0.7468","0.7477","0.7453","","0.04%"
"11/18/2024","0.7468","0.7447","0.7473","0.7432","","0.28%"
"11/15/2024","0.7447","0.7426","0.7464","0.7419","","0.28%"
"11/14/2024","0.7426","0.7445","0.7454","0.7411","","-0.28%"
"11/13/2024","0.7447","0.7473","0.7499","0.7441","","-0.32%"
"11/12/2024","0.7471","0.7495","0.7502","0.7459","","-0.32%"
"11/11/2024","0.7495","0.7537","0.7544","0.7488","","-0.56%"
"11/08/2024","0.7537","0.7575","0.7575","0.7514","","-0.50%"
"11/07/2024","0.7575","0.7497","0.7584","0.7490","","1.03%"
"11/06/2024","0.7498","0.7605","0.7614","0.7482","","-1.42%"
"11/05/2024","0.7606","0.7576","0.7612","0.7571","","0.40%"
"11/04/2024","0.7576","0.7538","0.7606","0.7538","","0.50%"
"11/01/2024","0.7538","0.7576","0.7580","0.7537","","-0.49%"
"10/31/2024","0.7575","0.7561","0.7577","0.7552","","0.19%"
"10/30/2024","0.7561","0.7550","0.7569","0.7540","","0.16%"
"10/29/2024","0.7549","0.7559","0.7564","0.7537","","-0.13%"
"10/28/2024","0.7559","0.7565","0.7573","0.7546","","-0.08%"
"10/25/2024","0.7565","0.7586","0.7587","0.7560","","-0.28%"
"10/24/2024","0.7586","0.7556","0.7586","0.7553","","0.38%"
"10/23/2024","0.7557","0.7596","0.7599","0.7551","","-0.50%"
"10/22/2024","0.7595","0.7595","0.7608","0.7591","","-0.01%"
"10/21/2024","0.7596","0.7636","0.7639","0.7591","","-0.46%"
"10/18/2024","0.7631","0.7608","0.7633","0.7601","","0.32%"
"10/17/2024","0.7607","0.7612","0.7630","0.7598","","-0.09%"
