"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/1990","5.388","5.393","5.445","5.385","","0.43%"
"01/11/1990","5.365","5.362","5.410","5.345","","-0.06%"
"01/10/1990","5.368","5.322","5.395","5.320","","1.32%"
"01/09/1990","5.298","5.315","5.325","5.265","","-0.23%"
"01/08/1990","5.310","5.335","5.377","5.306","","-1.39%"
"01/05/1990","5.385","5.335","5.400","5.275","","0.94%"
"01/04/1990","5.335","5.270","5.350","5.265","","2.20%"
"01/03/1990","5.220","5.232","5.260","5.176","","-0.63%"
"01/02/1990","5.253","5.232","5.350","5.225","","-0.38%"
"12/29/1989","5.273","5.272","5.345","5.250","","0.92%"
"12/28/1989","5.225","5.322","5.365","5.200","","-1.79%"
"12/27/1989","5.320","5.612","5.620","5.300","","-5.07%"
"12/26/1989","5.604","5.650","5.660","5.590","","-0.88%"
"12/22/1989","5.654","5.665","5.675","5.645","","0.28%"
"12/21/1989","5.638","5.687","5.710","5.631","","-0.18%"
"12/20/1989","5.648","5.655","5.679","5.630","","0.32%"
"12/19/1989","5.630","5.631","5.680","5.605","","-0.67%"
"12/18/1989","5.668","5.670","5.685","5.590","","-0.74%"
"12/15/1989","5.710","5.695","5.730","5.680","","0.83%"
"12/14/1989","5.663","5.650","5.690","5.610","","0.14%"
"12/13/1989","5.655","5.760","5.795","5.640","","-2.25%"
"12/12/1989","5.785","5.805","5.830","5.740","","-0.34%"
"12/11/1989","5.805","5.780","5.860","5.761","","0.78%"
"12/08/1989","5.760","5.720","5.790","5.695","","0.35%"
"12/07/1989","5.740","5.690","5.745","5.665","","1.15%"
"12/06/1989","5.675","5.655","5.690","5.625","","0.35%"
"12/05/1989","5.655","5.645","5.725","5.630","","0.44%"
"12/04/1989","5.630","5.740","5.755","5.620","","-2.73%"
"12/01/1989","5.788","5.820","5.865","5.775","","-0.12%"
"11/30/1989","5.795","5.705","5.865","5.690","","1.08%"
"11/29/1989","5.733","5.730","5.809","5.705","","0.67%"
"11/28/1989","5.695","5.600","5.730","5.590","","0.04%"
"11/27/1989","5.693","5.820","5.820","5.680","","-3.18%"
"11/24/1989","5.880","5.860","5.890","5.827","","1.24%"
"11/22/1989","5.808","5.850","5.885","5.755","","-0.63%"
"11/21/1989","5.845","5.765","5.850","5.690","","2.49%"
"11/20/1989","5.703","5.700","5.760","5.655","","0.32%"
"11/17/1989","5.685","5.695","5.715","5.590","","1.61%"
"11/16/1989","5.595","5.500","5.680","5.480","","1.03%"
"11/15/1989","5.538","5.395","5.560","5.355","","2.40%"
"11/14/1989","5.408","5.360","5.410","5.300","","1.69%"
"11/13/1989","5.318","5.320","5.350","5.300","","1.10%"
"11/10/1989","5.260","5.305","5.310","5.240","","-0.90%"
"11/09/1989","5.308","5.295","5.370","5.290","","0.25%"
"11/08/1989","5.295","5.295","5.300","5.260","","0.00%"
"11/07/1989","5.295","5.325","5.340","5.275","","0.51%"
"11/06/1989","5.268","5.270","5.290","5.240","","0.15%"
"11/03/1989","5.260","5.280","5.335","5.205","","-0.57%"
"11/02/1989","5.290","5.194","5.300","5.185","","1.97%"
"11/01/1989","5.188","5.220","5.220","5.171","","-0.57%"
"10/31/1989","5.218","5.275","5.280","5.195","","-1.23%"
"10/30/1989","5.283","5.310","5.315","5.260","","-0.70%"
"10/27/1989","5.320","5.230","5.350","5.215","","1.58%"
"10/26/1989","5.237","5.170","5.240","5.151","","1.49%"
"10/25/1989","5.160","5.180","5.185","5.140","","-0.67%"
"10/24/1989","5.195","5.140","5.200","5.135","","1.11%"
"10/23/1989","5.138","5.125","5.140","5.120","","-0.04%"
"10/20/1989","5.140","5.116","5.145","5.110","","0.14%"
"10/19/1989","5.133","5.175","5.185","5.110","","-0.52%"
"10/18/1989","5.160","5.180","5.193","5.155","","0.04%"
"10/17/1989","5.158","5.155","5.195","5.145","","-0.10%"
"10/16/1989","5.163","5.220","5.240","5.125","","0.45%"
"10/13/1989","5.140","5.150","5.180","5.135","","-0.25%"
"10/12/1989","5.153","5.150","5.167","5.135","","0.19%"
"10/11/1989","5.143","5.110","5.150","5.095","","0.84%"
"10/10/1989","5.100","5.120","5.150","5.080","","-0.45%"
"10/09/1989","5.123","5.190","5.205","5.115","","-1.29%"
"10/06/1989","5.190","5.230","5.244","5.180","","-1.01%"
"10/05/1989","5.243","5.340","5.375","5.220","","-1.60%"
"10/04/1989","5.328","5.305","5.350","5.300","","0.53%"
"10/03/1989","5.300","5.290","5.310","5.285","","-0.06%"
"10/02/1989","5.303","5.310","5.320","5.275","","-0.13%"
"09/29/1989","5.310","5.370","5.385","5.280","","-0.75%"
"09/28/1989","5.350","5.340","5.365","5.321","","0.28%"
"09/27/1989","5.335","5.390","5.410","5.312","","-0.37%"
"09/26/1989","5.355","5.360","5.420","5.340","","-0.37%"
"09/25/1989","5.375","5.420","5.430","5.345","","-0.09%"
"09/22/1989","5.380","5.300","5.385","5.300","","1.99%"
"09/21/1989","5.275","5.200","5.280","5.190","","1.15%"
"09/20/1989","5.215","5.175","5.250","5.170","","1.07%"
"09/19/1989","5.160","5.160","5.185","5.150","","-0.06%"
"09/18/1989","5.163","5.170","5.190","5.150","","-0.42%"
"09/15/1989","5.185","5.150","5.190","5.110","","0.54%"
"09/14/1989","5.157","5.185","5.220","5.145","","-0.29%"
"09/13/1989","5.172","5.179","5.185","5.135","","-0.10%"
"09/12/1989","5.177","5.180","5.195","5.165","","0.27%"
"09/11/1989","5.163","5.175","5.185","5.160","","-0.04%"
"09/08/1989","5.165","5.230","5.235","5.140","","-1.30%"
"09/07/1989","5.233","5.200","5.245","5.190","","0.25%"
"09/06/1989","5.220","5.200","5.235","5.200","","0.77%"
"09/05/1989","5.180","5.180","5.195","5.170","","-0.29%"
"09/01/1989","5.195","5.180","5.200","5.155","","0.58%"
"08/31/1989","5.165","5.200","5.205","5.160","","-0.86%"
"08/30/1989","5.210","5.230","5.250","5.205","","2.30%"
"08/29/1989","5.093","5.105","5.150","5.085","","-0.04%"
"08/28/1989","5.095","5.135","5.140","5.090","","-0.39%"
"08/25/1989","5.115","5.140","5.150","5.110","","-1.16%"
"08/24/1989","5.175","5.165","5.195","5.145","","0.00%"
"08/23/1989","5.175","5.230","5.250","5.170","","-1.15%"
"08/22/1989","5.235","5.235","5.260","5.220","","-0.15%"
"08/21/1989","5.243","5.235","5.255","5.220","","-0.23%"
"08/18/1989","5.255","5.255","5.274","5.195","","-0.19%"
"08/17/1989","5.265","5.190","5.295","5.170","","1.11%"
"08/16/1989","5.207","5.265","5.275","5.170","","-1.10%"
"08/15/1989","5.265","5.210","5.275","5.205","","0.86%"
"08/14/1989","5.220","5.195","5.245","5.185","","0.04%"
"08/11/1989","5.218","5.160","5.260","5.100","","0.48%"
"08/10/1989","5.193","5.195","5.210","5.165","","0.15%"
"08/09/1989","5.185","5.170","5.210","5.155","","-0.06%"
"08/08/1989","5.188","5.190","5.215","5.145","","0.54%"
"08/07/1989","5.160","5.205","5.225","5.150","","-0.77%"
"08/04/1989","5.200","5.320","5.340","5.170","","-2.49%"
"08/03/1989","5.333","5.250","5.380","5.235","","1.33%"
"08/02/1989","5.263","5.280","5.305","5.240","","-0.57%"
"08/01/1989","5.293","5.290","5.330","5.225","","-0.38%"
"07/31/1989","5.313","5.180","5.320","5.125","","2.51%"
"07/28/1989","5.183","5.240","5.240","5.135","","-1.52%"
"07/27/1989","5.263","5.280","5.290","5.250","","-0.23%"
"07/26/1989","5.275","5.245","5.310","5.240","","0.29%"
"07/25/1989","5.260","5.250","5.267","5.220","","0.10%"
"07/24/1989","5.255","5.255","5.279","5.240","","0.29%"
"07/21/1989","5.240","5.270","5.310","5.205","","0.06%"
"07/20/1989","5.237","5.225","5.285","5.215","","0.46%"
"07/19/1989","5.213","5.280","5.300","5.205","","-1.73%"
"07/18/1989","5.305","5.300","5.360","5.275","","-0.38%"
"07/17/1989","5.325","5.285","5.380","5.280","","1.08%"
"07/14/1989","5.268","5.240","5.310","5.190","","0.15%"
"07/13/1989","5.260","5.250","5.270","5.206","","0.10%"
"07/12/1989","5.255","5.320","5.365","5.200","","-1.37%"
"07/11/1989","5.328","5.280","5.365","5.255","","0.43%"
"07/10/1989","5.305","5.330","5.340","5.290","","0.38%"
"07/07/1989","5.285","5.420","5.475","5.265","","-3.15%"
"07/06/1989","5.457","5.430","5.465","5.405","","-0.33%"
"07/05/1989","5.475","5.340","5.495","5.310","","3.01%"
"07/03/1989","5.315","5.270","5.319","5.255","","1.37%"
"06/30/1989","5.243","5.240","5.270","5.190","","0.63%"
"06/29/1989","5.210","5.390","5.400","5.200","","-1.42%"
"06/28/1989","5.285","5.290","5.324","5.265","","-0.47%"
"06/27/1989","5.310","5.295","5.350","5.280","","0.00%"
"06/26/1989","5.310","5.300","5.365","5.250","","-0.52%"
"06/23/1989","5.338","5.330","5.410","5.230","","0.66%"
"06/22/1989","5.303","5.330","5.378","5.260","","0.09%"
"06/21/1989","5.298","5.254","5.335","5.240","","0.91%"
"06/20/1989","5.250","5.350","5.380","5.240","","-1.69%"
"06/19/1989","5.340","5.315","5.390","5.315","","0.66%"
"06/16/1989","5.305","5.320","5.390","5.270","","-0.47%"
"06/15/1989","5.330","5.220","5.360","5.170","","0.95%"
"06/14/1989","5.280","5.250","5.314","5.230","","0.57%"
"06/13/1989","5.250","5.235","5.275","5.195","","0.38%"
"06/12/1989","5.230","5.220","5.270","5.195","","0.77%"
"06/09/1989","5.190","5.390","5.495","5.170","","-5.26%"
"06/08/1989","5.478","5.480","5.545","5.445","","-0.40%"
"06/07/1989","5.500","5.450","5.550","5.390","","0.55%"
"06/06/1989","5.470","5.285","5.475","5.260","","3.15%"
"06/05/1989","5.303","5.330","5.355","5.285","","-0.66%"
"06/02/1989","5.338","5.250","5.350","5.215","","1.87%"
"06/01/1989","5.240","5.205","5.260","5.175","","0.67%"
"05/31/1989","5.205","5.275","5.285","5.195","","-1.42%"
"05/30/1989","5.280","5.270","5.285","5.230","","-0.47%"
"05/26/1989","5.305","5.385","5.395","5.275","","-0.24%"
"05/25/1989","5.318","5.260","5.350","5.255","","1.64%"
"05/24/1989","5.232","5.220","5.245","5.185","","0.00%"
"05/23/1989","5.232","5.235","5.350","5.220","","1.30%"
"05/22/1989","5.165","5.120","5.230","5.120","","-2.40%"
"05/19/1989","5.292","5.380","5.420","5.280","","-3.20%"
"05/18/1989","5.467","5.490","5.510","5.455","","-0.55%"
"05/17/1989","5.497","5.570","5.580","5.480","","-1.36%"
"05/16/1989","5.573","5.585","5.595","5.560","","0.14%"
"05/15/1989","5.565","5.560","5.605","5.560","","-0.80%"
"05/12/1989","5.610","5.736","5.740","5.605","","-2.18%"
"05/11/1989","5.735","5.730","5.750","5.705","","0.70%"
"05/10/1989","5.695","5.765","5.775","5.690","","-1.04%"
"05/09/1989","5.755","5.690","5.760","5.675","","1.37%"
"05/08/1989","5.677","5.700","5.725","5.660","","-0.18%"
"05/05/1989","5.687","5.700","5.715","5.660","","-0.35%"
"05/04/1989","5.707","5.735","5.755","5.700","","-0.40%"
"05/03/1989","5.730","5.725","5.765","5.720","","0.21%"
"05/02/1989","5.718","5.750","5.770","5.705","","-0.56%"
"05/01/1989","5.750","5.691","5.790","5.690","","0.79%"
"04/28/1989","5.705","5.730","5.745","5.675","","-0.78%"
"04/27/1989","5.750","5.875","5.880","5.750","","-0.23%"
"04/26/1989","5.763","5.790","5.790","5.750","","-0.55%"
"04/25/1989","5.795","5.820","5.840","5.790","","-0.65%"
"04/24/1989","5.833","5.760","5.855","5.750","","1.18%"
"04/21/1989","5.765","5.780","5.795","5.750","","-0.38%"
"04/20/1989","5.787","5.780","5.805","5.740","","0.38%"
"04/19/1989","5.765","5.790","5.819","5.740","","-0.26%"
"04/18/1989","5.780","5.830","5.835","5.760","","-0.86%"
"04/17/1989","5.830","5.826","5.840","5.800","","0.09%"
"04/14/1989","5.825","5.880","5.965","5.780","","-1.10%"
"04/13/1989","5.890","5.910","5.955","5.875","","-0.08%"
"04/12/1989","5.895","5.845","5.940","5.845","","0.55%"
"04/11/1989","5.863","5.855","5.880","5.846","","0.22%"
"04/10/1989","5.850","5.770","5.885","5.760","","0.90%"
"04/07/1989","5.798","5.850","5.855","5.770","","-0.60%"
"04/06/1989","5.833","5.850","5.865","5.830","","-0.09%"
"04/05/1989","5.838","5.830","5.885","5.820","","-0.31%"
"04/04/1989","5.856","5.855","5.889","5.835","","0.39%"
