"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2010","3.8600","3.8610","3.8665","3.8560","","-0.03%"
"03/18/2010","3.8610","3.8580","3.8660","3.8550","","0.05%"
"03/17/2010","3.8590","3.8605","3.8665","3.8555","","-0.06%"
"03/16/2010","3.8615","3.8580","3.8660","3.8550","","0.01%"
"03/15/2010","3.8610","3.8560","3.8660","3.8540","","0.10%"
"03/12/2010","3.8570","3.8555","3.8630","3.8525","","0.01%"
"03/11/2010","3.8565","3.8580","3.8640","3.8505","","-0.06%"
"03/10/2010","3.8590","3.8580","3.8665","3.8528","","-0.06%"
"03/09/2010","3.8615","3.8555","3.8665","3.8535","","0.18%"
"03/08/2010","3.8545","3.8575","3.8630","3.8510","","-0.10%"
"03/05/2010","3.8585","3.8505","3.8630","3.8500","","0.05%"
"03/04/2010","3.8565","3.8515","3.8615","3.8480","","0.13%"
"03/03/2010","3.8515","3.8505","3.8610","3.8475","","-0.05%"
"03/02/2010","3.8535","3.8595","3.8640","3.8505","","-0.18%"
"03/01/2010","3.8605","3.8575","3.8640","3.8505","","0.06%"
"02/26/2010","3.8580","3.8550","3.8668","3.8528","","-0.06%"
"02/25/2010","3.8605","3.8570","3.8675","3.8525","","0.03%"
"02/24/2010","3.8595","3.8675","3.8710","3.8525","","-0.23%"
"02/23/2010","3.8685","3.8580","3.8810","3.8535","","0.26%"
"02/22/2010","3.8585","3.8580","3.8640","3.8530","","0.05%"
"02/19/2010","3.8565","3.8550","3.8630","3.8500","","-0.04%"
"02/18/2010","3.8580","3.8525","3.8630","3.8473","","-0.09%"
"02/17/2010","3.8613","3.8535","3.8633","3.8425","","0.66%"
"02/16/2010","3.8358","3.8530","3.8660","3.8333","","-0.47%"
"02/15/2010","3.8540","3.8520","3.8580","3.8505","","0.24%"
"02/12/2010","3.8447","3.8460","3.8562","3.8400","","-0.08%"
"02/11/2010","3.8479","3.8410","3.8552","3.8380","","0.15%"
"02/10/2010","3.8420","3.8370","3.8525","3.8365","","0.10%"
"02/09/2010","3.8380","3.8370","3.8475","3.8340","","0.00%"
"02/08/2010","3.8380","3.8405","3.8470","3.8343","","-0.09%"
"02/05/2010","3.8415","3.8410","3.8505","3.8350","","-0.01%"
"02/04/2010","3.8420","3.8300","3.8490","3.8298","","0.20%"
"02/03/2010","3.8345","3.8220","3.8375","3.8215","","0.30%"
"02/02/2010","3.8230","3.8300","3.8390","3.8195","","-0.21%"
"02/01/2010","3.8310","3.8225","3.8590","3.8225","","0.20%"
"01/29/2010","3.8235","3.8195","3.8380","3.8155","","0.08%"
"01/28/2010","3.8205","3.8130","3.8240","3.8090","","0.17%"
"01/27/2010","3.8140","3.8040","3.8230","3.8020","","0.24%"
"01/26/2010","3.8050","3.8040","3.8184","3.8005","","0.00%"
"01/25/2010","3.8050","3.8070","3.8115","3.8000","","-0.03%"
"01/22/2010","3.8060","3.8050","3.8168","3.8025","","0.00%"
"01/21/2010","3.8060","3.7965","3.8135","3.7965","","0.22%"
"01/20/2010","3.7975","3.7960","3.8063","3.7940","","0.01%"
"01/19/2010","3.7970","3.7900","3.8060","3.7850","","0.16%"
"01/18/2010","3.7910","3.8005","3.8015","3.7880","","-0.28%"
"01/15/2010","3.8015","3.7930","3.8095","3.7915","","0.20%"
"01/14/2010","3.7940","3.7930","3.8000","3.7905","","-0.09%"
"01/13/2010","3.7975","3.7875","3.8035","3.7830","","0.24%"
"01/12/2010","3.7885","3.7940","3.8010","3.7850","","-0.17%"
"01/11/2010","3.7950","3.8000","3.8053","3.7875","","-0.16%"
"01/08/2010","3.8010","3.7940","3.8070","3.7910","","-0.26%"
"01/07/2010","3.8108","3.8070","3.8135","3.7890","","0.07%"
"01/06/2010","3.8080","3.7950","3.8195","3.7925","","0.32%"
"01/05/2010","3.7960","3.7970","3.8025","3.7920","","0.07%"
"01/04/2010","3.7935","3.7980","3.8060","3.7900","","-0.20%"
"01/01/2010","3.8010","3.8000","3.8010","3.8000","","0.00%"
"12/31/2009","3.8010","3.8125","3.8155","3.7895","","-0.33%"
"12/30/2009","3.8135","3.8220","3.8390","3.7955","","-0.25%"
"12/29/2009","3.8230","3.7880","3.8330","3.7860","","0.90%"
"12/28/2009","3.7890","3.7925","3.8030","3.7795","","-0.13%"
"12/25/2009","3.7940","3.7930","3.7940","3.7930","","0.01%"
