"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2019","3.7750","3.7755","3.7755","3.7755","","0.00%"
"03/04/2019","3.7750","3.7748","3.7755","3.7748","0.05K","0.00%"
"03/01/2019","3.7749","3.7510","3.7965","3.7460","70.19K","0.63%"
"02/28/2019","3.7511","3.7265","3.7597","3.7173","77.19K","0.61%"
"02/27/2019","3.7285","3.7446","3.7484","3.7221","66.12K","-0.54%"
"02/26/2019","3.7487","3.7517","3.7669","3.7383","70.24K","-0.09%"
"02/25/2019","3.7519","3.7477","3.7523","3.7194","61.75K","0.10%"
"02/22/2019","3.7482","3.7682","3.7682","3.7264","64.59K","-0.56%"
"02/21/2019","3.7693","3.7254","3.7724","3.7155","70.21K","1.13%"
"02/20/2019","3.7273","3.7240","3.7374","3.6905","73.72K","0.12%"
"02/19/2019","3.7227","3.7332","3.7452","3.7034","61.67K","-0.33%"
"02/18/2019","3.7351","3.7020","3.7429","3.7020","44.11K","0.93%"
"02/15/2019","3.7007","3.7205","3.7268","3.6991","73.21K","-0.60%"
"02/14/2019","3.7232","3.7524","3.7956","3.7144","81.43K","-0.83%"
"02/13/2019","3.7543","3.7106","3.7627","3.7106","72.41K","1.20%"
"02/12/2019","3.7097","3.7442","3.7476","3.7026","73.26K","-1.27%"
"02/11/2019","3.7576","3.7322","3.7751","3.7279","65.13K","0.77%"
"02/08/2019","3.7290","3.7196","3.7483","3.7028","81.98K","0.33%"
"02/07/2019","3.7166","3.6999","3.7379","3.6994","88.29K","0.50%"
"02/06/2019","3.6982","3.6699","3.7166","3.6673","75.25K","0.78%"
"02/05/2019","3.6695","3.6643","3.6851","3.6612","70.48K","0.02%"
"02/04/2019","3.6686","3.6597","3.6884","3.6595","68.75K","0.25%"
"02/01/2019","3.6596","3.6455","3.6828","3.6385","72.65K","0.43%"
"01/31/2019","3.6439","3.6865","3.6865","3.6364","83.29K","-1.11%"
"01/30/2019","3.6849","3.7205","3.7327","3.6744","76.38K","-0.95%"
"01/29/2019","3.7201","3.7617","3.7655","3.7155","65.15K","-1.10%"
"01/28/2019","3.7614","3.7785","3.7879","3.7505","64.27K","-0.21%"
"01/25/2019","3.7695","3.7705","3.7710","3.7703","0.00K","-0.06%"
"01/24/2019","3.7718","3.7746","3.7946","3.7375","59.57K","0.19%"
"01/23/2019","3.7648","3.7938","3.8124","3.7554","54.05K","-1.30%"
"01/22/2019","3.8142","3.7550","3.8171","3.7454","56.60K","1.62%"
"01/21/2019","3.7535","3.7604","3.7804","3.7534","34.70K","0.09%"
"01/18/2019","3.7502","3.7475","3.7738","3.7278","58.60K","0.00%"
"01/17/2019","3.7502","3.7339","3.7746","3.7267","58.18K","0.38%"
"01/16/2019","3.7361","3.7156","3.7384","3.7087","15.40K","0.52%"
"01/15/2019","3.7167","3.7032","3.7328","3.6944","21.18K","0.51%"
"01/14/2019","3.6978","3.7113","3.7352","3.6840","0.34K","-0.35%"
"01/11/2019","3.7108","3.6948","3.7303","3.6912","12.53K","0.01%"
"01/10/2019","3.7104","3.6807","3.7254","3.6751","0.00K","0.81%"
"01/09/2019","3.6806","3.7138","3.7159","3.6750","48.59K","-0.88%"
"01/08/2019","3.7132","3.7373","3.7423","3.7039","49.06K","-0.59%"
"01/07/2019","3.7351","3.7144","3.7387","3.6900","44.59K","0.53%"
"01/04/2019","3.7154","3.7593","3.7857","3.7093","56.28K","-1.09%"
"01/03/2019","3.7564","3.7965","3.8081","3.7380","55.71K","-0.88%"
"01/02/2019","3.7897","3.8793","3.8976","3.7833","44.05K","-2.34%"
"01/01/2019","3.8804","3.8804","3.8804","3.8804","","0.00%"
"12/31/2018","3.8804","3.8804","3.8804","3.8804","","0.00%"
"12/28/2018","3.8804","3.8775","3.8956","3.8298","","0.19%"
"12/27/2018","3.8732","3.9200","3.9461","3.8688","","-1.24%"
"12/26/2018","3.9219","3.9040","3.9416","3.8923","","0.47%"
"12/25/2018","3.9035","3.9035","3.9035","3.9035","","0.00%"
"12/24/2018","3.9035","3.9040","3.9040","3.9040","","-0.01%"
"12/21/2018","3.9039","3.8408","3.9078","3.8395","","1.61%"
"12/20/2018","3.8419","3.8970","3.8970","3.8331","","-1.43%"
"12/19/2018","3.8976","3.9020","3.9140","3.8639","","-0.38%"
"12/18/2018","3.9123","3.8979","3.9179","3.8841","","0.33%"
"12/17/2018","3.8994","3.9175","3.9294","3.8774","","-0.45%"
"12/14/2018","3.9170","3.9122","3.9219","3.8879","","0.67%"
"12/13/2018","3.8910","3.8551","3.8977","3.8512","","0.92%"
"12/12/2018","3.8554","3.8948","3.9004","3.8364","","-1.24%"
"12/11/2018","3.9039","3.9202","3.9232","3.8884","","-0.35%"
"12/10/2018","3.9178","3.9075","3.9460","3.8914","","0.27%"
"12/07/2018","3.9074","3.8817","3.9246","3.8576","","0.76%"
"12/06/2018","3.8779","3.8897","3.9436","3.8727","","0.25%"
