"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","997.11","994.41","1,000.14","994.41","","0.39%"
"12/18/2024","993.28","987.70","994.77","984.35","","0.68%"
"12/17/2024","986.56","990.63","995.12","986.56","","-0.28%"
"12/16/2024","989.33","986.38","993.12","986.38","","0.36%"
"12/13/2024","985.83","978.77","987.83","977.23","","0.87%"
"12/12/2024","977.37","975.40","981.63","971.88","","0.30%"
"12/11/2024","974.40","974.08","978.75","972.70","","0.20%"
"12/10/2024","972.48","969.05","977.02","968.23","","0.35%"
"12/09/2024","969.05","975.13","975.13","967.93","","-0.59%"
"12/06/2024","974.84","970.10","976.30","966.84","","0.62%"
"12/05/2024","968.83","974.95","975.32","968.89","","-0.53%"
"12/04/2024","973.95","973.00","976.69","971.38","","0.20%"
"12/03/2024","972.00","978.22","978.22","970.75","","-0.61%"
"12/02/2024","977.93","973.44","981.63","973.43","","0.49%"
"11/29/2024","973.15","978.63","980.35","971.68","","-0.55%"
"11/28/2024","978.58","977.45","980.36","973.55","","0.15%"
"11/27/2024","977.10","978.01","978.50","972.78","","0.04%"
"11/26/2024","976.70","975.65","978.82","970.80","","0.12%"
"11/25/2024","975.50","986.96","986.96","973.38","","-1.13%"
"11/22/2024","986.67","974.00","987.59","973.75","","1.34%"
"11/21/2024","973.64","973.09","974.71","967.53","","0.09%"
"11/20/2024","972.79","971.85","974.78","969.88","","0.13%"
"11/19/2024","971.55","972.85","978.06","969.85","","-0.10%"
"11/18/2024","972.50","979.71","981.23","972.31","","-0.71%"
"11/15/2024","979.41","975.86","981.44","969.37","","0.37%"
"11/14/2024","975.81","979.07","982.75","972.65","","-0.30%"
"11/13/2024","978.77","985.60","985.60","976.62","","-0.66%"
"11/12/2024","985.30","980.05","987.25","979.35","","0.63%"
"11/11/2024","979.10","970.46","984.19","970.46","","0.92%"
"11/08/2024","970.17","949.10","973.81","948.55","","2.25%"
"11/07/2024","948.80","960.63","960.63","944.63","","-1.20%"
"11/06/2024","960.33","955.90","976.71","955.90","","0.57%"
"11/05/2024","954.90","954.47","958.00","948.90","","0.08%"
"11/04/2024","954.17","961.14","961.33","951.20","","-0.69%"
"11/01/2024","960.80","961.42","961.47","960.36","","-0.03%"
"10/31/2024","961.12","962.04","962.04","960.50","","-0.06%"
"10/30/2024","961.73","954.25","964.92","951.50","","0.80%"
"10/29/2024","954.10","947.13","959.46","943.51","","0.77%"
"10/28/2024","946.84","948.95","949.60","943.74","","-0.19%"
"10/25/2024","948.61","946.78","951.21","946.24","","0.19%"
