"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2009","2,279.80","2,293.40","2,293.60","2,261.90","","-0.59%"
"05/01/2009","2,293.40","2,290.02","2,293.50","2,289.60","","0.17%"
"04/30/2009","2,289.60","2,291.15","2,300.00","2,276.70","","-0.11%"
"04/29/2009","2,292.10","2,330.90","2,339.90","2,279.20","","-1.61%"
"04/28/2009","2,329.53","2,341.35","2,358.31","2,324.52","","-0.51%"
"04/27/2009","2,341.40","2,298.70","2,350.70","2,290.70","","2.18%"
"04/24/2009","2,291.50","2,300.84","2,304.50","2,274.50","","-0.53%"
"04/23/2009","2,303.70","2,329.10","2,332.55","2,282.70","","-0.56%"
"04/22/2009","2,316.60","2,343.60","2,348.80","2,299.00","","-1.22%"
"04/21/2009","2,345.30","2,377.55","2,381.50","2,323.70","","-1.37%"
"04/20/2009","2,377.81","2,346.86","2,385.61","2,346.76","","1.50%"
"04/17/2009","2,342.70","2,338.10","2,355.30","2,324.10","","-0.21%"
"04/16/2009","2,347.60","2,370.00","2,372.30","2,329.70","","-0.99%"
"04/15/2009","2,371.00","2,393.00","2,410.70","2,367.70","","-0.92%"
"04/14/2009","2,393.00","2,388.40","2,413.70","2,377.40","","0.08%"
"04/13/2009","2,391.00","2,411.87","2,423.87","2,378.07","","-1.20%"
"04/10/2009","2,420.00","2,408.10","2,420.10","2,407.51","","0.33%"
"04/09/2009","2,412.00","2,414.40","2,424.00","2,411.51","","0.00%"
"04/08/2009","2,411.90","2,421.50","2,421.70","2,370.70","","0.15%"
"04/07/2009","2,408.20","2,409.80","2,423.20","2,401.70","","-0.03%"
"04/06/2009","2,409.00","2,413.10","2,427.20","2,396.70","","-0.23%"
"04/03/2009","2,414.60","2,442.50","2,442.50","2,409.30","","-1.08%"
"04/02/2009","2,440.90","2,496.00","2,496.00","2,437.10","","-2.23%"
"04/01/2009","2,496.45","2,547.85","2,580.64","2,496.45","","-2.03%"
"03/31/2009","2,548.25","2,560.71","2,573.81","2,526.01","","-0.40%"
"03/30/2009","2,558.40","2,492.60","2,580.50","2,472.50","","2.64%"
"03/27/2009","2,492.60","2,432.50","2,500.20","2,415.50","","2.47%"
"03/26/2009","2,432.50","2,391.40","2,457.40","2,391.40","","0.75%"
"03/25/2009","2,414.50","2,364.16","2,417.10","2,344.60","","1.95%"
"03/24/2009","2,368.40","2,358.10","2,368.90","2,336.80","","0.44%"
"03/23/2009","2,358.10","2,360.60","2,360.70","2,339.50","","-0.11%"
"03/20/2009","2,360.60","2,338.90","2,370.70","2,327.70","","0.93%"
"03/19/2009","2,338.95","2,382.15","2,389.25","2,316.45","","-1.83%"
"03/18/2009","2,382.60","2,389.20","2,393.20","2,370.90","","-0.35%"
"03/17/2009","2,391.00","2,386.00","2,408.10","2,384.70","","0.30%"
"03/16/2009","2,383.80","2,450.30","2,465.50","2,380.60","","-2.56%"
"03/13/2009","2,446.50","2,463.40","2,506.50","2,429.80","","-0.77%"
"03/12/2009","2,465.40","2,508.60","2,554.50","2,464.70","","-1.72%"
