"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","85.088","85.035","85.149","84.992","","0.26%"
"12/18/2024","84.867","84.907","84.975","84.840","","-0.04%"
"12/17/2024","84.902","84.882","84.955","84.877","","0.01%"
"12/16/2024","84.890","84.846","84.931","84.794","","0.13%"
"12/13/2024","84.782","84.828","84.897","84.766","","-0.05%"
"12/12/2024","84.825","84.847","84.903","84.823","","0.04%"
"12/11/2024","84.795","84.891","84.919","84.800","","-0.10%"
"12/10/2024","84.880","84.848","84.915","84.775","","0.06%"
"12/09/2024","84.829","84.704","84.915","84.675","","0.19%"
"12/06/2024","84.668","84.685","84.718","84.529","","-0.02%"
"12/05/2024","84.684","84.713","84.758","84.673","","-0.01%"
"12/04/2024","84.693","84.690","84.777","84.644","","0.02%"
"12/03/2024","84.676","84.726","84.801","84.630","","-0.08%"
"12/02/2024","84.740","84.572","84.761","84.560","","0.21%"
"11/29/2024","84.559","84.476","84.640","84.459","","0.13%"
"11/28/2024","84.445","84.436","84.505","84.427","","0.04%"
"11/27/2024","84.410","84.313","84.475","84.307","","0.11%"
"11/26/2024","84.319","84.266","84.350","84.220","","0.07%"
"11/25/2024","84.260","84.378","84.422","84.221","","-0.20%"
"11/22/2024","84.426","84.495","84.511","84.374","","-0.08%"
"11/21/2024","84.495","84.362","84.495","84.347","","0.16%"
"11/20/2024","84.360","84.389","84.404","84.321","","-0.04%"
"11/19/2024","84.390","84.396","84.420","84.353","","-0.01%"
"11/18/2024","84.398","84.415","84.447","84.362","","-0.03%"
"11/15/2024","84.424","84.468","84.478","84.389","","-0.04%"
"11/14/2024","84.461","84.417","84.467","84.368","","0.05%"
"11/13/2024","84.416","84.364","84.416","84.343","","0.04%"
"11/12/2024","84.380","84.351","84.413","84.337","","0.00%"
"11/11/2024","84.379","84.370","84.420","84.345","","-0.02%"
"11/08/2024","84.395","84.307","84.395","84.297","","0.12%"
"11/07/2024","84.293","84.306","84.378","84.255","","-0.02%"
"11/06/2024","84.310","84.110","84.330","84.110","","0.24%"
"11/05/2024","84.109","84.146","84.165","84.064","","-0.02%"
"11/04/2024","84.130","84.052","84.130","84.046","","0.06%"
"11/01/2024","84.080","84.073","84.103","84.011","","0.02%"
"10/31/2024","84.061","84.089","84.114","84.043","","-0.02%"
"10/30/2024","84.080","84.058","84.090","84.045","","0.04%"
"10/29/2024","84.050","84.065","84.085","84.016","","-0.01%"
"10/28/2024","84.060","84.082","84.092","84.036","","-0.04%"
"10/25/2024","84.095","84.084","84.096","84.041","","0.05%"
"10/24/2024","84.050","84.065","84.079","84.037","","-0.01%"
"10/23/2024","84.056","84.103","84.110","84.044","","-0.02%"
"10/22/2024","84.070","84.060","84.085","84.043","","0.00%"
"10/21/2024","84.070","84.075","84.080","84.032","","0.01%"
"10/18/2024","84.065","84.015","84.077","84.015","","0.04%"
"10/17/2024","84.035","84.038","84.067","83.990","","0.01%"
"10/16/2024","84.030","84.047","84.074","83.958","","-0.01%"
