"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2019","19.2470","19.2965","19.3267","19.2109","","-0.22%"
"03/04/2019","19.2900","19.2756","19.3862","19.2711","","0.17%"
"03/01/2019","19.2574","19.2825","19.3406","19.2447","","-0.10%"
"02/28/2019","19.2775","19.1720","19.3250","19.1535","","0.60%"
"02/27/2019","19.1622","19.1755","19.2662","19.1446","","-0.02%"
"02/26/2019","19.1660","19.1335","19.2250","19.1032","","0.21%"
"02/25/2019","19.1260","19.1500","19.2500","19.0235","","-0.05%"
"02/22/2019","19.1365","19.2895","19.3075","19.0979","","-0.77%"
"02/21/2019","19.2850","19.2190","19.3350","19.1694","","0.37%"
"02/20/2019","19.2140","19.1440","19.2371","19.1311","","0.39%"
"02/19/2019","19.1390","19.2455","19.3016","19.1213","","-0.52%"
"02/18/2019","19.2385","19.2567","19.2873","19.1995","","0.02%"
"02/15/2019","19.2352","19.2578","19.4250","19.2114","","-0.11%"
"02/14/2019","19.2560","19.4355","19.4761","19.2474","","-0.88%"
"02/13/2019","19.4270","19.2555","19.4550","19.2134","","0.92%"
"02/12/2019","19.2506","19.3065","19.3238","19.2060","","-0.25%"
"02/11/2019","19.2987","19.0614","19.3350","19.0609","","1.20%"
"02/08/2019","19.0703","19.0797","19.1381","19.0231","","-0.10%"
"02/07/2019","19.0900","19.1075","19.1897","19.0384","","-0.06%"
"02/06/2019","19.1020","19.0360","19.1734","19.0337","","0.38%"
"02/05/2019","19.0288","19.1109","19.1311","19.0187","","-0.40%"
"02/04/2019","19.1044","19.0975","19.1829","19.0154","","0.05%"
"02/01/2019","19.0940","19.1065","19.1896","19.0591","","-0.06%"
"01/31/2019","19.1058","19.1330","19.1671","18.9720","","-0.09%"
"01/30/2019","19.1230","18.9949","19.2155","18.9811","","0.72%"
"01/29/2019","18.9860","19.0427","19.0688","18.9617","","-0.27%"
"01/28/2019","19.0380","18.9883","19.0870","18.9676","","0.31%"
"01/25/2019","18.9797","19.0172","19.0352","18.8796","","-0.20%"
"01/24/2019","19.0180","19.0291","19.0921","18.9515","","-0.02%"
"01/23/2019","19.0224","19.1685","19.1740","19.0228","","-0.76%"
"01/22/2019","19.1682","19.1668","19.2452","19.1007","","0.05%"
"01/21/2019","19.1590","19.0770","19.2150","19.0662","","0.43%"
"01/18/2019","19.0775","19.0181","19.1550","18.9701","","0.35%"
"01/17/2019","19.0106","18.8923","19.1250","18.8754","","0.65%"
"01/16/2019","18.8870","18.9965","19.0554","18.8845","","-0.53%"
"01/15/2019","18.9885","18.9812","19.0950","18.9487","","0.07%"
"01/14/2019","18.9750","19.1412","19.2087","18.9577","","-0.82%"
"01/11/2019","19.1310","19.1285","19.1950","19.0570","","0.04%"
"01/10/2019","19.1231","19.2245","19.2727","19.1208","","-0.52%"
"01/09/2019","19.2240","19.3556","19.3815","19.1998","","-0.69%"
"01/08/2019","19.3580","19.3625","19.4396","19.2818","","0.02%"
"01/07/2019","19.3544","19.4191","19.4795","19.2902","","-0.34%"
"01/04/2019","19.4200","19.6295","19.6754","19.3702","","-1.03%"
"01/03/2019","19.6220","19.5708","19.6782","19.5496","","0.30%"
"01/02/2019","19.5625","19.6513","19.7240","19.5301","","-0.41%"
"01/01/2019","19.6430","19.6513","19.6538","19.6425","","0.01%"
"12/31/2018","19.6403","19.6590","19.7200","19.6176","","-0.05%"
"12/28/2018","19.6510","19.6758","19.7510","19.6048","","-0.09%"
"12/27/2018","19.6680","19.9068","19.9543","19.6210","","-1.17%"
"12/26/2018","19.9000","19.9192","19.9737","19.8383","","-0.06%"
"12/25/2018","19.9117","19.8750","19.9286","19.8717","","0.22%"
"12/24/2018","19.8675","19.9434","19.9705","19.8150","","-0.36%"
"12/21/2018","19.9400","19.8961","20.0350","19.8410","","0.33%"
"12/20/2018","19.8750","20.1160","20.1485","19.8063","","-1.16%"
