"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2019","5.3842","5.3740","5.4030","5.3614","","0.21%"
"03/04/2019","5.3727","5.3746","5.4024","5.3630","","-0.01%"
"03/01/2019","5.3732","5.3400","5.4061","5.3305","","0.73%"
"02/28/2019","5.3341","5.3088","5.3430","5.3058","","0.44%"
"02/27/2019","5.3109","5.3061","5.3259","5.2831","","0.17%"
"02/26/2019","5.3020","5.3028","5.3199","5.2878","","0.03%"
"02/25/2019","5.3005","5.3188","5.3330","5.2919","","-0.32%"
"02/22/2019","5.3176","5.3223","5.3433","5.3053","","0.00%"
"02/21/2019","5.3177","5.3303","5.3454","5.3005","","-0.06%"
"02/20/2019","5.3211","5.2830","5.3330","5.2748","","0.77%"
"02/19/2019","5.2803","5.2958","5.3256","5.2790","","-0.40%"
"02/18/2019","5.3013","5.2799","5.3208","5.2706","","0.59%"
"02/15/2019","5.2704","5.2727","5.3118","5.2465","","0.00%"
"02/14/2019","5.2703","5.2840","5.3278","5.2595","","-0.18%"
"02/13/2019","5.2798","5.2522","5.2955","5.2343","","0.62%"
"02/12/2019","5.2471","5.2781","5.2927","5.2454","","-0.51%"
"02/11/2019","5.2742","5.2563","5.2921","5.2364","","0.53%"
"02/08/2019","5.2464","5.2669","5.2843","5.2253","","-0.32%"
"02/07/2019","5.2633","5.2151","5.2969","5.2098","","1.06%"
"02/06/2019","5.2079","5.1985","5.2383","5.1923","","0.30%"
"02/05/2019","5.1925","5.2193","5.2242","5.1777","","-0.43%"
"02/04/2019","5.2151","5.2102","5.2467","5.2028","","0.15%"
"02/01/2019","5.2074","5.1635","5.2369","5.1615","","0.91%"
"01/31/2019","5.1606","5.2246","5.2477","5.1587","","-1.22%"
"01/30/2019","5.2242","5.3130","5.3274","5.2119","","-1.56%"
"01/29/2019","5.3070","5.3255","5.3651","5.2980","","-0.37%"
"01/28/2019","5.3269","5.2677","5.3454","5.2471","","1.12%"
"01/25/2019","5.2678","5.2650","5.2944","5.2511","","0.10%"
"01/24/2019","5.2623","5.2856","5.3013","5.2447","","-0.38%"
"01/23/2019","5.2823","5.3405","5.3571","5.2724","","-1.00%"
"01/22/2019","5.3359","5.3225","5.3695","5.3168","","0.26%"
"01/21/2019","5.3222","5.3260","5.3607","5.3145","","-0.10%"
"01/18/2019","5.3273","5.3458","5.3790","5.3170","","-0.30%"
"01/17/2019","5.3434","5.3330","5.3932","5.3303","","0.21%"
"01/16/2019","5.3320","5.4467","5.4577","5.3251","","-2.02%"
"01/15/2019","5.4417","5.4443","5.4738","5.4220","","0.15%"
"01/14/2019","5.4336","5.4550","5.5457","5.4244","","-0.34%"
"01/11/2019","5.4520","5.4176","5.5123","5.4035","","0.71%"
"01/10/2019","5.4133","5.4776","5.5132","5.3979","","-1.09%"
"01/09/2019","5.4728","5.4843","5.5487","5.4381","","-0.13%"
"01/08/2019","5.4801","5.3847","5.5205","5.3765","","1.85%"
"01/07/2019","5.3805","5.3350","5.4144","5.3187","","0.95%"
"01/04/2019","5.3301","5.4665","5.4879","5.3095","","-2.48%"
"01/03/2019","5.4654","5.4002","5.8340","5.3901","","1.37%"
"01/02/2019","5.3916","5.2933","5.4171","5.2710","","1.88%"
"01/01/2019","5.2923","5.2896","5.2987","5.2628","","0.09%"
"12/31/2018","5.2877","5.2725","5.3246","5.2580","","0.31%"
"12/28/2018","5.2715","5.2850","5.3072","5.2463","","-0.17%"
"12/27/2018","5.2806","5.2780","5.3432","5.2659","","0.18%"
"12/26/2018","5.2711","5.3101","5.3182","5.2689","","-0.38%"
"12/25/2018","5.2910","5.2890","5.3661","5.2760","","0.14%"
"12/24/2018","5.2838","5.3155","5.3305","5.2765","","-0.63%"
"12/21/2018","5.3171","5.2624","5.3246","5.2345","","1.17%"
"12/20/2018","5.2554","5.2864","5.3247","5.2205","","-0.53%"
"12/19/2018","5.2832","5.3443","5.3578","5.2015","","-1.14%"
"12/18/2018","5.3440","5.3697","5.3928","5.3287","","-0.44%"
"12/17/2018","5.3676","5.3639","5.4032","5.3605","","0.10%"
"12/14/2018","5.3625","5.3390","5.4247","5.3345","","0.53%"
"12/13/2018","5.3342","5.3480","5.3919","5.2990","","-0.14%"
"12/12/2018","5.3417","5.3653","5.4040","5.3284","","-0.42%"
"12/11/2018","5.3643","5.3248","5.4102","5.3040","","0.83%"
"12/10/2018","5.3202","5.3049","5.3570","5.2668","","0.35%"
"12/07/2018","5.3019","5.3389","5.3552","5.2525","","-0.60%"
"12/06/2018","5.3340","5.3260","5.4040","5.3172","","0.17%"
"12/05/2018","5.3252","5.3875","5.4576","5.3050","","-0.99%"
"12/04/2018","5.3783","5.2507","5.4619","5.2285","","2.61%"
"12/03/2018","5.2413","5.2128","5.2885","5.1410","","0.57%"
"11/30/2018","5.2118","5.1625","5.2598","5.1390","","1.16%"
"11/29/2018","5.1520","5.2210","5.2336","5.1275","","-1.20%"
"11/28/2018","5.2148","5.2728","5.2828","5.2054","","-1.00%"
"11/27/2018","5.2673","5.2481","5.2997","5.2175","","0.39%"
"11/26/2018","5.2467","5.2877","5.3101","5.2150","","-0.75%"
"11/23/2018","5.2865","5.2960","5.3172","5.2570","","0.01%"
"11/22/2018","5.2860","5.3080","5.3513","5.2695","","-0.34%"
"11/21/2018","5.3041","5.3773","5.4013","5.2775","","-1.35%"
"11/20/2018","5.3766","5.3075","5.4406","5.3041","","1.42%"
"11/19/2018","5.3015","5.3347","5.3714","5.2970","","-0.55%"
"11/16/2018","5.3308","5.3482","5.3997","5.3077","","-0.30%"
"11/15/2018","5.3471","5.4610","5.4803","5.3050","","-1.99%"
"11/14/2018","5.4558","5.4776","5.5108","5.4453","","-0.38%"
"11/13/2018","5.4766","5.4666","5.5350","5.4470","","0.30%"
"11/12/2018","5.4604","5.4606","5.5264","5.4224","","0.01%"
"11/09/2018","5.4596","5.4610","5.5446","5.4348","","0.04%"
"11/08/2018","5.4573","5.3607","5.4790","5.3560","","1.94%"
"11/07/2018","5.3537","5.3566","5.4222","5.3161","","-0.02%"
"11/06/2018","5.3550","5.3134","5.4270","5.2980","","0.80%"
"11/05/2018","5.3124","5.4296","5.4840","5.3016","","-2.14%"
"11/02/2018","5.4286","5.5125","5.5306","5.4036","","-1.43%"
"11/01/2018","5.5075","5.5834","5.6521","5.5030","","-1.29%"
"10/31/2018","5.5793","5.4747","5.6355","5.4628","","2.05%"
"10/30/2018","5.4673","5.5614","5.5675","5.4585","","-1.60%"
"10/29/2018","5.5561","5.5929","5.6017","5.5060","","-0.64%"
"10/26/2018","5.5919","5.6353","5.6618","5.5649","","-0.63%"
"10/25/2018","5.6273","5.7023","5.7402","5.6098","","-1.25%"
"10/24/2018","5.6987","5.7443","5.7792","5.6542","","-0.49%"
"10/23/2018","5.7270","5.6700","5.8742","5.6610","","1.11%"
"10/22/2018","5.6644","5.6486","5.6951","5.6145","","0.41%"
"10/19/2018","5.6415","5.6395","5.7076","5.5845","","0.02%"
"10/18/2018","5.6405","5.5835","5.6909","5.5134","","1.13%"
"10/17/2018","5.5775","5.6815","5.7217","5.5305","","-1.82%"
"10/16/2018","5.6808","5.7859","5.8119","5.6608","","-1.76%"
"10/15/2018","5.7823","5.8756","5.9106","5.7440","","-1.51%"
"10/12/2018","5.8711","5.9258","5.9894","5.8159","","-0.91%"
"10/11/2018","5.9248","6.0758","6.0884","5.8977","","-2.41%"
"10/10/2018","6.0714","6.1011","6.1378","6.0044","","-0.47%"
"10/09/2018","6.1001","6.1104","6.1694","6.0705","","-0.09%"
"10/08/2018","6.1059","6.1343","6.1959","6.0970","","-0.43%"
"10/05/2018","6.1323","6.1610","6.2339","6.0785","","-0.40%"
