"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/1999","5.9900","6.0405","6.0500","5.9550","","-0.77%"
"06/17/1999","6.0364","6.0800","6.0956","6.0313","","-0.62%"
"06/16/1999","6.0740","6.0912","6.1100","6.0700","","-0.14%"
"06/15/1999","6.0825","6.0850","6.1050","6.0730","","-0.05%"
"06/14/1999","6.0855","6.0775","6.0950","6.0643","","0.26%"
"06/11/1999","6.0700","6.1300","6.1338","6.0645","","-0.94%"
"06/10/1999","6.1275","6.1200","6.1455","6.1150","","0.12%"
"06/09/1999","6.1200","6.1225","6.1425","6.0962","","0.09%"
"06/08/1999","6.1145","6.0875","6.1185","6.0700","","0.58%"
"06/07/1999","6.0790","6.1585","6.1650","6.0750","","-1.00%"
"06/04/1999","6.1405","6.1750","6.1913","6.1400","","-0.48%"
"06/03/1999","6.1700","6.2000","6.2319","6.1613","","-0.40%"
"06/02/1999","6.1950","6.2000","6.2200","6.1828","","-0.12%"
"06/01/1999","6.2025","6.2250","6.2300","6.1860","","-0.20%"
"05/31/1999","6.2150","6.2500","6.2575","6.1950","","-0.56%"
"05/28/1999","6.2500","6.2750","6.2884","6.2200","","-0.40%"
"05/27/1999","6.2750","6.2500","6.2875","6.2269","","0.40%"
"05/26/1999","6.2500","6.2750","6.2960","6.2500","","-0.32%"
"05/25/1999","6.2700","6.2175","6.2850","6.2150","","0.80%"
"05/24/1999","6.2200","6.2225","6.2525","6.1985","","0.06%"
"05/21/1999","6.2165","6.2200","6.2296","6.1850","","0.17%"
"05/20/1999","6.2060","6.2025","6.2425","6.1900","","0.26%"
"05/19/1999","6.1900","6.1700","6.2075","6.1550","","0.33%"
"05/18/1999","6.1695","6.1975","6.2037","6.1450","","-0.33%"
"05/17/1999","6.1900","6.2150","6.2425","6.1848","","-0.35%"
"05/14/1999","6.2115","6.2300","6.2325","6.1862","","-0.14%"
"05/13/1999","6.2200","6.2075","6.2525","6.1913","","0.42%"
"05/12/1999","6.1940","6.1700","6.2300","6.1580","","0.47%"
"05/11/1999","6.1650","6.1700","6.1884","6.1480","","0.00%"
"05/10/1999","6.1650","6.1400","6.1813","6.1270","","0.55%"
"05/07/1999","6.1315","6.0900","6.1633","6.0825","","0.85%"
"05/06/1999","6.0800","6.1113","6.1288","6.0700","","-0.48%"
"05/05/1999","6.1095","6.0725","6.1225","6.0638","","0.73%"
"05/04/1999","6.0655","6.0625","6.0751","6.0563","","0.17%"
"05/03/1999","6.0550","6.0775","6.1075","6.0525","","-0.21%"
"04/30/1999","6.0680","6.0550","6.1170","6.0413","","0.36%"
"04/29/1999","6.0460","6.0575","6.0800","6.0445","","-0.13%"
"04/28/1999","6.0540","6.0725","6.0913","6.0385","","-0.12%"
"04/27/1999","6.0615","6.0750","6.0913","6.0625","","-0.06%"
"04/26/1999","6.0650","6.0900","6.1150","6.0580","","-0.39%"
"04/23/1999","6.0890","6.0900","6.1300","6.0750","","0.07%"
"04/22/1999","6.0850","6.0875","6.0988","6.0627","","0.08%"
"04/21/1999","6.0800","6.0780","6.1160","6.0668","","0.16%"
"04/20/1999","6.0700","6.0450","6.0843","6.0177","","0.50%"
"04/19/1999","6.0400","6.0900","6.1000","6.0363","","-0.58%"
"04/16/1999","6.0750","6.0950","6.1375","6.0775","","-0.23%"
"04/15/1999","6.0890","6.0800","6.1078","6.0593","","0.23%"
"04/14/1999","6.0750","6.1050","6.1110","6.0538","","-0.41%"
"04/13/1999","6.1000","6.1700","6.1715","6.1000","","-0.92%"
"04/12/1999","6.1565","6.1850","6.1870","6.1534","","-0.30%"
"04/09/1999","6.1750","6.2225","6.2225","6.1663","","-0.64%"
