"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/1999","274.45","273.25","274.45","274.45","","0.48%"
"05/19/1999","273.15","273.85","273.15","273.15","","-0.33%"
"05/18/1999","274.05","275.65","274.05","274.05","","-0.15%"
"05/17/1999","274.45","275.90","274.45","274.45","","-0.54%"
"05/14/1999","275.95","277.65","275.95","275.95","","-0.65%"
"05/13/1999","277.75","277.15","277.75","277.75","","0.25%"
"05/12/1999","277.05","278.05","277.05","277.05","","-0.43%"
"05/11/1999","278.25","278.25","278.25","278.25","","0.07%"
"05/10/1999","278.05","282.35","278.05","278.05","","-1.66%"
"05/07/1999","282.75","289.05","282.75","282.75","","-2.28%"
"05/06/1999","289.35","287.05","289.35","289.35","","0.70%"
"05/05/1999","287.35","285.75","287.35","287.35","","0.63%"
"05/04/1999","285.55","286.45","285.55","285.55","","-0.28%"
"05/03/1999","286.35","286.25","286.35","286.35","","-0.10%"
"04/30/1999","286.65","285.75","286.65","286.65","","0.21%"
"04/29/1999","286.05","282.90","286.05","286.05","","1.17%"
"04/28/1999","282.75","281.95","282.75","282.75","","0.27%"
"04/27/1999","282.00","281.15","282.00","282.00","","0.27%"
"04/26/1999","281.25","283.45","281.25","281.25","","-0.81%"
"04/23/1999","283.55","283.55","283.55","283.55","","0.00%"
"04/22/1999","283.55","283.75","283.55","283.55","","-0.11%"
"04/21/1999","283.85","284.35","283.85","283.85","","-0.18%"
"04/20/1999","284.35","284.55","284.35","284.35","","-0.07%"
"04/19/1999","284.55","283.25","284.55","284.55","","0.25%"
"04/16/1999","283.85","283.95","283.85","283.85","","-0.05%"
"04/15/1999","284.00","282.25","284.00","284.00","","0.91%"
"04/14/1999","281.45","283.55","281.45","281.45","","-0.67%"
"04/13/1999","283.35","282.50","283.35","283.35","","0.18%"
"04/12/1999","282.85","281.55","282.85","282.85","","0.46%"
"04/09/1999","281.55","280.55","281.55","281.55","","0.32%"
"04/08/1999","280.65","280.25","280.65","280.65","","0.11%"
"04/07/1999","280.35","280.05","280.35","280.35","","0.13%"
