"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2004","806.00","804.00","806.00","804.00","","0.12%"
"06/22/2004","805.00","812.00","812.00","805.00","","-0.74%"
"06/21/2004","811.00","811.00","811.00","811.00","","0.75%"
"06/18/2004","805.00","790.00","805.00","790.00","","1.77%"
"06/17/2004","791.00","777.00","791.00","777.00","","1.80%"
"06/16/2004","777.00","775.00","777.00","775.00","","0.78%"
"06/15/2004","771.00","771.00","771.00","771.00","","-2.65%"
"06/14/2004","792.00","790.00","792.00","790.00","","0.00%"
"06/11/2004","792.00","794.00","794.00","792.00","","-0.50%"
"06/10/2004","796.00","795.00","796.00","795.00","","-0.38%"
"06/09/2004","799.00","829.00","829.00","799.00","","-3.73%"
"06/08/2004","830.00","833.00","833.00","830.00","","0.00%"
"06/07/2004","830.00","828.00","830.00","828.00","","0.30%"
"06/04/2004","827.50","826.00","827.50","826.00","","0.12%"
"06/03/2004","826.50","829.00","829.00","826.50","","-0.30%"
"06/02/2004","829.00","845.00","845.00","829.00","","-1.54%"
"06/01/2004","842.00","844.00","844.00","842.00","","-0.36%"
"05/31/2004","845.00","832.00","845.00","832.00","","1.93%"
"05/28/2004","829.00","829.00","829.00","829.00","","-1.66%"
"05/27/2004","843.00","843.00","843.00","843.00","","0.96%"
"05/26/2004","835.00","835.00","835.00","835.00","","0.24%"
"05/25/2004","833.00","822.00","833.00","822.00","","1.46%"
"05/24/2004","821.00","817.00","821.00","817.00","","0.12%"
"05/21/2004","820.00","803.00","820.00","803.00","","2.12%"
"05/20/2004","803.00","806.00","806.00","803.00","","-0.12%"
"05/19/2004","804.00","797.00","804.00","797.00","","0.75%"
"05/18/2004","798.00","814.00","814.00","798.00","","-2.09%"
"05/17/2004","815.00","792.00","815.00","792.00","","2.64%"
"05/14/2004","794.00","796.00","796.00","794.00","","-0.25%"
"05/13/2004","796.00","785.00","796.00","785.00","","1.53%"
"05/12/2004","784.00","785.00","785.00","784.00","","0.51%"
"05/11/2004","780.00","775.00","780.00","775.00","","1.83%"
"05/10/2004","766.00","778.00","778.00","766.00","","-2.05%"
"05/07/2004","782.00","793.00","793.00","782.00","","-1.64%"
"05/06/2004","795.00","809.00","809.00","795.00","","-1.73%"
"05/05/2004","809.00","817.00","817.00","809.00","","-0.74%"
"05/04/2004","815.00","810.00","815.00","810.00","","0.74%"
"05/03/2004","809.00","798.00","809.00","798.00","","1.63%"
"04/30/2004","796.00","790.00","796.00","790.00","","1.40%"
"04/29/2004","785.00","799.00","799.00","785.00","","-2.00%"
"04/28/2004","801.00","833.00","833.00","801.00","","-4.64%"
"04/27/2004","840.00","823.00","840.00","823.00","","2.56%"
"04/26/2004","819.00","847.00","847.00","819.00","","-3.19%"
"04/23/2004","846.00","846.00","846.00","846.00","","0.00%"
"04/22/2004","846.00","883.00","883.00","846.00","","-4.51%"
"04/21/2004","886.00","915.00","915.00","886.00","","-3.17%"
"04/20/2004","915.00","934.00","934.00","915.00","","-1.93%"
"04/19/2004","933.00","922.00","933.00","922.00","","1.41%"
"04/16/2004","920.00","921.00","921.00","920.00","","0.00%"
"04/15/2004","920.00","922.00","922.00","920.00","","-0.76%"
"04/14/2004","927.00","921.00","927.00","921.00","","-0.11%"
"04/13/2004","928.00","938.00","938.00","928.00","","-0.96%"
"04/12/2004","937.00","910.00","937.00","910.00","","3.19%"
"04/09/2004","908.00","901.00","908.00","901.00","","0.89%"
"04/08/2004","900.00","884.00","900.00","884.00","","2.27%"
"04/07/2004","880.00","880.00","880.00","880.00","","0.00%"
"04/06/2004","880.00","887.00","887.00","880.00","","-0.90%"
