Date,Close,Open,High,Low,Change%
2024-12-20,14.609,14.609,14.609,14.609,-0.03%
2024-12-19,14.613,15.039,14.768,14.613,-1.06%
2024-12-18,14.77,14.56,14.84,14.455,3.03%
2024-12-17,14.335,14.8,14.847,14.335,-2.08%
2024-12-16,14.64,14.64,14.64,14.64,5.23%
2024-12-13,13.913,13.762,13.913,13.631,1.98%
2024-12-12,13.644,13.63,13.88,13.465,0.93%
2024-12-11,13.517,13.52,13.655,13.52,-1.90%
2024-12-10,13.78,14.014,14.186,13.78,-2.82%
2024-12-09,14.18,13.96,14.22,13.96,1.07%
2024-12-06,14.03,13.668,14.03,13.668,2.88%
2024-12-05,13.637,13.67,13.688,13.637,-0.84%
2024-12-04,13.752,13.93,13.93,13.712,-0.28%
2024-12-03,13.79,13.77,13.815,13.71,2.11%
2024-12-02,13.505,13.51,13.53,13.401,0.24%
2024-11-29,13.472,14.04,14.04,13.472,0.14%
2024-11-28,13.453,13.31,13.52,13.195,1.96%
2024-11-27,13.195,12.858,13.195,12.837,3.22%
2024-11-25,12.783,12.87,12.87,12.783,-0.75%
2024-11-22,12.88,12.868,12.945,12.795,0.37%
2024-11-21,12.833,12.935,12.935,12.795,-0.71%
2024-11-19,12.925,12.92,12.925,12.875,0.17%
2024-11-18,12.903,12.917,12.917,12.885,0.02%
2024-11-14,12.9,12.93,12.96,12.9,0.08%
2024-11-12,12.89,12.73,12.89,12.73,1.34%
2024-11-11,12.72,12.785,12.785,12.72,-0.27%
2024-11-08,12.755,12.745,12.755,12.745,-0.23%
2024-11-07,12.785,12.655,12.785,12.655,0.55%
2024-11-06,12.715,12.925,12.925,12.715,-0.82%
2024-11-05,12.82,12.95,12.95,12.82,-1.16%
2024-11-04,12.97,12.92,12.97,12.92,-1.07%
2024-11-01,13.11,12.88,13.11,12.88,2.02%
2024-10-31,12.85,12.77,12.85,12.77,0.16%
2024-10-30,12.83,12.83,12.83,12.83,0.23%
2024-10-29,12.8,12.72,12.8,12.72,0.79%
2024-10-28,12.7,12.62,12.7,12.62,0.00%
2024-10-25,12.7,12.7,12.7,12.7,-0.66%
