Date,Close,Open,High,Low,Volume,Change%
2024-12-19,1.073,1.072,1.0747,1.0686,,0.13%
2024-12-18,1.0716,1.0674,1.0728,1.065,,0.43%
2024-12-17,1.067,1.0638,1.069,1.0616,,0.37%
2024-12-16,1.0631,1.066,1.0696,1.063,,-0.30%
2024-12-13,1.0663,1.0713,1.0715,1.065,,-0.39%
2024-12-12,1.0705,1.0775,1.0782,1.07,,-0.63%
2024-12-11,1.0773,1.076,1.0789,1.0745,,0.17%
2024-12-10,1.0755,1.0781,1.0806,1.0754,,-0.21%
2024-12-09,1.0778,1.0764,1.0789,1.0748,,0.15%
2024-12-06,1.0762,1.0749,1.0802,1.0742,,0.16%
2024-12-05,1.0745,1.0759,1.0767,1.0725,,-0.10%
2024-12-04,1.0756,1.0739,1.0765,1.072,,0.20%
2024-12-03,1.0734,1.0741,1.0765,1.0722,,-0.05%
2024-12-02,1.0739,1.0732,1.0768,1.072,,0.07%
2024-11-29,1.0731,1.073,1.0762,1.0721,,0.07%
2024-11-28,1.0724,1.0732,1.0747,1.0714,,-0.07%
2024-11-27,1.0731,1.0747,1.0778,1.0721,,-0.15%
2024-11-26,1.0747,1.0748,1.0787,1.0718,,-0.01%
2024-11-25,1.0748,1.0762,1.0771,1.0693,,0.14%
2024-11-22,1.0733,1.0763,1.0861,1.072,,-0.28%
2024-11-21,1.0763,1.0725,1.0775,1.0719,,0.38%
2024-11-20,1.0722,1.0694,1.0746,1.0672,,0.28%
2024-11-19,1.0692,1.0683,1.0746,1.0673,,0.09%
2024-11-18,1.0682,1.0686,1.0694,1.0667,,0.01%
2024-11-15,1.0681,1.0663,1.0699,1.0635,,0.14%
2024-11-14,1.0666,1.0681,1.0695,1.0647,,-0.14%
2024-11-13,1.0681,1.0671,1.0707,1.0646,,0.09%
2024-11-12,1.0671,1.0655,1.0698,1.0644,,0.19%
2024-11-11,1.0651,1.064,1.0682,1.0632,,0.00%
2024-11-08,1.0651,1.0605,1.0675,1.0599,,0.43%
2024-11-07,1.0605,1.063,1.0647,1.0587,,-0.24%
2024-11-06,1.063,1.0596,1.0688,1.0587,,0.32%
2024-11-05,1.0596,1.0637,1.0654,1.0593,,-0.38%
2024-11-04,1.0636,1.0568,1.0644,1.0554,,0.27%
2024-11-01,1.0607,1.0635,1.0644,1.057,,-0.26%
2024-10-31,1.0635,1.0625,1.066,1.0613,,0.12%
2024-10-30,1.0622,1.0652,1.067,1.0616,,-0.28%
2024-10-29,1.0652,1.0685,1.0695,1.0642,,-0.30%
2024-10-28,1.0684,1.0685,1.0691,1.0645,,0.04%
2024-10-25,1.068,1.0667,1.0693,1.0647,,0.12%
2024-10-24,1.0667,1.0702,1.0715,1.0657,,-0.34%
2024-10-23,1.0703,1.0696,1.0711,1.0663,,0.06%
2024-10-22,1.0697,1.0672,1.0702,1.066,,0.22%
2024-10-21,1.0674,1.0638,1.0681,1.0622,,0.39%
2024-10-18,1.0633,1.0655,1.0663,1.0627,,-0.23%
2024-10-17,1.0657,1.0636,1.0691,1.0621,,0.20%
2024-10-16,1.0636,1.0651,1.0662,1.0621,,-0.10%
