Date,Close,Open,High,Low,Volume,Change%
2024-12-19,0.1368,0.1365,0.1371,0.1365,,-0.35%
2024-12-18,0.1372,0.1373,0.1373,0.1372,,0.00%
2024-12-17,0.1373,0.1373,0.1374,0.1372,,0.00%
2024-12-16,0.1373,0.1375,0.1375,0.1373,,-0.10%
2024-12-13,0.1374,0.1375,0.1375,0.1373,,-0.07%
2024-12-12,0.1375,0.1378,0.1378,0.1375,,-0.12%
2024-12-11,0.1377,0.138,0.1381,0.1375,,-0.17%
2024-12-10,0.1379,0.1377,0.1381,0.1377,,0.14%
2024-12-09,0.1377,0.1375,0.1377,0.1374,,0.16%
2024-12-06,0.1375,0.1377,0.1379,0.1375,,-0.16%
2024-12-05,0.1377,0.1376,0.1377,0.1375,,0.08%
2024-12-04,0.1376,0.1374,0.1377,0.1373,,0.27%
2024-12-03,0.1372,0.1373,0.1374,0.137,,-0.19%
2024-12-02,0.1375,0.1379,0.1379,0.1375,,-0.41%
2024-11-29,0.1381,0.1382,0.1384,0.138,,0.00%
2024-11-28,0.138,0.1381,0.1381,0.1379,,0.00%
2024-11-27,0.138,0.138,0.138,0.1378,,0.06%
2024-11-26,0.1379,0.1379,0.138,0.1378,,-0.17%
2024-11-25,0.1381,0.1381,0.1381,0.138,,0.08%
2024-11-22,0.138,0.138,0.138,0.1379,,-0.11%
2024-11-21,0.1382,0.1381,0.1382,0.1381,,0.11%
2024-11-20,0.138,0.1382,0.1382,0.138,,-0.09%
2024-11-19,0.1381,0.1383,0.1383,0.138,,0.00%
2024-11-18,0.1382,0.1382,0.1383,0.138,,-0.06%
2024-11-15,0.1382,0.1382,0.1384,0.1381,,0.00%
2024-11-14,0.1383,0.1382,0.1383,0.138,,-0.07%
2024-11-13,0.1384,0.1384,0.1388,0.1383,,0.10%
2024-11-12,0.1382,0.1385,0.1385,0.1381,,-0.24%
2024-11-11,0.1386,0.1393,0.1394,0.1386,,-0.51%
2024-11-08,0.1393,0.1398,0.14,0.1393,,-0.52%
2024-11-07,0.14,0.1392,0.14,0.1391,,0.51%
2024-11-06,0.1393,0.1403,0.1404,0.1393,,-1.02%
2024-11-05,0.1407,0.1407,0.1408,0.1406,,-0.08%
2024-11-04,0.1409,0.1407,0.1411,0.1405,,0.34%
2024-11-01,0.1404,0.1406,0.1406,0.1403,,-0.07%
2024-10-31,0.1405,0.1404,0.1406,0.1403,,0.00%
2024-10-30,0.1405,0.1403,0.1405,0.1401,,0.21%
2024-10-29,0.1402,0.1402,0.1403,0.14,,-0.07%
2024-10-28,0.1403,0.1402,0.1403,0.1401,,-0.07%
2024-10-25,0.1404,0.1405,0.1405,0.1403,,0.00%
2024-10-24,0.1404,0.1404,0.1406,0.1404,,0.09%
2024-10-23,0.1403,0.1402,0.1404,0.1402,,-0.04%
2024-10-22,0.1404,0.1404,0.1405,0.1403,,-0.05%
2024-10-21,0.1404,0.1408,0.1409,0.1404,,-0.24%
2024-10-18,0.1408,0.1405,0.1408,0.1403,,0.30%
2024-10-17,0.1404,0.1404,0.1405,0.1403,,-0.06%
2024-10-16,0.1405,0.1404,0.1406,0.1404,,0.00%
2024-10-15,0.1405,0.1411,0.1411,0.1404,,-0.45%
2024-10-14,0.1411,0.1412,0.1414,0.141,,-0.30%
2024-10-11,0.1415,0.1413,0.1416,0.1413,,0.19%
2024-10-10,0.1412,0.1413,0.1416,0.1412,,0.00%
2024-10-09,0.1412,0.1415,0.1417,0.1412,,-0.30%
2024-10-08,0.1416,0.1418,0.1419,0.1412,,-0.60%
2024-10-07,0.1425,0.1425,0.1425,0.1425,,0.00%
2024-10-04,0.1425,0.1425,0.1425,0.1425,,0.00%
2024-10-03,0.1425,0.1425,0.1425,0.1425,,0.00%
2024-10-02,0.1425,0.1425,0.1425,0.1425,,0.00%
2024-10-01,0.1425,0.1425,0.1425,0.1425,,0.00%
2024-09-30,0.1425,0.1425,0.1426,0.1425,,-0.12%
