Date,Close,Open,High,Low,Change%
2024-12-20,5.59,5.59,5.59,5.59,0.00%
2024-12-19,5.59,5.54,5.59,5.54,0.90%
2024-12-18,5.54,5.52,5.54,5.52,0.36%
2024-12-17,5.52,5.52,5.52,5.52,0.00%
2024-12-16,5.52,5.52,5.52,5.52,0.00%
2024-12-13,5.52,5.52,5.52,5.52,0.00%
2024-12-12,5.52,5.52,5.52,5.52,0.55%
2024-12-11,5.49,5.49,5.49,5.49,0.00%
2024-12-10,5.49,5.52,5.52,5.49,-0.54%
2024-12-09,5.52,5.45,5.52,5.45,1.28%
2024-12-06,5.45,5.49,5.49,5.45,-0.73%
2024-12-05,5.49,5.54,5.54,5.49,-0.90%
2024-12-04,5.54,5.54,5.54,5.54,0.00%
2024-12-03,5.54,5.56,5.56,5.54,-0.36%
2024-12-02,5.56,5.62,5.62,5.56,-1.07%
2024-11-29,5.62,5.54,5.62,5.54,1.44%
2024-11-28,5.54,5.54,5.54,5.54,0.00%
2024-11-27,5.54,5.61,5.61,5.54,-1.25%
2024-11-26,5.61,5.56,5.61,5.56,0.90%
2024-11-25,5.56,5.57,5.57,5.56,-0.18%
2024-11-22,5.57,5.53,5.57,5.53,0.72%
2024-11-21,5.53,5.57,5.57,5.53,-0.72%
2024-11-20,5.57,5.6,5.6,5.57,-0.54%
2024-11-19,5.6,5.53,5.6,5.53,1.27%
2024-11-18,5.53,5.53,5.53,5.52,0.00%
2024-11-15,5.53,5.53,5.53,5.53,0.00%
2024-11-14,5.53,5.53,5.53,5.53,0.00%
2024-11-13,5.53,5.54,5.54,5.53,-0.18%
2024-11-12,5.54,5.6,5.6,5.54,-1.07%
2024-11-11,5.6,5.55,5.6,5.55,0.90%
2024-11-08,5.55,5.56,5.56,5.55,-0.18%
2024-11-07,5.56,5.56,5.56,5.56,0.00%
2024-11-06,5.56,5.47,5.56,5.47,1.65%
2024-11-05,5.47,5.44,5.47,5.44,0.55%
2024-11-04,5.44,5.45,5.45,5.44,-0.18%
2024-10-31,5.45,5.47,5.47,5.45,-0.37%
2024-10-30,5.47,5.47,5.47,5.47,0.00%
2024-10-29,5.47,5.39,5.47,5.39,1.48%
2024-10-28,5.39,5.39,5.39,5.39,0.00%
2024-10-25,5.39,5.39,5.39,5.39,0.00%
2024-10-24,5.39,5.39,5.39,5.39,0.00%
2024-10-23,5.39,5.38,5.39,5.38,0.19%
2024-10-22,5.38,5.34,5.38,5.34,0.75%
2024-10-21,5.34,5.33,5.34,5.33,0.19%
2024-10-18,5.33,5.32,5.33,5.32,0.19%
2024-10-17,5.32,5.42,5.42,5.32,-1.85%
2024-10-16,5.42,5.47,5.47,5.42,-0.91%
2024-10-15,5.47,5.47,5.47,5.47,0.00%
2024-10-14,5.47,5.46,5.47,5.46,0.18%
2024-10-11,5.46,5.46,5.46,5.46,0.00%
2024-10-10,5.46,5.46,5.46,5.46,0.00%
2024-10-09,5.46,5.46,5.46,5.46,0.00%
2024-10-08,5.46,5.43,5.46,5.43,0.55%
2024-10-07,5.43,5.43,5.43,5.43,0.00%
2024-10-04,5.43,5.43,5.43,5.43,0.00%
2024-10-03,5.43,5.4,5.43,5.4,0.56%
2024-10-02,5.4,5.4,5.4,5.4,0.00%
2024-10-01,5.4,5.4,5.4,5.4,0.00%
2024-09-30,5.4,5.4,5.4,5.4,0.00%
2024-09-27,5.4,5.4,5.4,5.4,0.00%
2024-09-26,5.4,5.4,5.4,5.4,0.00%
2024-09-25,5.4,5.4,5.4,5.4,-0.92%
2024-09-24,5.45,5.45,5.45,5.45,0.93%
2024-09-23,5.4,5.4,5.4,5.4,2.86%
2024-09-16,5.25,5.25,5.25,5.25,-0.19%
2024-09-13,5.26,5.26,5.26,5.26,-0.38%
2024-09-12,5.28,5.28,5.28,5.28,0.00%
2024-09-11,5.28,5.28,5.28,5.28,-0.94%
2024-09-10,5.33,5.33,5.33,5.33,-0.74%
2024-09-09,5.37,5.37,5.37,5.37,-0.19%
2024-09-06,5.38,5.38,5.38,5.38,-0.19%
2024-09-05,5.39,5.39,5.39,5.39,-0.92%
2024-09-04,5.44,5.44,5.44,5.44,-1.98%
2024-09-03,5.55,5.55,5.55,5.55,0.00%
2024-09-02,5.55,5.55,5.55,5.55,0.18%
2024-08-30,5.54,5.54,5.54,5.54,-0.72%
2024-08-29,5.58,5.58,5.58,5.58,-0.18%
2024-08-28,5.59,5.59,5.59,5.59,-0.18%
2024-08-27,5.6,5.6,5.6,5.6,-0.18%
2024-08-26,5.61,5.61,5.61,5.61,-0.53%
2024-08-23,5.64,5.64,5.64,5.64,-1.91%
2024-08-22,5.75,5.75,5.75,5.75,2.31%
2024-08-21,5.62,5.62,5.62,5.62,-0.53%
2024-08-20,5.65,5.65,5.65,5.65,-0.35%
2024-08-19,5.67,5.67,5.67,5.67,-0.70%
2024-08-16,5.71,5.71,5.71,5.71,0.18%
2024-08-14,5.7,5.7,5.7,5.7,-1.04%
2024-08-13,5.76,5.76,5.76,5.76,-1.03%
2024-08-12,5.82,5.82,5.82,5.82,-0.34%
2024-08-09,5.84,5.84,5.84,5.84,-0.85%
2024-08-08,5.89,5.89,5.89,5.89,1.20%
2024-08-06,5.82,5.82,5.82,5.82,0.00%
2024-08-05,5.82,5.82,5.82,5.82,-1.52%
2024-08-02,5.91,5.91,5.91,5.91,-1.34%
2024-08-01,5.99,5.99,5.99,5.99,-0.50%
2024-07-31,6.02,6.02,6.02,6.02,-0.33%
2024-07-30,6.04,6.04,6.04,6.04,-0.33%
2024-07-29,6.06,6.06,6.06,6.06,0.66%
2024-07-26,6.02,6.02,6.02,6.02,-0.17%
2024-07-25,6.03,6.03,6.03,6.03,-0.33%
2024-07-24,6.05,6.05,6.05,6.05,-0.17%
2024-07-23,6.06,6.06,6.06,6.06,0.00%
2024-07-22,6.06,6.06,6.06,6.06,-0.16%
2024-07-19,6.07,6.07,6.07,6.07,0.50%
2024-07-17,6.04,6.04,6.04,6.04,-0.49%
2024-07-15,6.07,6.07,6.07,6.07,-0.16%
2024-07-12,6.08,6.08,6.08,6.08,-0.16%
2024-07-11,6.09,6.09,6.09,6.09,-1.14%
2024-07-10,6.16,6.16,6.16,6.16,-0.16%
2024-07-09,6.17,6.17,6.17,6.17,0.16%
2024-07-08,6.16,6.16,6.16,6.16,-0.32%
2024-07-05,6.18,6.18,6.18,6.18,0.32%
2024-07-04,6.16,6.16,6.16,6.16,-0.32%
2024-07-03,6.18,6.18,6.18,6.18,-0.16%
2024-07-02,6.19,6.19,6.19,6.19,-0.32%
2024-07-01,6.21,6.21,6.21,6.21,0.16%
2024-06-28,6.2,6.2,6.2,6.2,-0.32%
2024-06-27,6.22,6.22,6.22,6.22,0.48%
2024-06-26,6.19,6.19,6.19,6.19,0.98%
2024-06-25,6.13,6.13,6.13,6.13,0.66%
2024-06-24,6.09,6.09,6.09,6.09,0.16%
2024-06-21,6.08,6.08,6.08,6.08,0.66%
2024-06-19,6.04,6.04,6.04,6.04,0.33%
2024-06-18,6.02,6.02,6.02,6.02,0.50%
2024-06-17,5.99,5.99,5.99,5.99,0.67%
2024-06-14,5.95,5.95,5.95,5.95,0.34%
2024-06-13,5.93,5.93,5.93,5.93,-0.17%
2024-06-12,5.94,5.94,5.94,5.94,-0.34%
2024-06-11,5.96,5.96,5.96,5.96,0.34%
2024-06-10,5.94,5.94,5.94,5.94,0.00%
2024-06-07,5.94,5.94,5.94,5.94,0.00%
2024-06-06,5.94,5.94,5.94,5.94,-0.50%
2024-06-05,5.97,5.97,5.97,5.97,-0.50%
2024-06-04,6.0,6.0,6.0,6.0,-0.50%
2024-05-31,6.03,6.03,6.03,6.03,0.00%
2024-05-30,6.03,6.03,6.03,6.03,0.17%
2024-05-29,6.02,6.02,6.02,6.02,0.84%
2024-05-28,5.97,5.97,5.97,5.97,0.51%
2024-05-27,5.94,5.94,5.94,5.94,0.00%
2024-05-24,5.94,5.94,5.94,5.94,0.00%
2024-05-23,5.94,5.94,5.94,5.94,0.34%
2024-05-22,5.92,5.92,5.92,5.92,0.17%
