Date,Close,Open,High,Low,Change%
2024-12-20,10.154,10.154,10.154,10.154,0.00%
2024-12-19,10.154,10.025,10.252,10.025,1.29%
2024-12-18,10.025,10.093,10.117,9.994,-0.95%
2024-12-17,10.121,10.139,10.215,10.059,1.09%
2024-12-16,10.012,9.901,10.012,9.901,0.31%
2024-12-13,9.981,10.069,10.069,9.94,-0.19%
2024-12-12,10.0,9.741,10.002,9.741,2.04%
2024-12-11,9.8,9.657,9.81,9.657,0.52%
2024-12-10,9.749,9.65,9.77,9.65,0.82%
2024-12-09,9.67,9.5,9.67,9.5,0.89%
2024-12-08,9.585,9.585,9.585,9.585,0.00%
2024-12-07,9.585,9.585,9.585,9.585,0.00%
2024-12-06,9.585,9.61,9.61,9.523,-0.26%
2024-12-05,9.61,9.56,9.625,9.56,-0.01%
2024-12-04,9.611,9.68,9.68,9.571,0.01%
2024-12-03,9.61,9.56,9.644,9.547,-0.01%
2024-12-02,9.611,9.564,9.66,9.564,0.06%
2024-11-29,9.605,9.69,9.698,9.605,-0.37%
2024-11-28,9.641,9.652,9.685,9.641,0.53%
2024-11-27,9.59,9.608,9.647,9.56,-0.51%
2024-11-26,9.639,9.607,9.65,9.57,0.77%
2024-11-25,9.565,9.33,9.565,9.33,0.34%
2024-11-22,9.533,9.294,9.533,9.294,1.61%
2024-11-21,9.382,9.412,9.425,9.3,-1.35%
2024-11-20,9.51,9.561,9.58,9.484,-1.04%
2024-11-19,9.61,9.617,9.64,9.583,-0.31%
2024-11-18,9.64,9.648,9.672,9.6,0.10%
2024-11-17,9.63,9.63,9.63,9.63,0.00%
2024-11-16,9.63,9.63,9.63,9.63,0.00%
2024-11-15,9.63,9.58,9.666,9.58,0.52%
2024-11-14,9.58,9.591,9.6,9.51,-0.11%
2024-11-13,9.591,9.637,9.638,9.53,-0.48%
2024-11-12,9.637,9.401,9.637,9.35,1.02%
2024-11-11,9.54,9.54,9.54,9.54,0.00%
2024-11-10,9.54,9.54,9.54,9.54,0.00%
2024-11-09,9.54,9.54,9.54,9.54,0.00%
2024-11-08,9.54,9.443,9.54,9.4,1.03%
