Date,Close,Open,High,Low,Volume,Change%
2024-12-19,4.0827,4.0857,4.1178,4.0702,53.81K,-1.79%
2024-12-18,4.157,4.147,4.1695,4.0855,46.53K,0.25%
2024-12-17,4.1465,4.1945,4.198,4.133,46.62K,-1.06%
2024-12-16,4.191,4.1965,4.219,4.17,34.45K,-0.14%
2024-12-13,4.197,4.2415,4.2435,4.1845,39.82K,-1.12%
2024-12-12,4.2445,4.2625,4.335,4.2175,69.77K,-0.45%
2024-12-11,4.2635,4.2735,4.3245,4.2315,65.10K,-0.20%
2024-12-10,4.272,4.26,4.279,4.231,47.68K,-0.08%
2024-12-09,4.2755,4.2005,4.296,4.18,62.04K,1.88%
2024-12-06,4.1965,4.1995,4.253,4.1815,47.35K,0.10%
2024-12-05,4.1925,4.197,4.2335,4.1755,35.41K,-0.21%
2024-12-04,4.2015,4.197,4.2155,4.17,43.59K,-0.01%
2024-12-03,4.202,4.139,4.261,4.112,84.84K,1.73%
2024-12-02,4.1305,4.143,4.1475,4.0815,47.45K,-0.23%
2024-11-29,4.14,4.14,4.167,4.1195,50.79K,0.02%
2024-11-27,4.139,4.131,4.174,4.1205,50.67K,1.00%
2024-11-26,4.098,4.148,4.148,4.095,1.62K,-1.05%
2024-11-25,4.1415,4.1375,4.1575,4.1365,0.67K,0.55%
2024-11-22,4.119,4.119,4.1255,4.108,0.17K,-0.76%
2024-11-21,4.1505,4.17,4.17,4.141,0.26K,-0.63%
2024-11-20,4.177,4.19,4.19,4.1695,0.16K,-0.12%
2024-11-19,4.182,4.17,4.212,4.14,33.05K,0.40%
2024-11-18,4.1655,4.11,4.1815,4.0975,26.21K,1.38%
2024-11-15,4.109,4.1315,4.224,4.1055,38.17K,-0.76%
2024-11-14,4.1405,4.1265,4.152,4.065,40.04K,0.06%
2024-11-13,4.138,4.195,4.221,4.12,38.64K,-1.30%
2024-11-12,4.1925,4.295,4.31,4.183,30.07K,-2.03%
2024-11-11,4.2795,4.3705,4.3795,4.2725,24.82K,-1.70%
2024-11-08,4.3535,4.4805,4.4805,4.3405,24.42K,-2.67%
2024-11-07,4.473,4.285,4.49,4.2835,25.62K,4.17%
2024-11-06,4.294,4.505,4.505,4.2745,23.18K,-4.88%
2024-11-05,4.5145,4.472,4.5285,4.463,16.26K,0.92%
2024-11-04,4.4735,4.405,4.4915,4.395,12.25K,1.24%
2024-11-01,4.4185,4.4085,4.448,4.39,11.56K,0.71%
2024-10-31,4.3875,4.398,4.4235,4.374,11.12K,-0.24%
2024-10-30,4.398,4.41,4.423,4.3735,8.89K,0.23%
2024-10-29,4.388,4.364,4.4555,4.364,0.10K,-0.10%
2024-10-28,4.3925,4.392,4.3945,4.392,0.23K,-0.23%
2024-10-25,4.4025,4.339,4.36,4.305,0.25K,0.39%
2024-10-24,4.3855,4.3675,4.396,4.3675,0.09K,0.30%
2024-10-23,4.3725,4.364,4.3685,4.364,0.08K,-0.95%
2024-10-22,4.4145,4.393,4.435,4.393,0.03K,0.47%
2024-10-21,4.394,4.458,4.48,4.458,0.04K,-0.54%
2024-10-18,4.418,4.358,4.42,4.358,0.13K,1.39%
2024-10-17,4.3575,4.396,4.396,4.34,0.08K,-0.88%
2024-10-16,4.396,4.409,4.4095,4.382,0.31K,0.63%
2024-10-15,4.3685,4.3685,4.3745,4.305,0.05K,-1.51%
2024-10-14,4.4355,4.4655,4.4655,4.443,0.04K,-1.83%
2024-10-11,4.518,4.523,4.523,4.523,0.02K,1.47%
2024-10-10,4.4525,4.441,4.446,4.441,0.04K,0.56%
2024-10-09,4.4275,4.4275,4.4275,4.4275,0.03K,-1.30%
2024-10-08,4.486,4.4885,4.5025,4.4845,0.07K,-2.28%
2024-10-07,4.5905,4.62,4.62,4.5445,0.01K,-0.12%
2024-10-04,4.596,4.5805,4.626,4.57,0.06K,0.50%
2024-10-03,4.573,4.675,4.675,4.5425,0.14K,-2.01%
2024-10-02,4.667,4.6685,4.6685,4.6685,0.02K,1.25%
2024-10-01,4.6095,4.6045,4.6045,4.6045,0.04K,0.95%
2024-09-30,4.566,4.635,4.635,4.5195,0.12K,-1.05%
2024-09-27,4.6145,4.6435,4.6435,4.61,0.07K,-0.64%
2024-09-26,4.644,4.503,4.642,4.503,0.20K,3.17%
2024-09-25,4.5015,4.538,4.539,4.4625,0.18K,0.01%
2024-09-24,4.501,4.3885,4.542,4.3885,0.26K,3.22%
2024-09-23,4.3605,4.355,4.355,4.324,0.10K,0.13%
2024-09-20,4.355,4.3655,4.396,4.3365,0.09K,-0.05%
2024-09-19,4.357,4.2745,4.3755,4.2565,0.11K,1.10%
2024-09-18,4.3095,4.2635,4.3375,4.2575,0.18K,0.54%
2024-09-17,4.2865,4.2835,4.3025,4.269,0.08K,0.01%
2024-09-16,4.286,4.2465,4.3,4.2465,0.13K,0.89%
2024-09-13,4.248,4.22,4.2615,4.2065,0.50K,0.94%
2024-09-12,4.2085,4.181,4.2415,4.1765,0.12K,1.29%
2024-09-11,4.155,4.133,4.17,4.1275,0.10K,1.05%
2024-09-10,4.112,4.1685,4.1685,4.11,0.02K,-1.14%
2024-09-09,4.1595,4.094,4.1685,4.094,0.11K,1.74%
2024-09-06,4.0885,4.1485,4.1735,4.0815,0.41K,-1.55%
2024-09-05,4.153,4.1115,4.1765,4.1115,0.03K,1.47%
2024-09-04,4.093,4.067,4.095,4.0625,0.06K,-0.33%
2024-09-03,4.1065,4.1935,4.1935,4.0905,0.04K,-1.85%
2024-09-02,4.1837,4.219,4.2218,4.1632,,-0.83%
2024-09-01,4.2188,4.2185,4.2272,4.2127,,-0.17%
2024-08-30,4.226,4.239,4.291,4.239,0.03K,-0.26%
2024-08-29,4.237,4.238,4.239,4.208,0.13K,0.45%
2024-08-28,4.218,4.301,4.303,4.2055,56.17K,-1.99%
2024-08-27,4.3035,4.267,4.3185,4.2485,68.41K,0.53%
2024-08-26,4.281,4.252,4.293,4.2405,52.09K,0.85%
2024-08-23,4.245,4.175,4.2675,4.175,45.85K,1.41%
2024-08-22,4.186,4.2355,4.254,4.1685,39.69K,-0.96%
2024-08-21,4.2265,4.1985,4.252,4.179,33.69K,0.61%
2024-08-20,4.201,4.2375,4.243,4.182,32.73K,-0.45%
2024-08-19,4.22,4.1865,4.24,4.1735,25.09K,0.93%
2024-08-16,4.181,4.171,4.195,4.125,29.62K,0.12%
2024-08-15,4.176,4.07,4.186,4.059,32.29K,2.52%
2024-08-14,4.0735,4.096,4.123,4.065,21.49K,-0.29%
2024-08-13,4.0855,4.1005,4.109,4.0455,24.80K,-0.45%
2024-08-12,4.104,4.0365,4.1285,4.012,23.94K,1.81%
2024-08-09,4.031,4.019,4.085,4.0125,20.26K,0.80%
2024-08-08,3.999,3.9705,4.022,3.967,30.01K,0.14%
2024-08-07,3.9935,4.047,4.057,3.9645,29.65K,-1.73%
2024-08-06,4.064,4.044,4.104,4.0035,19.34K,0.62%
2024-08-05,4.039,4.16,4.192,3.974,33.27K,-2.52%
2024-08-02,4.1435,4.1095,4.1785,4.099,19.20K,0.46%
2024-08-01,4.1245,4.231,4.26,4.098,23.94K,-2.15%
2024-07-31,4.215,4.1335,4.245,4.129,16.75K,2.16%
2024-07-30,4.126,4.1355,4.14,4.0745,21.16K,0.27%
2024-07-29,4.115,4.1305,4.131,4.1305,0.13K,-0.93%
2024-07-26,4.1535,4.1405,4.156,4.1375,0.07K,0.07%
2024-07-25,4.1505,4.094,4.1775,4.094,0.14K,0.39%
2024-07-24,4.1345,4.1545,4.1545,4.112,0.07K,-1.12%
2024-07-23,4.1815,4.215,4.215,4.187,0.12K,-0.92%
2024-07-22,4.2205,4.254,4.257,4.2005,0.11K,-0.86%
2024-07-19,4.257,4.2795,4.2795,4.2575,0.10K,-0.88%
2024-07-18,4.295,4.3935,4.3935,4.269,0.14K,-2.72%
2024-07-17,4.415,4.425,4.425,4.4175,0.21K,-0.91%
2024-07-16,4.4555,4.439,4.459,4.439,0.06K,-1.59%
2024-07-15,4.5275,4.533,4.533,4.533,0.11K,-1.26%
2024-07-12,4.5855,4.49,4.579,4.49,0.04K,1.69%
2024-07-11,4.5095,4.5835,4.587,4.5175,0.07K,-1.85%
2024-07-10,4.5945,4.5655,4.5655,4.5655,0.09K,0.51%
2024-07-09,4.571,4.628,4.628,4.561,0.06K,-0.78%
2024-07-08,4.607,4.624,4.6395,4.597,0.08K,-0.49%
2024-07-05,4.6295,4.5545,4.643,4.5545,0.91K,1.50%
2024-07-04,4.561,4.532,4.5853,4.5137,,0.45%
2024-07-03,4.5405,4.547,4.55,4.533,0.09K,2.44%
2024-07-02,4.4325,4.443,4.443,4.44,0.04K,-0.02%
