Date,Close,Open,High,Low,Volume,Change%
2024-12-20,569.37,573.35,573.37,567.6,0.00K,-0.63%
2024-12-19,572.96,577.26,577.39,570.47,0.00K,-1.03%
2024-12-18,578.91,579.01,581.6,577.25,0.00K,0.08%
2024-12-17,578.46,583.24,584.18,578.21,0.00K,-0.79%
2024-12-16,583.08,585.35,587.12,582.86,0.00K,-0.34%
2024-12-13,585.09,589.04,589.18,583.52,0.00K,-0.64%
2024-12-12,588.84,587.87,592.67,587.72,0.00K,0.26%
2024-12-11,587.3,589.3,590.39,586.35,0.00K,-0.34%
2024-12-10,589.33,592.12,597.84,588.93,0.00K,-0.49%
2024-12-09,592.21,585.02,592.7,583.14,0.00K,1.21%
2024-12-06,585.14,583.39,586.71,582.51,0.00K,0.37%
2024-12-05,582.96,581.78,583.47,579.7,0.00K,0.27%
2024-12-04,581.4,578.96,581.87,578.38,0.00K,0.45%
2024-12-03,578.81,573.47,579.22,573.18,0.00K,0.95%
2024-12-02,573.36,568.32,573.89,568.14,0.00K,0.81%
2024-11-29,568.77,567.23,571.57,565.87,0.00K,0.26%
2024-11-28,567.31,572.06,572.34,567.15,0.00K,-0.75%
2024-11-27,571.58,570.29,573.6,568.41,0.00K,0.28%
2024-11-26,569.96,571.9,573.21,569.35,0.00K,-0.43%
2024-11-25,572.44,571.27,574.74,571.01,0.00K,0.33%
2024-11-22,570.54,570.2,573.12,568.97,0.00K,0.04%
2024-11-21,570.31,575.33,575.39,569.99,0.00K,-0.85%
2024-11-20,575.2,576.02,577.0,574.4,0.00K,-0.09%
2024-11-19,575.72,572.86,577.88,572.66,0.00K,0.61%
2024-11-18,572.22,571.8,574.22,570.3,0.00K,0.10%
2024-11-15,571.62,571.71,574.1,570.36,,-0.06%
2024-11-14,571.95,577.27,577.34,571.3,,-0.93%
2024-11-13,577.29,581.32,581.37,576.93,,-0.65%
2024-11-12,581.05,591.96,592.0,580.67,,-1.87%
2024-11-11,592.12,596.2,596.28,589.92,,-0.74%
2024-11-08,596.56,600.83,605.25,595.2,,-0.57%
2024-11-07,599.98,594.72,601.43,593.19,,0.84%
2024-11-06,595.0,598.15,598.15,592.43,,-0.45%
2024-11-05,597.66,591.19,598.62,589.21,,1.08%
2024-11-04,591.25,589.09,592.31,589.07,,0.38%
2024-11-01,589.01,587.82,590.9,584.12,,0.31%
2024-10-31,587.17,590.21,591.56,584.89,,-0.38%
2024-10-30,589.39,594.26,595.1,589.39,,-0.81%
2024-10-29,594.19,595.57,596.83,591.45,,-0.21%
2024-10-28,595.42,594.18,596.23,592.11,,0.18%
2024-10-25,594.37,594.67,597.24,593.74,,0.07%
