Date,Close,Open,High,Low,Volume,Change%
2024-12-19,"84,465.35","84,796.01","85,097.55","84,350.53",504.86M,-1.33%
2024-12-18,"85,599.84","85,914.44","86,327.98","85,338.61",311.15M,-0.17%
2024-12-17,"85,746.04","86,607.56","87,129.65","85,746.04",215.05M,-1.59%
2024-12-13,"87,129.65","86,492.26","87,764.36","86,482.51",228.97M,0.19%
2024-12-12,"86,965.35","87,400.94","87,658.15","86,881.82",201.83M,-0.17%
2024-12-11,"87,115.95","87,026.08","87,271.05","86,616.63",203.70M,-0.18%
2024-12-10,"87,271.05","87,105.72","87,642.76","86,936.01",208.09M,-0.42%
2024-12-09,"87,642.76","86,817.31","87,694.17","86,627.70",236.51M,0.81%
2024-12-06,"86,938.44","86,825.62","87,298.85","86,753.93",215.43M,0.11%
2024-12-05,"86,846.42","86,057.14","87,136.11","86,057.14",246.73M,0.62%
2024-12-04,"86,314.51","85,892.08","86,598.30","85,818.80",265.91M,0.58%
2024-12-03,"85,818.80","85,691.60","86,567.63","85,658.25",278.03M,0.10%
2024-12-02,"85,731.51","84,603.87","85,963.46","84,510.44",191.58M,1.44%
2024-11-29,"84,510.44","84,815.98","84,937.23","84,510.44",240.44M,-0.33%
2024-11-28,"84,787.41","85,097.98","85,144.35","84,720.71",218.13M,-0.37%
2024-11-27,"85,102.34","85,459.91","85,696.03","85,024.77",260.68M,-0.35%
2024-11-26,"85,397.50","84,684.11","85,414.12","84,467.99",273.92M,0.62%
2024-11-25,"84,875.24","85,673.67","85,851.71","84,875.24",352.21M,-0.86%
2024-11-22,"85,608.47","85,696.40","86,100.56","85,418.50",213.83M,0.10%
2024-11-21,"85,522.57","85,469.08","85,821.12","85,257.68",234.57M,0.29%
2024-11-20,"85,274.83","84,716.31","85,478.91","84,526.75",216.82M,0.89%
2024-11-19,"84,526.75","84,681.39","85,164.36","84,382.42",192.92M,0.12%
2024-11-18,"84,425.00","84,262.66","84,606.98","83,872.74",176.68M,0.66%
2024-11-15,"83,872.74","83,975.64","84,261.65","83,605.94",189.07M,0.05%
2024-11-14,"83,834.31","83,567.56","84,145.67","83,432.43",238.15M,0.04%
2024-11-13,"83,803.11","84,014.28","84,201.75","83,784.17",176.02M,-0.47%
2024-11-12,"84,201.75","84,455.18","84,771.53","83,861.04",283.02M,-0.67%
2024-11-11,"84,771.53","84,995.48","85,357.46","84,771.53",159.32M,-0.41%
2024-11-08,"85,124.52","85,694.45","85,998.22","84,918.20",176.66M,-1.02%
2024-11-07,"85,998.22","85,521.47","86,208.68","85,329.75",224.56M,0.78%
2024-11-06,"85,329.75","86,341.47","86,642.86","85,111.29",259.03M,-1.52%
2024-11-05,"86,642.86","86,168.72","86,642.86","86,168.72",273.42M,0.49%
2024-11-04,"86,223.60","86,074.05","86,403.36","86,009.98",170.33M,0.03%
2024-11-01,"86,198.57","85,899.88","86,329.39","85,384.82",202.45M,0.95%
2024-10-31,"85,384.82","86,403.43","86,759.04","85,254.94",251.58M,-1.58%
2024-10-30,"86,759.04","87,066.49","87,300.97","86,394.51",292.57M,-0.62%
2024-10-29,"87,300.97","87,603.71","87,883.90","86,999.06",246.66M,-0.39%
2024-10-28,"87,643.65","86,839.35","87,753.44","86,761.38",261.98M,0.72%
2024-10-25,"87,015.81","87,023.36","87,196.78","86,651.92",209.11M,0.09%
2024-10-24,"86,937.24","86,677.99","87,353.53","86,464.19",217.61M,0.55%
2024-10-23,"86,464.19","86,936.38","87,023.29","86,238.84",264.28M,-0.33%
2024-10-22,"86,752.88","86,907.67","87,076.55","86,046.69",225.77M,-0.37%
2024-10-21,"87,076.55","87,293.73","87,451.36","86,920.79",181.58M,-0.14%
2024-10-18,"87,201.49","87,001.42","87,467.86","86,582.35",213.78M,0.72%
2024-10-17,"86,582.35","86,506.05","87,037.27","86,192.11",184.53M,0.22%
2024-10-16,"86,393.01","86,078.96","86,430.22","85,837.31",374.53M,0.52%
2024-10-15,"85,949.77","85,838.05","86,398.66","85,528.27",215.54M,-0.52%
2024-10-14,"86,398.66","86,187.08","86,587.83","85,849.34",167.68M,0.29%
2024-10-11,"86,149.45","85,332.35","86,279.28","85,321.08",218.78M,0.89%
2024-10-10,"85,392.82","85,627.25","85,627.25","85,221.71",296.96M,0.07%
2024-10-09,"85,336.85","85,300.89","85,491.22","84,677.53",266.53M,-0.18%
2024-10-08,"85,491.22","85,181.95","86,308.92","84,863.13",274.71M,-0.95%
2024-10-07,"86,308.92","86,453.72","86,655.74","86,166.85",235.79M,-0.03%
2024-10-04,"86,332.42","86,739.94","86,970.58","86,243.68",195.54M,-0.15%
2024-10-03,"86,461.05","86,948.18","87,328.62","86,092.65",204.60M,-0.75%
2024-10-02,"87,115.22","87,566.99","87,587.73","86,619.39",243.23M,0.57%
2024-10-01,"86,619.39","86,984.11","87,441.14","86,326.87",289.66M,0.08%
2024-09-30,"86,548.42","87,730.03","87,782.32","86,548.42",316.52M,-1.18%
2024-09-27,"87,579.71","87,549.86","87,789.80","86,886.25",272.91M,0.29%
2024-09-26,"87,327.21","86,837.41","87,802.52","85,960.32",278.20M,1.59%
2024-09-25,"85,960.32","85,899.07","86,197.11","84,777.53",357.47M,1.40%
2024-09-23,"84,777.53","83,764.71","84,826.99","83,719.43",195.12M,1.13%
2024-09-20,"83,829.99","83,898.07","84,395.93","83,696.76",772.29M,0.08%
2024-09-19,"83,760.08","83,465.41","84,218.18","82,718.58",501.25M,1.26%
2024-09-18,"82,718.58","82,835.52","83,032.71","82,151.38",218.69M,-0.38%
2024-09-17,"83,032.71","82,298.64","83,247.96","82,007.34",226.92M,1.25%
2024-09-16,"82,007.34","81,907.39","82,315.77","81,907.39",244.22M,0.04%
2024-09-13,"81,978.59","81,979.41","82,160.68","81,668.39",265.03M,0.38%
2024-09-12,"81,668.39","81,649.21","82,037.50","80,827.79",269.43M,1.04%
2024-09-11,"80,827.79","81,456.64","81,641.90","80,538.94",307.10M,-1.00%
2024-09-10,"81,641.90","81,300.66","81,730.24","81,150.00",253.29M,0.25%
2024-09-09,"81,441.63","81,430.90","81,975.29","81,339.39",207.06M,0.09%
2024-09-06,"81,364.89","81,794.47","82,146.83","81,364.89",208.68M,-0.95%
2024-09-05,"82,146.83","81,758.92","82,244.53","81,398.34",252.34M,0.28%
2024-09-04,"81,915.38","81,724.78","82,156.76","81,616.83",309.57M,-0.29%
2024-09-03,"82,156.76","83,331.28","83,603.13","82,082.58",264.91M,-1.59%
2024-09-02,"83,483.36","83,540.05","83,749.86","83,138.75",198.50M,-0.32%
2024-08-30,"83,749.86","84,397.80","84,462.51","83,433.57",290.92M,-0.58%
2024-08-29,"84,239.42","83,928.61","84,431.80","83,906.23",205.73M,0.26%
2024-08-28,"84,018.65","84,363.25","84,639.24","83,932.83",235.32M,-0.63%
2024-08-27,"84,553.54","84,263.35","84,670.69","84,181.23",198.67M,0.43%
2024-08-26,"84,193.95","84,452.13","84,520.66","84,073.91",201.80M,-0.19%
2024-08-23,"84,351.57","83,986.18","84,663.62","83,620.81",225.07M,0.87%
2024-08-22,"83,620.81","84,155.05","84,800.50","83,596.97",180.20M,-0.48%
2024-08-21,"84,026.18","84,034.11","84,197.24","83,783.30",179.16M,0.29%
2024-08-20,"83,783.30","83,748.40","84,215.43","83,651.81",186.89M,-0.02%
2024-08-19,"83,799.30","83,013.26","83,955.76","82,824.44",207.37M,1.18%
2024-08-16,"82,824.44","82,719.93","83,169.68","82,226.43",247.70M,0.73%
2024-08-15,"82,226.43","81,380.14","82,868.63","81,380.14",215.57M,1.01%
2024-08-14,"81,402.32","80,740.19","81,827.99","80,740.19",300.34M,0.55%
2024-08-13,"80,956.22","80,657.86","80,956.22","80,259.19",185.18M,0.49%
2024-08-12,"80,560.78","81,034.59","81,034.59","80,398.39",162.23M,-0.22%
2024-08-08,"80,739.31","79,919.04","80,853.42","79,503.96",287.24M,0.47%
2024-08-07,"80,364.86","79,817.01","80,405.49","79,430.05",227.18M,1.18%
2024-08-06,"79,430.05","79,513.22","79,736.45","78,675.95",221.07M,-0.19%
2024-08-05,"79,577.61","78,961.96","80,538.57","78,306.84",297.99M,-1.19%
2024-08-02,"80,538.57","81,450.91","81,868.82","80,495.12",213.14M,-1.62%
2024-08-01,"81,868.82","82,844.47","82,881.44","81,799.99",215.48M,-1.08%
2024-07-31,"82,765.12","81,640.71","82,765.12","81,198.64",257.92M,1.93%
2024-07-30,"81,198.64","80,825.42","81,374.83","80,697.10",205.17M,0.23%
2024-07-29,"81,011.65","81,262.30","81,542.07","80,957.82",180.80M,-0.13%
2024-07-26,"81,120.51","80,755.35","81,253.06","80,640.01",191.68M,0.55%
2024-07-25,"80,678.20","79,807.84","80,678.20","79,516.29",173.50M,0.10%
2024-07-24,"80,595.14","80,486.02","80,816.32","80,366.77",174.94M,-0.14%
2024-07-23,"80,706.44","80,446.52","80,869.41","79,879.87",199.95M,0.27%
