Date,Close,Open,High,Low,Volume,Change%
2024-12-20,"21,411.96","20,939.64","21,540.26","20,914.97",254.05M,1.43%
2024-12-19,"21,110.51","21,358.79","21,413.74","21,093.46",392.61M,-0.47%
2024-12-18,"21,209.31","21,979.53","22,038.08","21,146.83",456.45M,-3.60%
2024-12-17,"22,001.08","22,003.64","22,062.00","21,921.21",398.54M,-0.43%
2024-12-16,"22,096.66","21,891.36","22,133.22","21,879.74",404.45M,1.45%
2024-12-13,"21,780.25","21,789.65","21,886.74","21,646.09",321.85M,0.76%
2024-12-12,"21,615.27","21,652.85","21,715.83","21,596.66",279.71M,-0.68%
2024-12-11,"21,763.98","21,540.38","21,784.71","21,533.89",332.02M,1.85%
2024-12-10,"21,368.18","21,492.51","21,567.02","21,313.27",337.05M,-0.34%
2024-12-09,"21,440.82","21,573.76","21,609.99","21,400.77",344.44M,-0.84%
2024-12-06,"21,622.25","21,458.58","21,626.31","21,449.62",298.62M,0.92%
2024-12-05,"21,425.22","21,488.52","21,517.49","21,411.53",301.73M,-0.31%
2024-12-04,"21,492.36","21,361.81","21,498.44","21,340.84",323.35M,1.24%
2024-12-03,"21,229.32","21,106.51","21,235.79","21,081.80",297.66M,0.31%
2024-12-02,"21,164.60","20,971.76","21,201.03","20,971.76",351.01M,1.12%
2024-11-29,"20,930.37","20,771.02","20,956.31","20,751.96",195.03M,0.90%
2024-11-27,"20,744.49","20,852.43","20,853.08","20,615.42",268.33M,-0.85%
2024-11-26,"20,922.90","20,871.55","20,944.90","20,832.40",284.90M,0.57%
2024-11-25,"20,804.89","20,918.76","20,998.48","20,712.38",567.11M,0.14%
2024-11-22,"20,776.23","20,737.49","20,797.24","20,655.72",286.18M,0.17%
2024-11-21,"20,740.78","20,775.27","20,814.93","20,436.80",349.75M,0.36%
2024-11-20,"20,667.10","20,660.84","20,676.57","20,402.54",295.45M,-0.08%
2024-11-19,"20,684.59","20,435.68","20,696.47","20,423.30",318.23M,0.71%
2024-11-18,"20,539.19","20,450.21","20,622.28","20,401.26",339.67M,0.71%
2024-11-15,"20,394.13","20,679.98","20,684.56","20,315.08",402.68M,-2.40%
2024-11-14,"20,896.67","21,052.07","21,067.66","20,864.02",311.21M,-0.66%
2024-11-13,"21,036.16","21,049.66","21,154.94","20,955.24",299.09M,-0.16%
2024-11-12,"21,070.79","21,105.49","21,144.67","20,946.74",302.55M,-0.17%
2024-11-11,"21,106.59","21,171.24","21,182.03","20,993.48",304.76M,-0.05%
2024-11-08,"21,117.18","21,083.58","21,155.00","21,050.32",324.48M,0.07%
2024-11-07,"21,101.57","20,896.41","21,132.80","20,896.41",356.37M,1.54%
2024-11-06,"20,781.33","20,571.29","20,807.03","20,526.64",448.99M,2.74%
2024-11-05,"20,227.46","20,042.93","20,249.21","20,042.93",255.44M,1.32%
2024-11-04,"19,963.60","20,011.55","20,106.99","19,898.57",271.03M,-0.35%
2024-11-01,"20,033.14","19,955.83","20,162.54","19,950.99",323.83M,0.72%
2024-10-31,"19,890.41","20,227.19","20,227.19","19,880.26",441.83M,-2.44%
2024-10-30,"20,387.70","20,510.92","20,559.52","20,378.75",370.22M,-0.79%
2024-10-29,"20,550.65","20,369.08","20,600.10","20,294.58",284.94M,0.98%
2024-10-28,"20,351.07","20,455.01","20,470.43","20,344.82",233.56M,0.00%
2024-10-25,"20,352.01","20,354.91","20,552.82","20,322.25",271.01M,0.59%
2024-10-24,"20,232.87","20,197.62","20,256.38","20,116.88",269.27M,0.83%
2024-10-23,"20,066.96","20,303.55","20,312.78","19,934.92",282.27M,-1.55%
