Date,Close,Open,High,Low,Volume,Change%
2024-12-19,0.2435,0.2425,0.2449,0.2425,,0.47%
2024-12-18,0.2424,0.2457,0.2468,0.2424,,-1.30%
2024-12-17,0.2456,0.247,0.2476,0.2453,,-0.49%
2024-12-16,0.2468,0.2463,0.2473,0.2456,,0.33%
2024-12-13,0.246,0.2449,0.2469,0.2442,,0.53%
2024-12-12,0.2447,0.2458,0.2467,0.2446,,-0.41%
2024-12-11,0.2457,0.2472,0.2476,0.2454,,-0.53%
2024-12-10,0.247,0.2478,0.2483,0.2462,,-0.24%
2024-12-09,0.2476,0.2477,0.2489,0.2465,,0.08%
2024-12-06,0.2474,0.248,0.2491,0.2471,,-0.20%
2024-12-05,0.2479,0.2456,0.2485,0.2454,,1.02%
2024-12-04,0.2454,0.2447,0.2465,0.244,,0.33%
2024-12-03,0.2446,0.245,0.2456,0.244,,-0.12%
2024-12-02,0.2449,0.2459,0.2461,0.2438,,-0.33%
2024-11-29,0.2457,0.245,0.2466,0.2448,,0.33%
2024-11-28,0.2449,0.2456,0.2458,0.2442,,-0.24%
2024-11-27,0.2455,0.2436,0.246,0.2429,,0.82%
2024-11-26,0.2435,0.2435,0.2449,0.2413,,0.08%
2024-11-25,0.2433,0.2403,0.244,0.2403,,1.38%
2024-11-22,0.24,0.2412,0.2421,0.2379,,-0.46%
2024-11-21,0.2411,0.2432,0.2436,0.2406,,-0.78%
2024-11-20,0.243,0.2445,0.2449,0.2421,,-0.53%
2024-11-19,0.2443,0.2457,0.2458,0.2427,,-0.53%
2024-11-18,0.2456,0.244,0.2459,0.2429,,0.66%
2024-11-15,0.244,0.2436,0.2453,0.243,,0.25%
2024-11-14,0.2434,0.2433,0.2448,0.2415,,0.12%
2024-11-13,0.2431,0.2442,0.2457,0.2428,,-0.41%
2024-11-12,0.2441,0.2442,0.2446,0.2431,,0.00%
2024-11-11,0.2441,0.2479,0.248,0.2438,,-1.41%
2024-11-08,0.2476,0.2505,0.2507,0.2468,,-1.08%
2024-11-07,0.2503,0.2465,0.251,0.2458,,1.62%
2024-11-06,0.2463,0.251,0.2512,0.2446,,-1.83%
2024-11-05,0.2509,0.2497,0.2511,0.2493,,0.52%
2024-11-04,0.2496,0.2483,0.2517,0.2483,,0.56%
2024-11-01,0.2482,0.25,0.2504,0.2481,,-0.64%
2024-10-31,0.2498,0.2493,0.2504,0.249,,0.28%
2024-10-30,0.2491,0.2493,0.2508,0.2485,,-0.04%
2024-10-29,0.2492,0.2485,0.2494,0.2475,,0.32%
2024-10-28,0.2484,0.2485,0.249,0.2475,,0.00%
2024-10-25,0.2484,0.2491,0.2495,0.248,,-0.24%
2024-10-24,0.249,0.2482,0.2493,0.2478,,0.36%
2024-10-23,0.2481,0.2498,0.2501,0.2474,,-0.60%
2024-10-22,0.2496,0.2503,0.2515,0.2494,,-0.20%
2024-10-21,0.2501,0.2522,0.2526,0.2501,,-0.87%
2024-10-18,0.2523,0.2513,0.2526,0.251,,0.44%
2024-10-17,0.2512,0.2527,0.2528,0.2501,,-0.55%
2024-10-16,0.2526,0.2537,0.2539,0.2523,,-0.36%
2024-10-15,0.2535,0.254,0.2544,0.2531,,-0.16%
2024-10-14,0.2539,0.2548,0.2551,0.2535,,-0.27%
2024-10-11,0.2546,0.2542,0.2554,0.2537,,0.16%
2024-10-10,0.2542,0.2546,0.2549,0.2533,,-0.12%
2024-10-09,0.2545,0.2551,0.2556,0.254,,-0.24%
2024-10-08,0.2551,0.2538,0.2553,0.2536,,0.59%
2024-10-07,0.2536,0.2544,0.2546,0.2533,,-0.24%
