Date,Close,Open,High,Low,Volume,Change%
2024-12-19,0.7345,0.7337,0.7367,0.7333,,0.12%
2024-12-18,0.7336,0.7408,0.7413,0.7333,,-0.95%
2024-12-17,0.7406,0.7409,0.7418,0.7399,,-0.03%
2024-12-16,0.7408,0.7412,0.7422,0.7397,,-0.05%
2024-12-13,0.7412,0.7425,0.7429,0.7407,,-0.16%
2024-12-12,0.7424,0.7438,0.7454,0.742,,-0.15%
2024-12-11,0.7435,0.7452,0.7464,0.7425,,-0.23%
2024-12-10,0.7452,0.746,0.7474,0.7444,,-0.09%
2024-12-09,0.7459,0.745,0.7479,0.7441,,0.17%
2024-12-06,0.7446,0.747,0.7488,0.7445,,-0.27%
2024-12-05,0.7466,0.7441,0.7475,0.7437,,0.35%
2024-12-04,0.744,0.7436,0.7453,0.7418,,0.07%
2024-12-03,0.7435,0.7434,0.7446,0.7417,,0.08%
2024-12-02,0.7429,0.7467,0.7475,0.7413,,-0.47%
2024-11-29,0.7464,0.7447,0.7483,0.7445,,0.30%
2024-11-28,0.7442,0.7454,0.7461,0.7433,,-0.24%
2024-11-27,0.746,0.7426,0.7469,0.7417,,0.47%
2024-11-26,0.7425,0.7428,0.7442,0.7399,,-0.05%
2024-11-25,0.7429,0.7425,0.7452,0.7417,,0.05%
2024-11-22,0.7425,0.7425,0.7439,0.7398,,0.00%
2024-11-21,0.7425,0.7439,0.7455,0.7419,,-0.26%
2024-11-20,0.7444,0.7477,0.7482,0.7432,,-0.36%
2024-11-19,0.7471,0.7468,0.7477,0.7453,,0.04%
2024-11-18,0.7468,0.7447,0.7473,0.7432,,0.28%
2024-11-15,0.7447,0.7426,0.7464,0.7419,,0.28%
2024-11-14,0.7426,0.7445,0.7454,0.7411,,-0.28%
2024-11-13,0.7447,0.7473,0.7499,0.7441,,-0.32%
2024-11-12,0.7471,0.7495,0.7502,0.7459,,-0.32%
2024-11-11,0.7495,0.7537,0.7544,0.7488,,-0.56%
2024-11-08,0.7537,0.7575,0.7575,0.7514,,-0.50%
2024-11-07,0.7575,0.7497,0.7584,0.749,,1.03%
2024-11-06,0.7498,0.7605,0.7614,0.7482,,-1.42%
