Date,Close,Open,High,Low,Volume,Change%
2024-12-20,"3,927.74","3,937.47","3,958.63","3,923.26",154.99K,-0.45%
2024-12-19,"3,945.46","3,911.89","3,954.35","3,899.75",161.08K,0.09%
2024-12-18,"3,941.89","3,934.54","3,956.14","3,933.97",157.74K,0.51%
2024-12-17,"3,922.03","3,908.13","3,955.95","3,908.13",160.94K,0.26%
2024-12-16,"3,911.84","3,930.78","3,938.76","3,901.65",178.51K,-0.54%
2024-12-13,"3,933.18","4,000.99","4,000.99","3,931.74",230.35K,-2.37%
2024-12-12,"4,028.50","3,987.15","4,031.74","3,981.35",181.62K,0.99%
2024-12-11,"3,988.83","3,988.02","4,005.33","3,977.35",177.25K,-0.17%
2024-12-10,"3,995.64","4,094.05","4,098.38","3,988.97",253.46K,0.73%
2024-12-09,"3,966.57","3,970.66","3,995.51","3,948.42",175.96K,-0.17%
2024-12-06,"3,973.14","3,923.90","3,995.12","3,923.90",192.06K,1.31%
2024-12-05,"3,921.59","3,916.56","3,936.34","3,910.08",138.53K,-0.23%
2024-12-04,"3,930.56","3,948.13","3,957.36","3,917.75",174.63K,-0.54%
2024-12-03,"3,951.89","3,946.70","3,963.95","3,922.84",182.50K,0.11%
2024-12-02,"3,947.63","3,909.70","3,955.13","3,902.17",197.29K,0.79%
2024-11-29,"3,916.58","3,869.89","3,962.70","3,869.89",187.66K,1.14%
2024-11-28,"3,872.55","3,904.25","3,908.39","3,866.01",150.12K,-0.88%
2024-11-27,"3,907.04","3,829.34","3,907.16","3,817.91",174.14K,1.74%
2024-11-26,"3,840.18","3,836.26","3,875.23","3,833.28",149.89K,-0.21%
2024-11-25,"3,848.09","3,875.61","3,889.71","3,812.32",190.70K,-0.46%
2024-11-22,"3,865.70","3,984.24","3,990.26","3,865.70",216.29K,-3.10%
2024-11-21,"3,989.30","3,979.46","3,999.57","3,966.07",166.13K,0.09%
2024-11-20,"3,985.77","3,966.12","4,001.08","3,958.34",184.60K,0.22%
2024-11-19,"3,976.89","3,954.60","3,979.15","3,896.75",242.95K,0.67%
2024-11-18,"3,950.38","3,982.10","4,034.06","3,931.19",306.78K,-0.46%
2024-11-15,"3,968.83","4,025.65","4,049.07","3,968.83",247.40K,-1.75%
2024-11-14,"4,039.62","4,101.22","4,118.17","4,034.94",230.15K,-1.73%
2024-11-13,"4,110.89","4,059.59","4,121.07","4,059.59",240.48K,0.62%
2024-11-12,"4,085.74","4,133.35","4,181.71","4,060.79",297.78K,-1.10%
2024-11-11,"4,131.13","4,066.93","4,132.51","4,048.04",289.59K,0.66%
2024-11-08,"4,104.05","4,192.08","4,200.91","4,094.16",332.35K,-1.00%
2024-11-07,"4,145.70","3,987.27","4,146.15","3,984.67",341.44K,3.02%
2024-11-06,"4,024.28","4,051.29","4,091.70","4,002.50",335.81K,-0.50%
