Date,Close,Open,High,Low,Volume,Change%
2024-12-20,29.413,29.457,29.497,29.28,43.14K,0.01%
2024-12-19,29.411,29.88,30.14,29.145,67.60K,-4.32%
2024-12-18,30.74,30.985,31.045,29.755,49.41K,-0.59%
2024-12-17,30.921,31.04,31.11,30.615,39.63K,-0.44%
2024-12-16,31.057,31.005,31.24,30.94,33.34K,0.09%
2024-12-13,31.028,31.56,31.63,30.755,61.92K,-1.87%
2024-12-12,31.619,32.79,33.33,31.495,93.75K,-4.09%
2024-12-11,32.967,32.66,33.14,32.41,78.14K,0.67%
2024-12-10,32.747,32.46,32.795,32.305,61.73K,0.42%
2024-12-09,32.611,31.48,32.945,31.375,93.71K,3.24%
2024-12-06,31.588,31.825,31.935,31.32,61.55K,0.16%
2024-12-05,31.536,31.825,31.95,31.505,50.78K,-1.19%
2024-12-04,31.915,31.505,32.07,31.065,75.75K,1.34%
2024-12-03,31.492,30.99,31.57,30.92,54.34K,2.03%
2024-12-02,30.864,31.12,31.135,30.51,47.17K,-0.78%
2024-11-29,31.108,30.56,31.375,30.095,72.02K,1.81%
2024-11-27,30.556,30.93,31.185,30.435,58.51K,-0.90%
2024-11-26,30.832,30.77,31.17,30.455,49.96K,0.56%
2024-11-25,30.661,31.85,31.98,30.53,48.20K,-3.51%
2024-11-22,31.776,31.315,31.905,31.24,26.59K,1.27%
2024-11-21,31.379,31.37,31.81,31.145,22.97K,-0.17%
2024-11-20,31.434,31.735,31.85,31.295,13.81K,-0.82%
2024-11-19,31.693,31.66,32.035,31.555,15.25K,0.13%
2024-11-18,31.652,30.81,31.78,30.78,9.31K,2.58%
2024-11-15,30.855,30.97,31.315,30.695,6.03K,-0.44%
2024-11-14,30.991,30.82,31.155,30.18,10.62K,-0.32%
2024-11-13,31.09,31.255,31.665,30.815,16.35K,-0.31%
2024-11-12,31.188,31.195,31.355,30.7,17.69K,0.49%
2024-11-11,31.036,31.85,32.08,30.94,16.92K,-2.67%
2024-11-08,31.886,32.585,32.585,31.735,16.80K,-1.26%
2024-11-07,32.292,31.72,32.69,31.405,15.66K,1.68%
2024-11-06,31.76,33.29,33.29,31.38,12.15K,-4.39%
2024-11-05,33.22,33.035,33.49,32.8,6.58K,0.51%
2024-11-04,33.052,33.0,33.425,32.865,5.71K,-0.22%
2024-11-01,33.124,33.22,33.68,32.93,7.01K,-0.35%
2024-10-31,33.239,34.42,34.47,33.1,6.05K,-3.75%
2024-10-30,34.534,35.075,35.14,34.015,5.42K,-0.20%
2024-10-29,34.603,34.005,34.845,33.95,0.32K,1.29%
2024-10-28,34.161,33.895,34.295,33.585,0.14K,0.65%
2024-10-25,33.939,33.97,34.26,33.49,0.31K,-0.05%
2024-10-24,33.955,34.025,34.605,33.625,0.40K,-0.13%
2024-10-23,33.999,35.185,35.19,33.8,0.41K,-3.42%
2024-10-22,35.204,34.23,35.205,34.23,0.47K,2.82%
2024-10-21,34.237,34.05,34.62,33.94,0.55K,2.54%
2024-10-18,33.389,32.055,34.12,32.04,0.55K,4.59%
2024-10-17,31.924,32.035,32.31,31.8,0.17K,-0.62%
2024-10-16,32.124,31.865,32.5,31.86,0.50K,0.68%
2024-10-15,31.906,31.585,32.0,31.255,0.10K,1.40%
2024-10-14,31.467,31.87,31.87,31.28,0.43K,-1.37%
2024-10-11,31.904,31.56,31.98,31.44,0.19K,1.65%
2024-10-10,31.385,30.88,31.51,30.795,0.10K,1.86%
2024-10-09,30.812,30.95,31.12,30.68,0.13K,0.22%
