Date,Close,Open,High,Low,Volume,Change%
2024-12-20,"1,022.2403","1,021.8965","1,022.8973","1,021.7091",,0.07%
2024-12-19,"1,021.5000","1,022.5000","1,022.5000","1,022.0000",,-0.05%
2024-12-18,"1,022.0000","1,022.0000","1,022.2500","1,021.7500",,0.20%
2024-12-17,"1,020.0000","1,021.0000","1,021.2500","1,020.2500",,-0.05%
2024-12-16,"1,020.5000","1,020.7500","1,021.2500","1,020.2500",,0.29%
2024-12-13,"1,017.5000","1,018.2500","1,018.2500","1,017.7500",,-0.05%
2024-12-12,"1,018.0000","1,018.0000","1,018.2500","1,017.7500",,0.15%
2024-12-11,"1,016.5000","1,016.7500","1,017.1000","1,016.2500",,0.05%
2024-12-10,"1,016.0000","1,016.5000","1,016.7500","1,016.1500",,0.05%
2024-12-09,"1,015.5000","1,015.7500","1,015.8500","1,015.6500",,0.30%
2024-12-06,"1,012.5000","1,013.0000","1,013.3500","1,012.7500",,0.05%
2024-12-05,"1,012.0000","1,013.5000","1,013.7500","1,012.2500",,0.00%
2024-12-04,"1,012.0000","1,012.7500","1,013.0000","1,011.7500",,0.05%
2024-12-03,"1,011.5000","1,011.7500","1,012.3500","1,011.5000",,0.05%
2024-12-02,"1,011.0000","1,010.5000","1,011.7500","1,010.5000",,0.10%
2024-11-29,"1,010.0000","1,009.2500","1,010.5000","1,008.9000",,0.10%
2024-11-28,"1,009.0000","1,009.0000","1,009.0000","1,009.0000",,0.15%
2024-11-27,"1,007.5000","1,007.0000","1,008.0000","1,007.0000",,0.05%
2024-11-26,"1,007.0000","1,006.5000","1,007.2000","1,006.5000",,0.10%
2024-11-25,"1,006.0000","1,006.0000","1,006.0000","1,006.0000",,0.20%
2024-11-22,"1,004.0000","1,003.0000","1,004.0000","1,003.0000",,0.05%
2024-11-21,"1,003.5000","1,003.5000","1,004.0000","1,003.5000",,0.10%
2024-11-20,"1,002.5000","1,001.5000","1,002.7000","1,001.5000",,0.10%
2024-11-19,"1,001.5000","1,002.0000","1,002.2000","1,001.5000",,0.30%
2024-11-18,998.4800,998.4800,998.4800,998.4800,,0.05%
2024-11-15,998.0000,999.0000,999.0000,998.0000,,-0.05%
2024-11-14,998.5000,998.5000,998.7400,998.5000,,0.05%
2024-11-13,998.0000,998.0000,998.2400,997.5000,,0.05%
2024-11-12,997.5000,997.5000,997.9900,997.5000,,-0.05%
2024-11-11,998.0000,997.5000,998.0000,997.5000,,0.45%
2024-11-08,993.5000,993.5000,994.0000,993.5000,,0.00%
2024-11-07,993.5000,993.5000,994.2400,993.5000,,0.08%
2024-11-06,992.7400,992.7400,992.7400,992.7400,,0.02%
2024-11-05,992.5000,992.5000,992.7400,992.5000,,0.00%
2024-11-04,992.5000,992.0000,992.5000,992.0000,,0.25%
2024-11-01,990.0000,989.5000,990.0000,989.5000,,0.00%
2024-10-31,990.0000,989.0000,990.0000,989.0000,,0.15%
2024-10-30,988.5000,988.5000,989.2400,988.5000,,0.10%
2024-10-29,987.5000,987.5000,987.7400,987.5000,,0.05%
2024-10-28,987.0000,987.5000,987.7400,987.0000,,0.25%
2024-10-25,984.5000,985.0000,985.5000,984.5000,,-0.05%
2024-10-24,985.0000,984.5000,985.2400,984.5000,,0.05%
2024-10-23,984.5000,983.5000,985.2400,983.5000,,0.10%
2024-10-22,983.5000,983.5000,984.0000,983.0000,,0.05%
2024-10-21,983.0000,982.5000,983.4900,982.5000,,0.25%
2024-10-18,980.5000,980.0000,980.7400,980.0000,,0.00%
2024-10-17,980.5000,980.5000,980.5000,980.0000,,0.05%
2024-10-16,980.0000,979.5000,980.7400,979.5000,,0.10%
2024-10-15,979.0000,979.0000,979.7400,979.0000,,-0.05%
2024-10-14,979.5000,979.5000,979.5000,979.5000,,0.49%
2024-10-11,974.7400,974.7400,974.7400,974.7400,,0.02%
2024-10-10,974.5000,974.5000,975.5000,974.5000,,0.00%
2024-10-09,974.5000,975.0000,975.2400,974.5000,,0.05%
2024-10-08,974.0000,974.5000,975.2400,974.0000,,-0.05%
2024-10-07,974.5000,974.0000,974.7400,974.0000,,0.36%
2024-10-04,971.0000,971.5000,971.7400,971.0000,,-0.05%
2024-10-03,971.5000,971.0000,971.7400,971.0000,,0.15%
2024-10-02,970.0000,970.0000,970.7400,970.0000,,0.05%
2024-10-01,969.5000,970.0000,970.0000,969.5000,,0.10%
2024-09-30,968.5000,969.0000,969.9900,968.5000,,0.26%
2024-09-27,966.0000,967.0000,967.9900,966.0000,,-0.10%
2024-09-26,967.0000,967.5000,968.0000,967.0000,,-0.10%
2024-09-25,968.0000,966.5000,968.0000,966.0000,,0.31%
2024-09-24,965.0000,965.5000,966.0000,965.0000,,0.00%
2024-09-23,965.0000,965.0000,965.4900,965.0000,,0.31%
2024-09-20,962.0000,963.0000,963.0000,962.0000,,-0.05%
2024-09-19,962.5000,962.5000,962.7400,962.0000,,0.05%
2024-09-18,962.0000,962.0000,962.2400,962.0000,,0.10%
2024-09-17,961.0000,961.0000,961.2500,960.5000,,0.10%
2024-09-16,960.0000,960.5000,961.2400,960.0000,,0.10%
2024-09-13,959.0000,958.5000,959.5000,958.5000,,-0.05%
2024-09-12,959.5000,957.5000,959.5000,957.5000,,0.21%
2024-09-11,957.5000,957.5000,958.4900,957.5000,,0.05%
2024-09-10,957.0000,957.5000,957.7400,957.0000,,-0.05%
2024-09-09,957.5000,956.0000,957.5000,956.0000,,0.16%
2024-09-06,956.0000,953.7400,956.0000,953.5000,,0.26%
2024-09-05,953.5000,953.5000,953.7400,953.5000,,0.05%
2024-09-04,953.0000,953.0000,953.7400,953.0000,,0.00%
2024-09-03,953.0000,952.5000,953.5000,952.5000,,0.05%
