Date,Close,Open,High,Low,Volume,Change%
2024-12-20,6.0865,6.1558,6.1801,6.0435,,-1.07%
2024-12-19,6.1525,6.2447,6.3007,6.1051,,-2.18%
2024-12-18,6.2896,6.0981,6.3144,6.0937,,3.03%
2024-12-17,6.1048,6.1464,6.2097,6.058,,-0.70%
2024-12-16,6.1479,6.0464,6.15,6.0246,,1.75%
2024-12-13,6.0419,5.9976,6.0778,5.974,,0.84%
2024-12-12,5.9915,5.955,6.0495,5.8665,,0.62%
2024-12-11,5.9543,6.0456,6.0733,5.9406,,-1.50%
2024-12-10,6.045,6.0793,6.0836,6.0169,,-0.56%
2024-12-09,6.0788,6.0898,6.0905,6.0369,,-0.17%
2024-12-06,6.0894,6.0116,6.0952,5.9836,,1.30%
2024-12-05,6.0113,6.0382,6.0384,5.9598,,-0.49%
2024-12-04,6.0409,6.0413,6.0738,6.0198,,-0.05%
2024-12-03,6.044,6.0584,6.0957,6.0285,,-0.23%
2024-12-02,6.058,6.0002,6.0914,6.0002,,1.42%
2024-11-29,5.973,6.0038,6.1159,5.9558,,-0.69%
2024-11-28,6.0142,5.971,6.023,5.9458,,1.29%
2024-11-27,5.9377,5.8122,5.9402,5.8033,,2.21%
2024-11-26,5.8095,5.8114,5.8335,5.7805,,0.19%
2024-11-25,5.7983,5.7867,5.8212,5.7756,,-0.05%
2024-11-22,5.801,5.8142,5.8325,5.7879,,-0.23%
2024-11-21,5.8144,5.776,5.8337,5.7755,,0.73%
2024-11-20,5.7725,5.7731,5.776,5.7728,,0.05%
2024-11-19,5.7694,5.7469,5.7978,5.7451,,0.38%
2024-11-18,5.7473,5.7951,5.8003,5.735,,-0.82%
2024-11-15,5.7947,5.7956,5.7964,5.795,,0.10%
2024-11-14,5.789,5.8032,5.8297,5.7602,,-0.29%
2024-11-13,5.8061,5.7482,5.8183,5.7219,,0.99%
2024-11-12,5.749,5.7546,5.7989,5.7463,,-0.12%
2024-11-11,5.7559,5.7756,5.8167,5.7506,,0.32%
2024-11-08,5.7376,5.6926,5.7911,5.6913,,0.80%
2024-11-07,5.6923,5.6774,5.724,5.6335,,0.23%
2024-11-06,5.6793,5.7513,5.8625,5.6644,,-1.24%
2024-11-05,5.7508,5.77,5.8055,5.7393,,-0.70%
2024-11-04,5.7916,5.8681,5.8697,5.7558,,-1.30%
2024-11-01,5.8681,5.7885,5.8754,5.762,,1.41%
2024-10-31,5.7867,5.7624,5.7949,5.7534,,0.41%
2024-10-30,5.763,5.761,5.7928,5.7545,,0.05%
2024-10-29,5.7604,5.7103,5.7673,5.6974,,0.89%
2024-10-28,5.7096,5.7076,5.7206,5.6855,,0.04%
2024-10-25,5.7073,5.6662,5.7138,5.6617,,0.76%
2024-10-24,5.6643,5.6909,5.7205,5.6606,,-0.42%
2024-10-23,5.6884,5.6904,5.7326,5.6848,,-0.02%
2024-10-22,5.6894,5.6943,5.7181,5.6743,,-0.08%
2024-10-21,5.6939,5.6898,5.7354,5.6868,,0.05%
2024-10-18,5.6912,5.6555,5.7031,5.6289,,0.65%
2024-10-17,5.6546,5.6652,5.6896,5.6519,,-0.19%
2024-10-16,5.6652,5.6507,5.7007,5.6297,,0.27%
2024-10-15,5.6502,5.5952,5.6656,5.5797,,1.03%
2024-10-14,5.5928,5.6121,5.6523,5.5643,,-0.35%
2024-10-11,5.6126,5.5832,5.6537,5.5572,,0.55%
2024-10-10,5.5821,5.5943,5.605,5.5665,,-0.21%
2024-10-09,5.5941,5.535,5.5996,5.5306,,1.07%
2024-10-08,5.5349,5.4919,5.5395,5.4897,,0.82%
2024-10-07,5.49,5.4558,5.4926,5.42,,0.63%
2024-10-04,5.4555,5.4779,5.5199,5.4513,,-0.37%
2024-10-03,5.4759,5.4417,5.5116,5.4385,,0.65%
2024-10-02,5.4407,5.4377,5.4608,5.4037,,0.07%
2024-10-01,5.4368,5.4501,5.4788,5.4296,,-0.21%
2024-09-30,5.4482,5.4347,5.474,5.4025,,0.28%
2024-09-27,5.4329,5.4399,5.4583,5.4266,,-0.08%
2024-09-26,5.4375,5.4749,5.4781,5.4045,,-0.73%
2024-09-25,5.4774,5.4556,5.4974,5.4397,,0.42%
2024-09-24,5.4547,5.5374,5.5422,5.446,,-1.48%
2024-09-23,5.5364,5.5104,5.6005,5.5104,,0.47%
2024-09-20,5.5103,5.4265,5.5247,5.4153,,1.55%
2024-09-19,5.4263,5.4616,5.4665,5.3938,,-0.64%
2024-09-18,5.4612,5.4833,5.4965,5.4093,,-0.39%
2024-09-17,5.4825,5.5108,5.5162,5.4781,,-0.50%
2024-09-16,5.51,5.5678,5.5818,5.4973,,-0.97%
2024-09-13,5.564,5.6285,5.6308,5.5437,,-1.13%
2024-09-12,5.6276,5.6633,5.6769,5.6143,,-0.60%
2024-09-11,5.6618,5.6608,5.6744,5.6062,,0.06%
2024-09-10,5.6582,5.5837,5.6723,5.5681,,1.33%
2024-09-09,5.5842,5.5992,5.641,5.5748,,-0.26%
2024-09-06,5.599,5.5749,5.6022,5.5285,,0.45%
2024-09-05,5.5741,5.6404,5.6495,5.5694,,-1.17%
2024-09-04,5.6399,5.6459,5.662,5.6154,,-0.10%
