Date,Close,Open,High,Low,Volume,Change%
2024-12-19,997.11,994.41,"1,000.14",994.41,,0.39%
2024-12-18,993.28,987.70,994.77,984.35,,0.68%
2024-12-17,986.56,990.63,995.12,986.56,,-0.28%
2024-12-16,989.33,986.38,993.12,986.38,,0.36%
2024-12-13,985.83,978.77,987.83,977.23,,0.87%
2024-12-12,977.37,975.40,981.63,971.88,,0.30%
2024-12-11,974.40,974.08,978.75,972.70,,0.20%
2024-12-10,972.48,969.05,977.02,968.23,,0.35%
2024-12-09,969.05,975.13,975.13,967.93,,-0.59%
2024-12-06,974.84,970.10,976.30,966.84,,0.62%
2024-12-05,968.83,974.95,975.32,968.89,,-0.53%
2024-12-04,973.95,973.00,976.69,971.38,,0.20%
2024-12-03,972.00,978.22,978.22,970.75,,-0.61%
2024-12-02,977.93,973.44,981.63,973.43,,0.49%
2024-11-29,973.15,978.63,980.35,971.68,,-0.55%
2024-11-28,978.58,977.45,980.36,973.55,,0.15%
2024-11-27,977.10,978.01,978.50,972.78,,0.04%
2024-11-26,976.70,975.65,978.82,970.80,,0.12%
2024-11-25,975.50,986.96,986.96,973.38,,-1.13%
2024-11-22,986.67,974.00,987.59,973.75,,1.34%
2024-11-21,973.64,973.09,974.71,967.53,,0.09%
2024-11-20,972.79,971.85,974.78,969.88,,0.13%
2024-11-19,971.55,972.85,978.06,969.85,,-0.10%
2024-11-18,972.50,979.71,981.23,972.31,,-0.71%
2024-11-15,979.41,975.86,981.44,969.37,,0.37%
2024-11-14,975.81,979.07,982.75,972.65,,-0.30%
2024-11-13,978.77,985.60,985.60,976.62,,-0.66%
2024-11-12,985.30,980.05,987.25,979.35,,0.63%
2024-11-11,979.10,970.46,984.19,970.46,,0.92%
2024-11-08,970.17,949.10,973.81,948.55,,2.25%
2024-11-07,948.80,960.63,960.63,944.63,,-1.20%
2024-11-06,960.33,955.90,976.71,955.90,,0.57%
2024-11-05,954.90,954.47,958.00,948.90,,0.08%
2024-11-04,954.17,961.14,961.33,951.20,,-0.69%
2024-11-01,960.80,961.42,961.47,960.36,,-0.03%
2024-10-31,961.12,962.04,962.04,960.50,,-0.06%
2024-10-30,961.73,954.25,964.92,951.50,,0.80%
2024-10-29,954.10,947.13,959.46,943.51,,0.77%
2024-10-28,946.84,948.95,949.60,943.74,,-0.19%
2024-10-25,948.61,946.78,951.21,946.24,,0.19%
2024-10-24,946.79,945.60,948.95,940.15,,0.17%
2024-10-23,945.20,947.90,954.25,943.60,,-0.16%
2024-10-22,946.70,953.45,954.50,945.43,,-0.65%
2024-10-21,952.90,953.77,957.23,950.23,,-0.06%
2024-10-18,953.47,946.41,953.79,941.65,,0.78%
2024-10-17,946.12,934.30,951.00,933.70,,1.41%
2024-10-16,933.00,943.18,943.83,933.55,,-1.00%
2024-10-15,942.40,928.41,944.05,928.00,,1.62%
2024-10-14,927.40,926.65,930.42,925.25,,0.11%
2024-10-11,926.40,931.42,931.80,923.23,,-0.27%
2024-10-10,928.90,933.65,934.85,928.70,,-0.39%
2024-10-09,932.50,932.83,937.22,931.87,,0.09%
2024-10-08,931.70,924.98,936.74,924.98,,0.66%
2024-10-07,925.63,924.35,929.12,921.53,,0.17%
2024-10-04,924.03,921.00,926.12,917.89,,0.44%
2024-10-03,920.00,912.08,922.75,911.26,,0.99%
2024-10-02,911.00,906.00,913.41,901.00,,0.80%
2024-10-01,903.77,897.70,908.75,895.99,,0.58%
2024-09-30,898.60,900.25,901.95,894.07,,-0.12%
2024-09-27,899.65,901.45,901.48,890.88,,-0.13%
2024-09-26,900.85,913.38,913.96,894.55,,-1.24%
2024-09-25,912.20,910.71,914.75,908.85,,0.20%
2024-09-24,910.41,922.63,923.08,908.46,,-1.19%
2024-09-23,921.40,930.62,931.21,921.40,,-0.96%
2024-09-20,930.33,931.05,931.63,929.75,,0.00%
2024-09-19,930.35,931.43,931.90,929.75,,-0.13%
2024-09-18,931.55,930.87,932.25,929.81,,0.22%
2024-09-17,929.51,923.08,933.45,921.34,,0.88%
2024-09-16,921.40,926.71,927.02,919.95,,-0.50%
2024-09-13,926.03,930.66,931.95,921.11,,-0.59%
2024-09-12,931.50,941.25,941.25,929.93,,-0.84%
2024-09-11,939.40,949.36,950.55,939.50,,-0.99%
2024-09-10,948.84,945.01,951.94,941.64,,0.48%
2024-09-09,944.33,944.01,950.74,939.57,,0.08%
2024-09-06,943.60,942.32,948.55,934.21,,0.14%
2024-09-05,942.30,943.41,944.17,938.95,,-0.05%
2024-09-04,942.73,928.48,944.96,928.48,,1.51%
2024-09-03,928.67,917.97,929.43,917.58,,1.26%
2024-09-02,917.07,913.16,918.71,910.76,,0.47%
2024-08-30,912.77,912.65,917.42,907.62,,0.05%
2024-08-29,912.29,911.76,920.48,911.69,,-0.03%
2024-08-28,912.55,908.48,915.58,907.52,,0.68%
2024-08-27,906.37,905.97,909.45,903.75,,0.11%
2024-08-26,905.36,908.90,911.58,904.87,,-0.29%
2024-08-23,908.00,919.51,920.01,906.82,,-1.18%
2024-08-22,918.83,916.08,923.35,915.45,,0.32%
2024-08-21,915.86,923.88,925.32,913.90,,-0.82%
2024-08-20,923.43,923.41,926.05,918.50,,0.02%
2024-08-19,923.23,938.31,940.17,922.52,,-1.56%
2024-08-16,937.90,932.70,940.72,927.63,,0.59%
2024-08-15,932.40,934.65,935.13,931.44,,-0.12%
2024-08-14,933.54,930.78,934.82,926.43,,0.33%
2024-08-13,930.50,934.02,936.75,929.14,,-0.41%
2024-08-12,934.30,932.33,936.59,926.70,,0.24%
2024-08-09,932.03,935.50,936.28,929.46,,-0.34%
2024-08-08,935.20,944.53,944.53,933.52,,-0.81%
2024-08-07,942.81,945.50,946.25,937.50,,-0.12%
2024-08-06,943.90,953.57,954.65,941.75,,-1.07%
