Date,Close,Open,High,Low,Volume,Change%
2024-12-20,7.2941,7.3113,7.3142,7.2926,,-0.03%
2024-12-19,7.2965,7.2964,7.2994,7.2958,,0.14%
2024-12-18,7.2864,7.2835,7.2869,7.2811,,0.02%
2024-12-17,7.2846,7.2856,7.287,7.2791,,0.01%
2024-12-16,7.2836,7.2744,7.2845,7.2728,,0.11%
2024-12-13,7.2756,7.2734,7.2823,7.2733,,0.10%
2024-12-12,7.2685,7.2588,7.2706,7.2574,,0.11%
2024-12-11,7.2605,7.2482,7.273,7.2415,,0.14%
2024-12-10,7.25,7.2599,7.2639,7.2387,,-0.14%
2024-12-09,7.2604,7.2735,7.2805,7.2607,,-0.13%
2024-12-06,7.27,7.2624,7.2714,7.2528,,0.15%
2024-12-05,7.2592,7.2677,7.2754,7.26,,-0.06%
2024-12-04,7.2632,7.2804,7.2829,7.2625,,-0.31%
2024-12-03,7.2858,7.2856,7.2973,7.2782,,0.20%
2024-12-02,7.2714,7.2528,7.2743,7.2528,,0.40%
2024-11-29,7.2423,7.2346,7.2439,7.2268,,-0.02%
2024-11-28,7.244,7.2404,7.2532,7.2389,,-0.02%
2024-11-27,7.2458,7.2483,7.2584,7.2449,,-0.09%
2024-11-26,7.252,7.2514,7.2593,7.2481,,0.17%
2024-11-25,7.2395,7.2389,7.247,7.2381,,-0.08%
2024-11-22,7.2455,7.2459,7.2499,7.2443,,0.12%
2024-11-21,7.2368,7.243,7.2434,7.2363,,-0.13%
2024-11-20,7.2459,7.2382,7.2469,7.238,,0.10%
2024-11-19,7.2385,7.2317,7.2443,7.2301,,0.03%
2024-11-18,7.2364,7.2334,7.2456,7.2305,,0.08%
2024-11-15,7.2309,7.235,7.2418,7.226,,0.05%
2024-11-14,7.2272,7.2358,7.2468,7.2285,,0.04%
2024-11-13,7.2245,7.2227,7.2297,7.2061,,-0.10%
2024-11-12,7.232,7.2197,7.2419,7.218,,0.25%
2024-11-11,7.2139,7.1791,7.215,7.176,,0.49%
2024-11-08,7.1785,7.1526,7.1791,7.1403,,0.52%
2024-11-07,7.1412,7.1837,7.187,7.1412,,-0.52%
2024-11-06,7.1782,7.1294,7.1797,7.1223,,1.03%
2024-11-05,7.1047,7.1085,7.111,7.1015,,0.07%
2024-11-04,7.0995,7.1091,7.1153,7.0866,,-0.31%
2024-11-01,7.1214,7.1143,7.1274,7.111,,0.05%
2024-10-31,7.1178,7.1199,7.1256,7.1142,,0.04%
2024-10-30,7.115,7.1257,7.1367,7.1155,,-0.21%
2024-10-29,7.1301,7.1315,7.1431,7.1286,,0.07%
2024-10-28,7.1254,7.1332,7.1353,7.1256,,0.08%
2024-10-25,7.1199,7.1171,7.1275,7.1161,,0.01%
2024-10-24,7.1194,7.1221,7.123,7.1107,,-0.08%
2024-10-23,7.1252,7.1309,7.1338,7.1248,,0.03%
2024-10-22,7.123,7.1224,7.1256,7.1197,,0.06%
2024-10-21,7.1189,7.1041,7.1202,7.0986,,0.25%
2024-10-18,7.1015,7.1193,7.1256,7.1008,,-0.31%
2024-10-17,7.1236,7.1215,7.1277,7.116,,0.06%
2024-10-16,7.1192,7.1224,7.1245,7.1119,,0.00%
2024-10-15,7.1194,7.0879,7.1215,7.0876,,0.46%
2024-10-14,7.087,7.0795,7.0895,7.0737,,0.29%
2024-10-11,7.0666,7.0746,7.0786,7.0634,,-0.18%
2024-10-10,7.079,7.0745,7.0818,7.0623,,-0.01%
2024-10-09,7.08,7.0675,7.0821,7.0548,,0.29%
2024-10-08,7.0595,7.0508,7.0812,7.0484,,0.60%
2024-10-07,7.0176,7.0176,7.0176,7.0176,,0.00%
2024-10-04,7.0176,7.0176,7.0176,7.0176,,0.00%
2024-10-03,7.0176,7.0176,7.0176,7.0176,,0.00%
2024-10-02,7.0176,7.0176,7.0176,7.0176,,0.00%
2024-10-01,7.0176,7.0176,7.0176,7.0176,,0.00%
2024-09-30,7.0176,7.0157,7.0193,7.0115,,0.09%
2024-09-27,7.011,7.0162,7.0193,7.0111,,0.01%
2024-09-26,7.0106,7.0313,7.0313,7.0109,,-0.30%
2024-09-25,7.0315,7.0211,7.0323,7.0161,,0.00%
2024-09-24,7.0318,7.0558,7.0634,7.0319,,-0.27%
2024-09-23,7.0508,7.0462,7.0608,7.0446,,0.00%
2024-09-20,7.0505,7.0589,7.0628,7.0428,,-0.24%
2024-09-19,7.0675,7.1034,7.109,7.0604,,-0.19%
2024-09-18,7.0812,7.0956,7.1,7.0791,,-0.17%
2024-09-17,7.093,7.093,7.093,7.093,,0.00%
2024-09-16,7.093,7.093,7.093,7.093,,0.00%
2024-09-13,7.093,7.1074,7.1114,7.0905,,-0.34%
2024-09-12,7.1172,7.123,7.1245,7.1159,,-0.03%
2024-09-11,7.1192,7.1224,7.1224,7.1077,,-0.02%
2024-09-10,7.1205,7.1187,7.1254,7.1173,,0.10%
2024-09-09,7.1133,7.1075,7.1172,7.1061,,0.36%
2024-09-06,7.0876,7.0874,7.0965,7.0817,,-0.06%
2024-09-05,7.0921,7.1013,7.1036,7.0881,,-0.28%
2024-09-04,7.1119,7.1132,7.1177,7.1073,,-0.13%
2024-09-03,7.1209,7.1197,7.1252,7.1142,,0.05%
2024-09-02,7.117,7.0971,7.1193,7.0958,,0.38%
2024-08-30,7.09,7.0915,7.1014,7.0849,,-0.10%
2024-08-29,7.0972,7.1289,7.1315,7.0916,,-0.38%
2024-08-28,7.1245,7.124,7.1353,7.1222,,0.00%
2024-08-27,7.1244,7.1253,7.1318,7.1211,,0.04%
2024-08-26,7.1212,7.1146,7.1243,7.1139,,-0.04%
2024-08-23,7.1244,7.1442,7.1471,7.1206,,-0.27%
2024-08-22,7.144,7.1327,7.1457,7.1308,,0.13%
2024-08-21,7.1344,7.1325,7.1388,7.1262,,0.03%
2024-08-20,7.132,7.1337,7.1503,7.1317,,-0.10%
2024-08-19,7.1393,7.1493,7.1561,7.1319,,-0.35%
2024-08-16,7.1644,7.1781,7.179,7.1617,,-0.13%
2024-08-15,7.1734,7.1609,7.177,7.1536,,0.49%
2024-08-14,7.1382,7.1473,7.1541,7.1354,,-0.24%
2024-08-13,7.1551,7.1797,7.1827,7.1531,,-0.27%
2024-08-12,7.1744,7.1733,7.1826,7.1714,,0.12%
2024-08-09,7.166,7.1778,7.1794,7.1643,,-0.12%
2024-08-08,7.1747,7.1777,7.1798,7.1559,,-0.02%
2024-08-07,7.176,7.1714,7.1867,7.1714,,0.28%
2024-08-06,7.1563,7.1616,7.1616,7.1421,,0.37%
