Date,Close,Open,High,Low,Volume,Change%
2024-12-19,"4,401.75","4,373.09","4,408.13","4,373.09",,0.74%
2024-12-18,"4,369.54","4,347.06","4,397.60","4,341.50",,0.61%
2024-12-17,"4,343.03","4,322.76","4,359.89","4,320.21",,0.51%
2024-12-16,"4,321.12","4,317.28","4,334.09","4,308.12",,0.15%
2024-12-13,"4,314.74","4,346.97","4,366.46","4,316.33",,-0.64%
2024-12-12,"4,342.51","4,345.09","4,352.38","4,323.60",,0.16%
2024-12-11,"4,335.50","4,375.01","4,380.00","4,338.00",,-0.73%
2024-12-10,"4,367.50","4,371.98","4,391.25","4,362.65",,-0.04%
2024-12-09,"4,369.05","4,419.30","4,419.52","4,369.92",,-0.81%
2024-12-06,"4,404.80","4,419.34","4,419.34","4,382.17",,-0.10%
2024-12-05,"4,409.07","4,429.25","4,431.00","4,398.77",,-0.64%
2024-12-04,"4,437.50","4,440.37","4,445.94","4,411.55",,-0.05%
2024-12-03,"4,439.62","4,465.01","4,465.94","4,430.57",,-0.39%
2024-12-02,"4,457.00","4,432.98","4,482.29","4,432.98",,0.55%
2024-11-29,"4,432.50","4,418.20","4,443.06","4,401.11",,0.37%
2024-11-28,"4,416.05","4,387.55","4,427.70","4,371.56",,0.74%
2024-11-27,"4,383.50","4,402.60","4,421.20","4,381.57",,-0.34%
2024-11-26,"4,398.50","4,390.57","4,418.50","4,378.01",,0.48%
2024-11-25,"4,377.50","4,416.49","4,416.49","4,363.26",,-0.91%
2024-11-22,"4,417.50","4,392.21","4,431.15","4,387.35",,0.68%
2024-11-21,"4,387.55","4,402.00","4,409.51","4,375.26",,0.00%
2024-11-20,"4,387.49","4,391.77","4,426.16","4,381.00",,-0.19%
2024-11-19,"4,395.69","4,402.44","4,441.31","4,383.34",,0.06%
2024-11-18,"4,393.24","4,430.39","4,430.39","4,386.10",,-0.64%
2024-11-15,"4,421.51","4,484.42","4,491.25","4,423.76",,-1.25%
2024-11-14,"4,477.50","4,478.57","4,503.58","4,436.38",,0.00%
2024-11-13,"4,477.50","4,451.14","4,543.59","4,413.88",,0.74%
2024-11-12,"4,444.50","4,361.83","4,457.50","4,358.76",,1.97%
2024-11-11,"4,358.49","4,358.49","4,358.49","4,358.49",,0.04%
2024-11-08,"4,356.88","4,308.26","4,372.88","4,307.04",,1.31%
2024-11-07,"4,300.75","4,394.51","4,394.51","4,294.00",,-2.52%
2024-11-06,"4,412.00","4,464.12","4,477.51","4,403.80",,0.19%
2024-11-05,"4,403.50","4,426.34","4,441.40","4,404.19",,-0.24%
2024-11-04,"4,414.00","4,435.80","4,435.80","4,413.75",,-0.48%
2024-11-01,"4,435.22","4,427.80","4,442.13","4,392.10",,0.23%
2024-10-31,"4,425.07","4,413.45","4,435.50","4,390.38",,0.33%
2024-10-30,"4,410.50","4,393.60","4,426.75","4,392.02",,0.42%
2024-10-29,"4,391.87","4,362.95","4,397.82","4,339.56",,0.72%
2024-10-28,"4,360.45","4,331.26","4,365.00","4,320.63",,0.79%
2024-10-25,"4,326.25","4,298.00","4,341.29","4,285.50",,0.74%
2024-10-24,"4,294.32","4,324.52","4,335.90","4,287.50",,-0.64%
2024-10-23,"4,322.00","4,265.07","4,330.38","4,264.77",,1.39%
2024-10-22,"4,262.80","4,271.50","4,283.31","4,251.42",,-0.17%
2024-10-21,"4,269.89","4,276.54","4,298.56","4,264.00",,0.11%
2024-10-18,"4,265.25","4,247.25","4,280.35","4,224.97",,0.50%
2024-10-17,"4,244.02","4,258.00","4,279.40","4,244.56",,-0.28%
2024-10-16,"4,255.90","4,247.38","4,276.73","4,245.50",,0.23%
