Date,Close,Open,High,Low,Volume,Change%
2024-12-20,0.959,0.9646,0.9668,0.9571,,-0.61%
2024-12-19,0.9649,0.9659,0.9665,0.9594,,-0.10%
2024-12-18,0.9659,0.9531,0.9668,0.9512,,1.35%
2024-12-17,0.953,0.9514,0.9544,0.9492,,0.20%
2024-12-16,0.9511,0.9527,0.9548,0.9501,,-0.11%
2024-12-13,0.9521,0.9553,0.9567,0.9501,,-0.33%
2024-12-12,0.9553,0.9528,0.9557,0.9496,,0.27%
2024-12-11,0.9527,0.9499,0.9543,0.9488,,0.31%
2024-12-10,0.9498,0.9475,0.9526,0.9462,,0.25%
2024-12-09,0.9474,0.9467,0.9495,0.9439,,0.15%
2024-12-06,0.946,0.9446,0.9486,0.9407,,0.16%
2024-12-05,0.9445,0.9514,0.9517,0.9443,,-0.71%
2024-12-04,0.9513,0.9515,0.9549,0.9483,,-0.02%
2024-12-03,0.9515,0.9526,0.9542,0.9492,,-0.12%
2024-12-02,0.9526,0.9455,0.956,0.9444,,0.76%
2024-11-29,0.9454,0.9474,0.9487,0.9436,,-0.19%
2024-11-28,0.9472,0.9464,0.9499,0.9461,,0.10%
2024-11-27,0.9463,0.9535,0.9548,0.9445,,-0.73%
2024-11-26,0.9533,0.9529,0.9592,0.9483,,0.05%
2024-11-25,0.9528,0.9551,0.957,0.9497,,-0.70%
2024-11-22,0.9595,0.9547,0.9677,0.9526,,0.51%
2024-11-21,0.9546,0.9487,0.9558,0.9474,,0.66%
2024-11-20,0.9483,0.9439,0.9517,0.9425,,0.49%
2024-11-19,0.9437,0.9435,0.9502,0.9433,,0.04%
2024-11-18,0.9433,0.9492,0.9497,0.9428,,-0.56%
2024-11-15,0.9486,0.9495,0.9509,0.944,,-0.11%
2024-11-14,0.9496,0.9466,0.9527,0.945,,0.33%
2024-11-13,0.9465,0.9414,0.9473,0.9386,,0.55%
2024-11-12,0.9413,0.9387,0.9439,0.9377,,0.32%
2024-11-11,0.9383,0.9334,0.9409,0.9321,,0.58%
2024-11-08,0.9329,0.9255,0.9357,0.9254,,0.81%
2024-11-07,0.9254,0.9321,0.9335,0.9238,,-0.71%
2024-11-06,0.932,0.9148,0.9362,0.9143,,1.89%
2024-11-05,0.9147,0.919,0.9198,0.9144,,-0.50%
2024-11-04,0.9193,0.9197,0.92,0.9163,,-0.40%
2024-11-01,0.923,0.9189,0.9232,0.917,,0.46%
2024-10-31,0.9188,0.9212,0.9222,0.9185,,-0.25%
2024-10-30,0.9211,0.9244,0.9253,0.9199,,-0.35%
2024-10-29,0.9243,0.9249,0.9286,0.9237,,-0.05%
2024-10-28,0.9248,0.9262,0.9275,0.9235,,-0.15%
2024-10-25,0.9262,0.9236,0.9265,0.9225,,0.29%
2024-10-24,0.9235,0.9274,0.9286,0.9234,,-0.41%
2024-10-23,0.9273,0.926,0.9293,0.9253,,0.16%
2024-10-22,0.9258,0.9246,0.9265,0.9226,,0.13%
2024-10-21,0.9246,0.9207,0.925,0.9197,,0.48%
2024-10-18,0.9202,0.9233,0.9238,0.92,,-0.32%
