Date,Close,Open,High,Low,Volume,Change%
2024-12-19,85.088,85.035,85.149,84.992,,0.26%
2024-12-18,84.867,84.907,84.975,84.84,,-0.04%
2024-12-17,84.902,84.882,84.955,84.877,,0.01%
2024-12-16,84.89,84.846,84.931,84.794,,0.13%
2024-12-13,84.782,84.828,84.897,84.766,,-0.05%
2024-12-12,84.825,84.847,84.903,84.823,,0.04%
2024-12-11,84.795,84.891,84.919,84.8,,-0.10%
2024-12-10,84.88,84.848,84.915,84.775,,0.06%
2024-12-09,84.829,84.704,84.915,84.675,,0.19%
2024-12-06,84.668,84.685,84.718,84.529,,-0.02%
2024-12-05,84.684,84.713,84.758,84.673,,-0.01%
2024-12-04,84.693,84.69,84.777,84.644,,0.02%
2024-12-03,84.676,84.726,84.801,84.63,,-0.08%
2024-12-02,84.74,84.572,84.761,84.56,,0.21%
2024-11-29,84.559,84.476,84.64,84.459,,0.13%
2024-11-28,84.445,84.436,84.505,84.427,,0.04%
2024-11-27,84.41,84.313,84.475,84.307,,0.11%
2024-11-26,84.319,84.266,84.35,84.22,,0.07%
2024-11-25,84.26,84.378,84.422,84.221,,-0.20%
2024-11-22,84.426,84.495,84.511,84.374,,-0.08%
2024-11-21,84.495,84.362,84.495,84.347,,0.16%
2024-11-20,84.36,84.389,84.404,84.321,,-0.04%
2024-11-19,84.39,84.396,84.42,84.353,,-0.01%
2024-11-18,84.398,84.415,84.447,84.362,,-0.03%
2024-11-15,84.424,84.468,84.478,84.389,,-0.04%
2024-11-14,84.461,84.417,84.467,84.368,,0.05%
2024-11-13,84.416,84.364,84.416,84.343,,0.04%
2024-11-12,84.38,84.351,84.413,84.337,,0.00%
2024-11-11,84.379,84.37,84.42,84.345,,-0.02%
2024-11-08,84.395,84.307,84.395,84.297,,0.12%
2024-11-07,84.293,84.306,84.378,84.255,,-0.02%
2024-11-06,84.31,84.11,84.33,84.11,,0.24%
2024-11-05,84.109,84.146,84.165,84.064,,-0.02%
2024-11-04,84.13,84.052,84.13,84.046,,0.06%
2024-11-01,84.08,84.073,84.103,84.011,,0.02%
2024-10-31,84.061,84.089,84.114,84.043,,-0.02%
2024-10-30,84.08,84.058,84.09,84.045,,0.04%
2024-10-29,84.05,84.065,84.085,84.016,,-0.01%
2024-10-28,84.06,84.082,84.092,84.036,,-0.04%
2024-10-25,84.095,84.084,84.096,84.041,,0.05%
2024-10-24,84.05,84.065,84.079,84.037,,-0.01%
2024-10-23,84.056,84.103,84.11,84.044,,-0.02%
2024-10-22,84.07,84.06,84.085,84.043,,0.00%
2024-10-21,84.07,84.075,84.08,84.032,,0.01%
2024-10-18,84.065,84.015,84.077,84.015,,0.04%
2024-10-17,84.035,84.038,84.067,83.99,,0.01%
2024-10-16,84.03,84.047,84.074,83.958,,-0.01%
2024-10-15,84.04,84.048,84.075,83.995,,-0.01%
2024-10-14,84.045,84.065,84.099,84.004,,-0.07%
2024-10-11,84.101,83.945,84.101,83.937,,0.19%
2024-10-10,83.94,83.922,83.975,83.917,,-0.01%
2024-10-09,83.95,83.917,83.965,83.888,,0.01%
2024-10-08,83.945,83.942,83.988,83.905,,-0.04%
2024-10-07,83.98,83.978,83.997,83.934,,-0.05%
2024-10-04,84.023,83.972,84.023,83.924,,0.04%
2024-10-03,83.99,83.922,84.009,83.89,,0.08%
2024-10-02,83.92,83.903,83.992,83.832,,0.02%
2024-10-01,83.9,83.823,83.924,83.772,,0.17%
2024-09-30,83.755,83.667,83.81,83.664,,0.05%
2024-09-27,83.71,83.617,83.713,83.579,,0.13%
2024-09-26,83.601,83.615,83.715,83.584,,0.00%
2024-09-25,83.6,83.6,83.64,83.496,,0.00%
2024-09-24,83.6,83.543,83.67,83.513,,0.08%
2024-09-23,83.53,83.476,83.552,83.435,,0.05%
2024-09-20,83.485,83.615,83.632,83.453,,-0.16%
2024-09-19,83.62,83.684,83.744,83.545,,-0.04%
2024-09-18,83.65,83.759,83.801,83.633,,-0.12%
2024-09-17,83.747,83.902,83.909,83.679,,-0.11%
2024-09-16,83.84,83.871,83.914,83.817,,-0.05%
2024-09-13,83.88,83.922,83.949,83.827,,-0.05%
2024-09-12,83.92,83.99,83.991,83.898,,-0.05%
2024-09-11,83.96,83.975,83.983,83.912,,0.01%
2024-09-10,83.949,83.977,83.986,83.94,,0.03%
2024-09-09,83.928,83.94,83.98,83.907,,-0.07%
2024-09-06,83.985,83.983,83.985,83.891,,0.03%
2024-09-05,83.961,83.974,83.985,83.944,,0.00%
2024-09-04,83.96,83.982,83.992,83.926,,0.01%
2024-09-03,83.95,83.914,83.967,83.875,,0.08%
2024-09-02,83.88,83.87,83.933,83.845,,0.02%
2024-08-30,83.867,83.864,83.9,83.79,,-0.02%
2024-08-29,83.88,83.939,83.942,83.827,,-0.02%
2024-08-28,83.9,83.955,83.967,83.899,,-0.01%
2024-08-27,83.91,83.865,83.95,83.865,,0.08%
2024-08-26,83.84,83.801,83.91,83.776,,0.04%
2024-08-23,83.809,83.913,83.933,83.778,,-0.14%
2024-08-22,83.93,83.895,83.965,83.876,,0.07%
2024-08-21,83.87,83.791,83.935,83.726,,0.14%
2024-08-20,83.75,83.8,83.875,83.711,,-0.12%
2024-08-19,83.85,83.86,83.935,83.814,,-0.04%
2024-08-16,83.88,83.94,83.965,83.875,,-0.07%
2024-08-15,83.94,83.958,83.989,83.912,,-0.02%
2024-08-14,83.96,83.891,83.967,83.891,,0.06%
2024-08-13,83.91,83.931,83.97,83.893,,-0.02%
2024-08-12,83.93,83.894,83.973,83.894,,-0.02%
2024-08-09,83.945,83.987,83.989,83.863,,-0.05%
2024-08-08,83.99,83.922,83.99,83.915,,0.13%
2024-08-07,83.885,83.95,83.986,83.872,,-0.05%
2024-08-06,83.93,83.991,83.991,83.828,,-0.10%
2024-08-05,84.018,83.788,84.165,83.753,,0.27%
2024-08-02,83.794,83.748,83.795,83.703,,0.10%
2024-08-01,83.71,83.7,83.745,83.645,,0.01%
2024-07-31,83.699,83.734,83.751,83.629,,-0.02%
2024-07-30,83.72,83.741,83.759,83.683,,-0.03%
2024-07-29,83.748,83.697,83.759,83.695,,0.05%
2024-07-26,83.703,83.755,83.755,83.683,,-0.02%
2024-07-25,83.72,83.74,83.784,83.634,,0.01%
2024-07-24,83.71,83.68,83.72,83.663,,0.04%
2024-07-23,83.676,83.654,83.715,83.597,,0.03%
2024-07-22,83.651,83.711,83.712,83.625,,-0.09%
2024-07-19,83.724,83.638,83.725,83.58,,0.17%
2024-07-18,83.58,83.571,83.662,83.55,,0.00%
2024-07-17,83.58,83.523,83.58,83.474,,0.07%
2024-07-16,83.524,83.57,83.603,83.521,,-0.03%
2024-07-15,83.551,83.502,83.61,83.481,,0.05%
2024-07-12,83.513,83.493,83.552,83.457,,0.01%
2024-07-11,83.507,83.49,83.592,83.46,,0.00%
2024-07-10,83.51,83.487,83.525,83.449,,0.05%
2024-07-09,83.465,83.453,83.51,83.447,,-0.04%
2024-07-08,83.5,83.49,83.502,83.428,,0.00%
2024-07-05,83.5,83.475,83.52,83.449,,0.03%
2024-07-04,83.475,83.49,83.558,83.451,,-0.05%
2024-07-03,83.52,83.47,83.555,83.414,,0.02%
2024-07-02,83.5,83.435,83.565,83.404,,0.07%
