Date,Close,Open,High,Low,Volume,Change%
2024-12-20,20.075,20.3496,20.375,20.0217,,-1.06%
2024-12-19,20.29,20.37,20.5125,20.291,,-0.29%
2024-12-18,20.35,20.178,20.4315,20.0705,,0.91%
2024-12-17,20.167,20.1415,20.2935,20.0985,,0.22%
2024-12-16,20.123,20.138,20.2115,20.098,,0.01%
2024-12-13,20.1216,20.23,20.27,20.1015,,-0.42%
2024-12-12,20.206,20.1445,20.246,20.1012,,0.48%
2024-12-11,20.11,20.1785,20.2625,20.096,,-0.18%
2024-12-10,20.147,20.2365,20.334,20.1416,,-0.38%
2024-12-09,20.224,20.185,20.2722,20.1103,,0.18%
2024-12-06,20.187,20.1995,20.29,20.1019,,0.03%
2024-12-05,20.18,20.2945,20.3243,20.1605,,-0.48%
2024-12-04,20.277,20.315,20.3895,20.2538,,-0.11%
2024-12-03,20.3,20.3995,20.439,20.2862,,-0.38%
2024-12-02,20.377,20.375,20.608,20.3605,,0.08%
2024-11-29,20.361,20.429,20.4775,20.2467,,-0.24%
2024-11-28,20.41,20.6,20.6194,20.2032,,-0.83%
2024-11-27,20.58,20.657,20.7875,20.5266,,-0.22%
2024-11-26,20.626,20.315,20.8365,20.2937,,1.71%
2024-11-25,20.28,20.43,20.4505,20.2273,,-0.59%
2024-11-22,20.401,20.4265,20.5585,20.3748,,-0.01%
2024-11-21,20.403,20.2835,20.472,20.2545,,0.73%
2024-11-20,20.255,20.1145,20.336,20.09,,0.80%
2024-11-19,20.095,20.211,20.3475,20.0635,,-0.53%
2024-11-18,20.202,20.368,20.4481,20.2024,,-0.49%
2024-11-15,20.301,20.3975,20.5106,20.3136,,-0.50%
2024-11-14,20.402,20.5145,20.6795,20.3811,,-0.44%
2024-11-13,20.492,20.596,20.663,20.4296,,-0.43%
2024-11-12,20.581,20.348,20.7025,20.338,,1.21%
2024-11-11,20.334,20.177,20.585,20.124,,0.81%
2024-11-08,20.1711,19.8105,20.2805,19.7724,,1.90%
2024-11-07,19.795,20.0925,20.213,19.76,,-1.42%
2024-11-06,20.08,20.107,20.8091,20.0045,,-0.08%
2024-11-05,20.097,20.109,20.3585,20.0355,,0.03%
2024-11-04,20.091,20.13,20.1724,19.9543,,-0.87%
2024-11-01,20.267,20.0325,20.31,19.9194,,1.27%
2024-10-31,20.012,20.1555,20.1945,19.9854,,-0.65%
2024-10-30,20.143,20.0675,20.2345,20.0043,,0.47%
2024-10-29,20.048,20.035,20.099,19.9609,,0.12%
2024-10-28,20.023,20.0015,20.0995,19.9371,,0.37%
2024-10-25,19.95,19.8055,20.022,19.7712,,0.80%
2024-10-24,19.792,19.8445,19.9015,19.7546,,-0.17%
2024-10-23,19.826,19.9325,20.0995,19.8138,,-0.61%
2024-10-22,19.948,19.984,19.9925,19.7683,,-0.10%
2024-10-21,19.967,19.87,20.0795,19.8424,,0.59%
2024-10-18,19.849,19.8455,19.916,19.65,,0.08%
2024-10-17,19.833,19.8845,20.0325,19.834,,-0.09%
2024-10-16,19.85,19.722,19.9615,19.6754,,0.84%
2024-10-15,19.684,19.372,19.7625,19.3592,,1.66%
2024-10-14,19.362,19.291,19.4025,19.2418,,0.55%
2024-10-11,19.256,19.46,19.5055,19.2579,,-1.00%
2024-10-10,19.45,19.4985,19.622,19.4186,,-0.21%
2024-10-09,19.49,19.356,19.508,19.3178,,0.82%
2024-10-08,19.331,19.292,19.4555,19.2245,,0.32%
2024-10-07,19.27,19.285,19.435,19.1932,,0.07%
2024-10-04,19.257,19.37,19.4,19.1112,,-0.43%
2024-10-03,19.34,19.4155,19.5775,19.291,,-0.31%
2024-10-02,19.4,19.6161,19.668,19.337,,-1.05%
2024-10-01,19.605,19.7105,19.835,19.5881,,-0.37%
2024-09-30,19.678,19.725,19.7495,19.5512,,-0.12%
2024-09-27,19.702,19.63,19.7625,19.5296,,0.46%
2024-09-26,19.611,19.641,19.757,19.4653,,-0.07%
2024-09-25,19.624,19.321,19.6895,19.3068,,1.65%
2024-09-24,19.306,19.4275,19.457,19.233,,-0.56%
2024-09-23,19.415,19.415,19.5037,19.3,,0.06%
2024-09-20,19.404,19.32,19.494,19.258,,0.54%
2024-09-19,19.3,19.295,19.409,19.1421,,0.09%
2024-09-18,19.283,19.1075,19.389,19.0654,,1.00%
2024-09-17,19.092,19.22,19.41,19.0874,,-0.60%
2024-09-16,19.207,19.212,19.3876,19.1508,,0.10%
2024-09-13,19.187,19.5345,19.572,19.1927,,-1.66%
2024-09-12,19.51,19.808,19.8605,19.4605,,-1.39%
2024-09-11,19.786,20.1077,20.153,19.7435,,-1.54%
2024-09-10,20.0945,19.8855,20.1405,19.8716,,1.07%
2024-09-09,19.881,19.962,20.0144,19.805,,-0.44%
2024-09-06,19.969,19.885,20.1025,19.7585,,0.54%
2024-09-05,19.861,19.9375,20.1535,19.8611,,-0.32%
2024-09-04,19.925,19.7946,19.963,19.6746,,0.71%
2024-09-03,19.7836,19.825,19.99,19.7255,,-0.14%
2024-09-02,19.812,19.7255,19.833,19.6224,,0.52%
2024-08-30,19.71,19.849,19.8805,19.6205,,-0.63%
2024-08-29,19.835,19.6457,19.962,19.5684,,0.99%
2024-08-28,19.6412,19.7675,19.799,19.4205,,-0.55%
2024-08-27,19.75,19.407,19.797,19.3517,,1.83%
2024-08-26,19.395,19.115,19.4525,19.115,,1.58%
2024-08-23,19.094,19.5325,19.547,19.0185,,-2.16%
2024-08-22,19.516,19.2805,19.545,19.2711,,1.28%
2024-08-21,19.27,18.996,19.4125,18.9295,,1.52%
2024-08-20,18.982,18.6745,19.036,18.6564,,1.75%
2024-08-19,18.656,18.627,18.8425,18.605,,0.13%
2024-08-16,18.632,18.6427,18.7505,18.5989,,-0.03%
2024-08-15,18.6372,18.7995,18.847,18.6321,,-0.76%
2024-08-14,18.78,19.0185,19.0445,18.776,,-1.14%
2024-08-13,18.997,19.079,19.103,18.9025,,-0.33%
2024-08-12,19.059,18.8395,19.1105,18.7889,,1.25%
2024-08-09,18.824,18.875,18.9245,18.7713,,-0.19%
2024-08-08,18.86,19.2835,19.381,18.8593,,-2.11%
2024-08-07,19.267,19.585,19.604,19.1135,,-1.52%
2024-08-06,19.564,19.3415,19.616,19.1416,,1.20%
2024-08-05,19.332,19.144,20.0565,19.135,,0.89%
2024-08-02,19.162,18.8595,19.215,18.8455,,1.68%
2024-08-01,18.845,18.6074,18.876,18.4222,,1.32%
2024-07-31,18.6,18.764,18.9493,18.5125,,-0.81%
2024-07-30,18.751,18.6321,18.823,18.5736,,0.67%
2024-07-29,18.6271,18.449,18.7335,18.4095,,0.96%
2024-07-26,18.45,18.46,18.5105,18.3028,,0.01%
2024-07-25,18.4475,18.374,18.593,18.317,,0.51%
2024-07-24,18.354,18.1462,18.4353,18.1355,,1.18%
2024-07-23,18.1397,17.9385,18.196,17.9189,,1.20%
2024-07-22,17.925,18.031,18.1135,17.8855,,-0.61%
2024-07-19,18.035,17.9615,18.1125,17.8223,,0.48%
2024-07-18,17.948,17.7195,18.0775,17.6886,,1.45%
2024-07-17,17.692,17.676,17.8158,17.6437,,0.17%
2024-07-16,17.662,17.741,17.813,17.6375,,-0.36%
2024-07-15,17.725,17.6975,17.861,17.66,,0.68%
2024-07-12,17.606,17.7815,17.81,17.6025,,-0.90%
2024-07-11,17.766,17.8363,17.892,17.7013,,-0.28%
2024-07-10,17.8156,17.9192,17.9352,17.7644,,-0.57%
2024-07-09,17.918,18.018,18.06,17.8983,,-0.43%
2024-07-08,17.996,18.095,18.1165,17.9605,,-0.53%
2024-07-05,18.0925,18.0932,18.199,18.0,,0.09%
2024-07-04,18.077,18.181,18.198,18.0563,,-0.45%
2024-07-03,18.1592,18.2605,18.3065,18.1075,,-0.49%
2024-07-02,18.248,18.359,18.4957,18.2103,,-0.49%
2024-07-01,18.337,18.3047,18.452,18.2618,,0.04%
2024-06-28,18.33,18.4385,18.602,18.2025,,-0.48%
2024-06-27,18.419,18.346,18.468,18.279,,0.51%
2024-06-26,18.325,18.0952,18.3975,18.0634,,1.28%
2024-06-25,18.0932,17.9715,18.204,17.8913,,0.87%
2024-06-24,17.938,18.1495,18.1655,17.8719,,-0.90%
2024-06-21,18.1,18.371,18.3951,18.0874,,-1.34%
2024-06-20,18.3454,18.4225,18.4655,18.2535,,-0.34%
2024-06-19,18.408,18.41,18.4787,18.3621,,0.07%
2024-06-18,18.395,18.5365,18.5677,18.2927,,-0.61%
2024-06-17,18.508,18.4765,18.6405,18.4316,,0.29%
2024-06-14,18.454,18.4045,18.6865,18.3631,,0.54%
2024-06-13,18.355,18.7495,18.8431,18.351,,-2.00%
2024-06-12,18.73,18.5857,18.9955,18.5118,,0.86%
2024-06-11,18.5706,18.2435,18.6075,18.21,,1.98%
2024-06-10,18.21,18.406,18.6755,18.2085,,-0.92%
2024-06-07,18.38,17.9925,18.47,17.8063,,2.28%
2024-06-06,17.97,17.518,18.019,17.446,,2.73%
2024-06-05,17.493,17.8584,17.8785,17.484,,-2.02%
2024-06-04,17.853,17.6975,18.2045,17.5451,,1.03%
2024-06-03,17.671,16.9825,17.757,16.917,,3.99%
2024-05-31,16.993,17.0165,17.082,16.9175,,-0.14%
2024-05-30,17.0168,16.974,17.141,16.906,,0.41%
2024-05-29,16.948,16.7975,17.0209,16.7416,,1.00%
2024-05-28,16.7799,16.6755,16.8335,16.6326,,0.81%
2024-05-27,16.645,16.687,16.7215,16.6369,,-0.22%
2024-05-24,16.682,16.7204,16.766,16.6716,,-0.20%
2024-05-23,16.7153,16.6595,16.768,16.6187,,0.33%
2024-05-22,16.66,16.6413,16.702,16.5919,,0.24%
2024-05-21,16.62,16.5591,16.677,16.5241,,0.40%
2024-05-20,16.5536,16.626,16.654,16.5418,,-0.22%
2024-05-17,16.59,16.681,16.727,16.5913,,-0.48%
2024-05-16,16.67,16.6853,16.7505,16.6585,,-0.06%
2024-05-15,16.6799,16.853,16.91,16.6485,,-0.91%
2024-05-14,16.833,16.8044,16.888,16.7703,,0.20%
2024-05-13,16.7991,16.794,16.8284,16.7317,,0.29%
2024-05-10,16.75,16.777,16.834,16.7195,,-0.01%
2024-05-09,16.751,16.909,16.974,16.7627,,-0.85%
2024-05-08,16.895,16.904,16.987,16.87,,0.11%
2024-05-07,16.876,16.8955,16.944,16.8324,,0.09%
2024-05-06,16.86,16.9655,17.0043,16.8509,,-0.59%
2024-05-03,16.96,16.998,17.045,16.826,,-0.03%
2024-05-02,16.9653,16.9936,17.031,16.9007,,-0.12%
2024-05-01,16.985,17.151,17.1743,16.9115,,-0.88%
2024-04-30,17.1355,17.0074,17.155,16.9592,,0.79%
