Date,Close,Open,High,Low,Volume,Change%
2024-12-19,35.1609,35.054,35.4154,34.9577,,0.37%
2024-12-18,35.032,34.9773,35.1246,34.8537,,0.16%
2024-12-17,34.9746,34.9531,35.095,34.8465,,0.07%
2024-12-16,34.9508,34.9428,35.0548,34.8237,,0.08%
2024-12-13,34.9238,34.8991,35.0434,34.7699,,0.15%
2024-12-12,34.8701,34.8812,34.999,34.7507,,0.05%
2024-12-11,34.854,34.8615,34.9773,34.7548,,0.07%
2024-12-10,34.8285,34.8286,34.9938,34.614,,0.06%
2024-12-09,34.8059,34.7402,34.9165,34.6657,,0.20%
2024-12-06,34.7376,34.7122,34.8896,34.6026,,0.17%
2024-12-05,34.6778,34.741,34.8714,34.5986,,0.17%
2024-12-04,34.62,34.7359,34.87,34.6106,,-0.25%
2024-12-03,34.7071,34.7201,34.8037,34.6375,,0.02%
2024-12-02,34.7014,34.6902,34.8341,34.5829,,0.03%
2024-11-29,34.6913,34.6245,34.8088,34.4812,,0.22%
2024-11-28,34.6145,34.6411,34.8093,34.4993,,-0.02%
2024-11-27,34.6206,34.6394,34.8313,34.5227,,0.03%
2024-11-26,34.6085,34.535,34.764,34.4696,,0.18%
2024-11-25,34.5452,34.5191,34.7757,34.2747,,0.01%
2024-11-22,34.5434,34.4891,34.7064,34.3408,,0.25%
2024-11-21,34.4565,34.4632,34.6381,34.3333,,0.04%
2024-11-20,34.4415,34.4768,34.6248,34.3434,,0.41%
2024-11-19,34.3,34.5272,34.8821,34.361,,-0.63%
2024-11-18,34.5181,34.4322,34.7109,34.2907,,0.29%
2024-11-15,34.4185,34.3375,34.8947,34.224,,0.29%
2024-11-14,34.3182,34.3552,34.4736,34.1695,,-0.09%
2024-11-13,34.3501,34.3467,34.4876,34.1638,,0.01%
2024-11-12,34.3465,34.3367,34.4976,34.1993,,0.09%
2024-11-11,34.3169,34.353,34.4873,34.2346,,0.82%
2024-11-08,34.0367,34.2345,34.5486,34.1365,,-0.53%
2024-11-07,34.2177,34.2074,34.3238,34.0854,,0.09%
2024-11-06,34.1862,34.3168,34.4754,34.0922,,-0.37%
2024-11-05,34.3118,34.346,34.4545,34.1647,,-0.06%
2024-11-04,34.3337,34.325,34.4682,34.2238,,0.09%
2024-11-01,34.302,34.2555,34.5047,34.1385,,0.14%
2024-10-31,34.254,34.2475,34.3947,34.1388,,0.15%
2024-10-30,34.2044,34.2711,34.349,34.049,,-0.15%
2024-10-29,34.2554,34.3018,34.363,34.1721,,-0.08%
2024-10-28,34.2822,34.2873,34.4433,34.138,,0.00%
2024-10-25,34.2827,34.252,34.4623,34.1135,,0.19%
2024-10-24,34.2181,34.2843,34.3841,34.1265,,-0.10%
2024-10-23,34.2527,34.2558,34.43,34.1087,,0.05%
2024-10-22,34.2357,34.2115,34.3267,34.1408,,0.42%
2024-10-21,34.092,34.2374,34.4857,34.0303,,0.31%
2024-10-18,33.985,34.1303,34.4889,34.0139,,-0.41%
2024-10-17,34.1245,34.1724,34.2895,34.0224,,-0.10%
2024-10-16,34.1594,34.2124,34.4188,33.923,,-0.03%
2024-10-15,34.1692,34.269,34.5386,34.0721,,-0.26%
2024-10-14,34.2569,34.2895,34.4191,34.1573,,0.04%
2024-10-11,34.2442,34.1856,34.4724,34.0838,,0.27%
2024-10-10,34.1519,34.2351,34.3665,34.0811,,-0.17%
2024-10-09,34.2087,34.2624,34.3422,34.1224,,-0.09%
2024-10-08,34.2407,34.263,34.3532,34.0505,,0.02%
2024-10-07,34.235,34.2529,34.3763,34.1376,,-0.04%
2024-10-04,34.25,34.1308,34.4154,34.0084,,0.42%
2024-10-03,34.1055,34.2168,34.3297,34.0048,,-0.22%
2024-10-02,34.1819,34.2126,34.2947,33.9937,,-0.07%
2024-10-01,34.2057,34.1863,34.3672,34.0627,,0.13%
2024-09-30,34.1605,34.17,34.3537,34.0014,,0.00%
2024-09-27,34.1615,34.1525,34.3205,34.0017,,0.06%
2024-09-26,34.1398,34.138,34.2795,33.97,,0.10%
2024-09-25,34.1064,34.1219,34.2245,34.0075,,-0.02%
2024-09-24,34.1137,34.1272,34.27,33.981,,-0.02%
2024-09-23,34.1189,34.103,34.3298,33.9398,,0.08%
2024-09-20,34.0926,34.03,34.1843,33.9458,,0.20%
2024-09-19,34.0253,34.0702,34.2141,33.8847,,-0.13%
2024-09-18,34.0687,34.0812,34.192,33.9461,,-0.03%
2024-09-17,34.0795,33.9977,34.1528,33.883,,0.30%
2024-09-16,33.9779,33.9234,34.2139,33.6661,,0.30%
2024-09-13,33.8762,33.9083,34.0762,33.7585,,-0.10%
2024-09-12,33.9086,33.9865,34.0668,33.8085,,-0.17%
2024-09-11,33.9678,34.037,34.1283,33.8703,,-0.13%
2024-09-10,34.0122,34.0627,34.1892,33.9322,,-0.07%
2024-09-09,34.0361,33.9945,34.2093,33.8147,,0.25%
2024-09-06,33.9505,33.9501,34.1477,33.8155,,0.09%
2024-09-05,33.9195,34.0042,34.1563,33.8358,,-0.19%
2024-09-04,33.9857,34.0033,34.1315,33.869,,0.04%
2024-09-03,33.9735,33.8822,34.0725,33.7707,,0.28%
2024-09-02,33.8799,34.0452,34.1537,33.745,,-0.56%
2024-08-30,34.0711,34.071,34.1739,33.9958,,0.00%
2024-08-29,34.0694,34.0567,34.2712,33.8625,,0.11%
2024-08-28,34.0312,34.0194,34.4742,33.9105,,0.09%
2024-08-27,34.0006,34.001,34.0882,33.8925,,0.09%
2024-08-26,33.9691,33.9919,34.0896,33.798,,0.03%
2024-08-23,33.9588,33.9065,34.0559,33.7948,,0.74%
2024-08-22,33.71,33.8767,34.0038,33.7815,,-0.36%
2024-08-21,33.8313,33.8858,34.049,33.7807,,-0.08%
2024-08-20,33.8575,33.702,33.9736,33.6469,,0.86%
2024-08-19,33.569,33.6752,33.8088,33.5615,,-0.28%
2024-08-16,33.6632,33.6392,33.994,33.5339,,0.18%
2024-08-15,33.6042,33.6094,33.7179,33.4868,,0.01%
2024-08-14,33.5992,33.5394,33.6826,33.4213,,0.21%
2024-08-13,33.5301,33.495,33.646,33.365,,0.48%
2024-08-12,33.37,33.5291,33.6455,33.4043,,-0.34%
2024-08-09,33.4839,33.5191,33.647,33.3735,,-0.04%
2024-08-08,33.4959,33.473,33.6085,33.37,,0.20%
2024-08-07,33.4293,33.601,33.7031,33.3667,,-0.42%
2024-08-06,33.5696,33.3534,33.7718,33.1576,,0.73%
2024-08-05,33.3248,33.2248,33.4689,33.153,,0.47%
2024-08-02,33.168,33.1137,33.3339,33.0242,,0.25%
2024-08-01,33.0853,33.1509,33.2387,32.9847,,-0.17%
2024-07-31,33.1401,33.0888,33.2642,33.018,,0.18%
2024-07-30,33.0794,33.081,33.1705,32.9572,,0.10%
2024-07-29,33.0458,32.96,33.2288,32.8289,,0.43%
2024-07-26,32.9042,32.95,33.1946,32.8027,,-0.13%
2024-07-25,32.948,32.8225,33.1779,32.7558,,0.51%
2024-07-24,32.7792,32.8516,32.9824,32.7293,,-0.22%
2024-07-23,32.8527,32.9116,33.1358,32.6804,,-0.17%
2024-07-22,32.9085,33.0002,33.2233,32.7613,,0.34%
2024-07-19,32.7981,33.0739,33.2333,32.8954,,-0.76%
2024-07-18,33.0488,33.0807,33.1745,32.9744,,0.00%
2024-07-17,33.0502,33.0522,33.2932,32.962,,-0.01%
2024-07-16,33.0531,32.9971,33.1473,32.9129,,0.26%
2024-07-15,32.9686,33.0088,33.1539,32.9186,,-0.16%
2024-07-12,33.0214,32.8322,33.1271,32.7682,,0.67%
2024-07-11,32.8013,32.8614,33.0122,32.7329,,-0.17%
2024-07-10,32.8564,32.8733,33.0794,32.7443,,0.12%
2024-07-09,32.817,32.6862,33.0338,32.6143,,0.44%
2024-07-08,32.6745,32.675,32.8695,32.485,,0.12%
2024-07-05,32.635,32.5779,32.8739,32.478,,0.38%
2024-07-04,32.513,32.5514,32.6391,32.4105,,-0.07%
2024-07-03,32.5342,32.5494,32.6963,32.403,,-0.04%
2024-07-02,32.547,32.655,32.7721,32.4419,,-0.25%
2024-07-01,32.6297,32.7728,32.868,32.5291,,-0.06%
2024-06-28,32.6485,32.865,33.0728,32.585,,-0.47%
2024-06-27,32.8041,32.8446,32.9963,32.7326,,-0.10%
2024-06-26,32.8379,32.9544,33.0615,32.71,,-0.25%
2024-06-25,32.9206,32.9192,33.0637,32.7925,,0.01%
2024-06-24,32.9169,32.8162,32.9703,32.6834,,0.26%
2024-06-21,32.8322,32.808,32.966,32.6775,,0.08%
2024-06-20,32.806,32.5268,32.923,32.4163,,0.93%
2024-06-19,32.5024,32.3704,32.7327,32.3704,,0.05%
2024-06-18,32.4853,32.8157,32.9141,32.483,,-0.92%
2024-06-17,32.7859,32.7267,32.922,32.6718,,0.49%
2024-06-14,32.6273,32.3117,32.8767,32.2826,,1.08%
2024-06-13,32.2788,32.3067,32.4276,32.1573,,-0.09%
2024-06-12,32.3064,32.3602,32.4374,32.1871,,-0.05%
2024-06-11,32.3221,32.3748,32.4763,32.238,,-0.05%
2024-06-10,32.3374,32.4275,32.5785,32.158,,0.29%
2024-06-07,32.243,32.2367,32.5483,32.1185,,0.03%
2024-06-06,32.2319,32.2567,32.41,32.0546,,0.00%
2024-06-05,32.2303,32.583,32.7046,32.1248,,-1.06%
2024-06-04,32.5745,32.1878,32.6791,32.057,,1.26%
2024-06-03,32.1678,32.2267,32.3203,32.0892,,-0.20%
2024-05-31,32.2322,32.2118,32.5459,32.0631,,0.09%
2024-05-30,32.2042,32.256,32.4617,32.1135,,0.07%
2024-05-29,32.1825,32.2345,32.3707,32.1052,,-0.16%
2024-05-28,32.2335,32.1198,32.3315,31.9362,,0.33%
2024-05-27,32.1282,32.2136,32.3523,31.9308,,-0.22%
2024-05-24,32.2003,32.1861,32.3366,32.048,,0.13%
2024-05-23,32.1585,32.197,32.2806,32.0602,,-0.09%
2024-05-22,32.1861,32.197,32.5463,32.0712,,0.20%
2024-05-21,32.1226,32.209,32.3077,32.0694,,-0.03%
2024-05-20,32.1327,32.285,32.3392,32.0275,,-0.20%
2024-05-17,32.1987,32.2764,32.409,32.0647,,-0.23%
2024-05-16,32.2716,32.1645,32.3326,32.0385,,0.35%
2024-05-15,32.16,32.2823,32.3845,32.0811,,-0.33%
2024-05-14,32.2659,32.2024,32.384,32.0204,,-0.03%
2024-05-13,32.274,32.2167,32.4631,32.0622,,0.23%
2024-05-10,32.1989,32.2861,32.3941,32.0696,,-0.12%
2024-05-09,32.238,32.2475,32.4198,32.0457,,0.04%
2024-05-08,32.2239,32.2689,32.5808,32.1359,,-0.09%
2024-05-07,32.2515,32.2605,32.373,32.1167,,-0.03%
2024-05-06,32.2624,32.3452,32.6051,32.1196,,-0.22%
2024-05-03,32.3346,32.3742,32.5276,32.1667,,0.10%
2024-05-02,32.3014,32.485,32.5266,32.2183,,-0.48%
2024-05-01,32.4565,32.4148,32.5776,32.3353,,0.17%
2024-04-30,32.4007,32.5064,32.548,32.1792,,-0.05%
2024-04-29,32.4153,32.508,32.6239,32.1732,,0.04%
2024-04-26,32.4036,32.5183,32.652,32.3057,,-0.34%
2024-04-25,32.5152,32.551,32.6549,32.3826,,-0.07%
2024-04-24,32.5393,32.5533,32.6312,32.3922,,0.15%
2024-04-23,32.4915,32.5415,32.6901,32.424,,0.02%
2024-04-22,32.4862,32.4992,32.6946,32.3508,,-0.02%
2024-04-19,32.4941,32.5279,32.8863,32.298,,-0.09%
2024-04-18,32.5224,32.4218,32.5914,32.3394,,0.43%
2024-04-17,32.3816,32.498,32.6702,32.3278,,-0.01%
2024-04-16,32.3857,32.4213,32.5764,32.3056,,-0.05%
2024-04-15,32.4013,32.364,32.6287,32.1775,,0.17%
2024-04-12,32.3468,32.3046,33.0275,32.0923,,0.15%
2024-04-11,32.2996,32.301,32.4228,32.1609,,0.07%
2024-04-10,32.2779,32.2318,32.3986,32.1253,,0.02%
2024-04-09,32.2706,32.0396,32.3697,31.9623,,0.92%
2024-04-08,31.9764,32.0303,32.2548,31.8024,,-0.19%
2024-04-05,32.0374,31.9115,32.1277,31.7528,,0.52%
2024-04-04,31.8703,31.9492,32.0345,31.7744,,-0.24%
2024-04-03,31.9485,32.0279,32.1955,31.8378,,-0.30%
2024-04-02,32.0436,32.1027,32.4115,31.8863,,-0.10%
2024-04-01,32.075,32.3469,32.5582,31.4915,,-0.84%
2024-03-29,32.346,32.3441,32.6439,32.1479,,0.13%
2024-03-28,32.3045,32.285,32.4294,32.1939,,0.18%
2024-03-27,32.2459,32.1829,32.3353,32.0572,,0.22%
2024-03-26,32.1737,32.1471,32.2763,32.0562,,0.18%
2024-03-25,32.1146,32.0013,32.2793,31.8147,,0.32%
2024-03-22,32.0132,32.0734,32.3213,31.7126,,-0.05%
2024-03-21,32.0294,32.3923,32.4972,31.6631,,-0.39%
2024-03-20,32.1558,32.3603,32.5024,32.139,,-0.63%
2024-03-19,32.3583,32.3118,32.576,32.2323,,0.35%
2024-03-18,32.246,32.1168,32.5624,32.0715,,0.41%
2024-03-15,32.1144,32.1487,32.4403,32.0097,,-0.09%
2024-03-14,32.1441,32.084,32.2877,31.896,,0.74%
2024-03-13,31.9074,32.0639,32.6026,31.9595,,-0.38%
2024-03-12,32.0278,32.0233,32.1668,31.936,,0.26%
2024-03-11,31.9448,31.8216,32.1326,31.8078,,0.33%
