Date,Close,Open,High,Low,Volume,Change%
2024-12-19,18.413,18.3344,18.4375,18.2216,,0.49%
2024-12-18,18.3232,18.096,18.3732,18.0178,,1.36%
2024-12-17,18.0766,17.8582,18.1767,17.8258,,1.33%
2024-12-16,17.8389,17.8775,17.9296,17.8199,,-0.10%
2024-12-13,17.8575,17.7936,17.9515,17.761,,0.39%
2024-12-12,17.7889,17.7045,17.8197,17.6133,,0.53%
2024-12-11,17.6944,17.8169,17.9132,17.6762,,-0.61%
2024-12-10,17.8034,17.7802,17.9104,17.7526,,0.17%
2024-12-09,17.7733,18.0213,18.063,17.7152,,-1.44%
2024-12-06,18.033,18.0131,18.0745,17.9468,,0.19%
2024-12-05,17.9997,18.1688,18.1914,17.9971,,-0.80%
2024-12-04,18.1443,18.1152,18.1939,18.0809,,0.32%
2024-12-03,18.0869,18.1379,18.2034,18.0585,,-0.18%
2024-12-02,18.1197,18.06,18.249,18.0251,,0.38%
2024-11-29,18.0503,18.0945,18.1371,18.0,,-0.15%
2024-11-28,18.0773,18.1871,18.2755,18.0821,,-0.52%
2024-11-27,18.1722,18.199,18.2436,18.0699,,0.02%
2024-11-26,18.1688,18.0738,18.2343,18.0271,,0.76%
2024-11-25,18.0314,18.12,18.1288,17.9577,,-0.39%
2024-11-22,18.102,18.1079,18.1531,18.0108,,0.04%
2024-11-21,18.0956,18.1188,18.1881,17.9584,,-0.13%
2024-11-20,18.1186,18.0512,18.1904,18.0204,,0.44%
2024-11-19,18.0386,17.9712,18.1815,17.901,,0.61%
2024-11-18,17.9294,18.1901,18.2334,17.9203,,-1.43%
2024-11-15,18.19,18.2798,18.3168,18.0988,,-0.33%
2024-11-14,18.2495,18.2264,18.404,18.1593,,0.13%
2024-11-13,18.2265,18.1157,18.2832,17.9282,,0.74%
2024-11-12,18.0927,17.9307,18.1923,17.9094,,1.01%
2024-11-11,17.9116,17.6095,17.9988,17.5526,,1.84%
2024-11-08,17.5888,17.307,17.6653,17.2776,,1.69%
2024-11-07,17.2966,17.65,17.701,17.267,,-1.73%
2024-11-06,17.6015,17.4,17.8298,17.3759,,1.33%
2024-11-05,17.3697,17.5341,17.5502,17.3584,,-0.77%
2024-11-04,17.5038,17.6579,17.6658,17.4833,,-0.73%
2024-11-01,17.6325,17.62,17.6898,17.5198,,0.42%
2024-10-31,17.5589,17.652,17.7696,17.5753,,-0.50%
2024-10-30,17.6463,17.664,17.7684,17.5335,,0.00%
2024-10-29,17.6466,17.695,17.7555,17.6085,,-0.17%
2024-10-28,17.6773,17.6599,17.8053,17.602,,0.18%
2024-10-25,17.6464,17.666,17.7222,17.5805,,-0.03%
2024-10-24,17.6525,17.7794,17.8269,17.639,,-0.58%
2024-10-23,17.755,17.5625,17.8749,17.4859,,1.27%
2024-10-22,17.5324,17.6151,17.6396,17.4909,,-0.39%
2024-10-21,17.6011,17.595,17.6677,17.5579,,0.03%
2024-10-18,17.5952,17.7275,17.7291,17.5367,,-0.41%
2024-10-17,17.668,17.6185,17.8024,17.593,,0.34%
2024-10-16,17.6079,17.6481,17.6741,17.5409,,-0.10%
2024-10-15,17.6248,17.5736,17.6788,17.5288,,0.41%
2024-10-14,17.5524,17.415,17.6098,17.3925,,0.83%
2024-10-11,17.4076,17.523,17.5724,17.361,,-0.55%
2024-10-10,17.504,17.6453,17.6892,17.4922,,-0.79%
2024-10-09,17.6439,17.5645,17.6889,17.5215,,0.58%
2024-10-08,17.543,17.4042,17.6168,17.3342,,1.03%
2024-10-07,17.3639,17.4914,17.5084,17.3455,,-0.64%
2024-10-04,17.4765,17.5111,17.6111,17.4162,,-0.11%
2024-10-03,17.4963,17.3574,17.5623,17.2802,,0.95%
2024-10-02,17.3314,17.3993,17.4712,17.3011,,-0.37%
2024-10-01,17.3966,17.2848,17.493,17.2149,,0.81%
2024-09-30,17.2574,17.1022,17.3079,17.0296,,0.89%
2024-09-27,17.1046,17.1801,17.2605,17.064,,-0.29%
2024-09-26,17.1542,17.2765,17.3244,17.1341,,-0.58%
2024-09-25,17.255,17.262,17.3626,17.1299,,0.00%
2024-09-24,17.2545,17.3572,17.3802,17.2323,,-0.46%
2024-09-23,17.335,17.4102,17.4767,17.2836,,-0.44%
2024-09-20,17.4112,17.493,17.5965,17.4025,,-0.49%
2024-09-19,17.4962,17.5525,17.63,17.3907,,-0.20%
2024-09-18,17.5315,17.6335,17.6488,17.4198,,-0.31%
2024-09-17,17.5866,17.62,17.6888,17.5763,,-0.13%
2024-09-16,17.6102,17.7588,17.7631,17.6026,,-0.76%
2024-09-13,17.7451,17.7681,17.828,17.6884,,-0.12%
2024-09-12,17.7673,17.8963,18.0215,17.7523,,-0.63%
2024-09-11,17.8803,17.9463,17.9915,17.8335,,-0.31%
2024-09-10,17.9356,17.8837,17.9723,17.8056,,0.44%
2024-09-09,17.8576,17.8593,17.9617,17.8032,,0.02%
2024-09-06,17.8532,17.71,17.8989,17.6095,,0.84%
2024-09-05,17.705,17.8644,17.8946,17.6861,,-0.83%
2024-09-04,17.8539,17.981,18.0249,17.8006,,-0.66%
2024-09-03,17.9731,17.8325,18.0103,17.8083,,0.83%
2024-09-02,17.8252,17.8461,17.9389,17.7971,,0.02%
2024-08-30,17.8217,17.7378,17.8546,17.5953,,0.44%
2024-08-29,17.7433,17.8225,17.8423,17.6718,,-0.37%
2024-08-28,17.809,17.7463,17.8551,17.704,,0.48%
2024-08-27,17.7243,17.7441,17.8069,17.685,,0.04%
2024-08-26,17.7169,17.7453,17.8347,17.6795,,0.02%
2024-08-23,17.7125,17.9969,18.0279,17.6875,,-1.60%
2024-08-22,18.0003,17.8479,18.0594,17.8344,,0.96%
2024-08-21,17.8293,17.8175,17.9529,17.776,,0.20%
2024-08-20,17.7936,17.7024,17.8886,17.6984,,0.53%
2024-08-19,17.6994,17.8666,17.8882,17.671,,-0.86%
2024-08-16,17.8525,18.0052,18.019,17.8497,,-0.78%
2024-08-15,17.9933,18.0614,18.1026,17.9707,,-0.39%
2024-08-14,18.0633,18.1405,18.1573,18.0176,,-0.19%
2024-08-13,18.0968,18.2575,18.272,18.0915,,-0.81%
2024-08-12,18.2445,18.3058,18.3248,18.1758,,-0.36%
2024-08-09,18.3101,18.3608,18.3937,18.2758,,-0.26%
2024-08-08,18.357,18.405,18.4481,18.3225,,-0.16%
2024-08-07,18.3872,18.4719,18.5094,18.272,,-0.58%
2024-08-06,18.4942,18.5125,18.5911,18.4018,,-0.14%
2024-08-05,18.5207,18.2797,18.6903,18.2688,,1.35%
2024-08-02,18.2747,18.265,18.3345,18.1196,,0.03%
2024-08-01,18.2688,18.2002,18.3068,18.1041,,0.39%
2024-07-31,18.1976,18.3333,18.3497,18.1686,,-0.71%
2024-07-30,18.3283,18.4556,18.4788,18.2818,,-0.63%
2024-07-29,18.4437,18.3153,18.5269,18.2386,,0.74%
2024-07-26,18.3078,18.4222,18.4222,18.2221,,-0.20%
2024-07-25,18.3453,18.328,18.5335,18.3143,,-0.06%
2024-07-24,18.3564,18.3903,18.4388,18.267,,-0.12%
2024-07-23,18.379,18.2691,18.4802,18.234,,0.70%
2024-07-22,18.252,18.2942,18.3304,18.1946,,-0.10%
2024-07-19,18.2698,18.231,18.3748,18.2178,,0.09%
2024-07-18,18.253,18.2297,18.283,18.1295,,0.27%
2024-07-17,18.2047,18.105,18.2758,18.0337,,0.70%
2024-07-16,18.0789,18.2145,18.2834,18.032,,-0.60%
2024-07-15,18.1877,17.9526,18.2813,17.9526,,1.13%
2024-07-12,17.985,18.0039,18.0307,17.9226,,-0.14%
2024-07-11,18.0111,18.1263,18.1398,17.9366,,-0.58%
2024-07-10,18.1154,18.1562,18.1697,18.0412,,-0.02%
2024-07-09,18.1188,18.1319,18.2285,18.0619,,0.07%
2024-07-08,18.1066,18.1749,18.2395,18.0677,,-0.66%
2024-07-05,18.2269,18.2613,18.3186,18.1458,,-0.32%
2024-07-04,18.2859,18.4242,18.4647,18.2326,,-0.73%
2024-07-03,18.4211,18.5851,18.6389,18.2987,,-0.91%
2024-07-02,18.5903,18.3111,18.6675,18.3111,,1.23%
2024-07-01,18.365,18.1245,18.4149,17.9395,,0.99%
2024-06-28,18.185,18.4743,18.5321,18.1318,,-1.51%
2024-06-27,18.464,18.2293,18.5147,18.1301,,1.58%
2024-06-26,18.1771,18.2507,18.3535,18.108,,-0.27%
2024-06-25,18.2266,18.1099,18.2775,18.0589,,0.61%
2024-06-24,18.1153,17.9915,18.2438,17.9825,,0.84%
2024-06-21,17.9642,17.98,18.0163,17.8672,,-0.04%
2024-06-20,17.9719,17.9721,18.1803,17.9264,,0.06%
2024-06-19,17.9605,18.0466,18.0554,17.9171,,-0.40%
2024-06-18,18.0334,18.2509,18.2933,18.0309,,-1.17%
2024-06-17,18.2476,18.3775,18.4068,18.2032,,-0.50%
2024-06-14,18.3389,18.4289,18.5067,18.3015,,-0.44%
2024-06-13,18.4195,18.3756,18.5409,18.316,,0.25%
2024-06-12,18.374,18.591,18.6636,18.2827,,-1.21%
2024-06-11,18.5982,18.7219,18.7812,18.5341,,-0.67%
2024-06-10,18.7236,18.868,18.9316,18.6895,,-0.73%
2024-06-07,18.8605,18.9252,19.0111,18.7593,,-0.53%
2024-06-06,18.9607,18.9306,19.0157,18.8719,,0.18%
2024-06-05,18.9258,18.7094,18.9891,18.6545,,1.23%
2024-06-04,18.6963,18.5076,18.781,18.4807,,1.10%
2024-06-03,18.4931,18.8154,18.8896,18.4879,,-1.67%
2024-05-31,18.8079,18.745,18.9063,18.6315,,0.36%
2024-05-30,18.7401,18.4203,18.7875,18.3678,,1.93%
