Date,Close,Open,High,Low,Change%
2024-12-20,4.505,4.556,4.565,4.48,-1.32%
2024-12-19,4.586,4.516,4.597,4.502,1.51%
2024-12-18,4.518,4.391,4.524,4.381,2.83%
2024-12-17,4.394,4.395,4.442,4.373,-0.18%
2024-12-16,4.402,4.387,4.412,4.361,0.18%
2024-12-13,4.394,4.328,4.407,4.312,1.36%
2024-12-12,4.335,4.265,4.339,4.265,1.42%
2024-12-11,4.274,4.224,4.277,4.201,1.10%
2024-12-10,4.227,4.195,4.246,4.184,0.65%
2024-12-09,4.2,4.151,4.203,4.135,1.26%
2024-12-06,4.148,4.182,4.222,4.126,-0.69%
2024-12-05,4.177,4.194,4.225,4.174,-0.14%
2024-12-04,4.183,4.232,4.281,4.174,-1.01%
2024-12-03,4.226,4.195,4.24,4.165,0.74%
2024-12-02,4.195,4.207,4.248,4.174,0.42%
2024-11-29,4.177,4.254,4.256,4.172,-1.93%
2024-11-27,4.26,4.308,4.31,4.227,-0.79%
2024-11-26,4.294,4.287,4.324,4.273,0.46%
2024-11-25,4.274,4.343,4.369,4.261,-3.10%
2024-11-22,4.411,4.42,4.43,4.383,-0.18%
2024-11-21,4.419,4.41,4.439,4.377,0.13%
2024-11-20,4.413,4.404,4.438,4.388,0.40%
2024-11-19,4.395,4.412,4.418,4.337,-0.40%
2024-11-18,4.413,4.439,4.491,4.408,-0.71%
2024-11-15,4.444,4.449,4.505,4.4,-0.02%
2024-11-14,4.445,4.455,4.483,4.386,-0.11%
2024-11-13,4.45,4.435,4.463,4.357,0.49%
2024-11-12,4.429,4.324,4.443,4.314,2.86%
2024-11-08,4.305,4.337,4.353,4.264,-0.45%
2024-11-07,4.325,4.425,4.455,4.31,-2.39%
2024-11-06,4.431,4.258,4.479,4.258,3.52%
2024-11-05,4.28,4.289,4.366,4.273,-0.14%
2024-11-04,4.286,4.299,4.329,4.263,-2.26%
2024-11-01,4.385,4.292,4.388,4.222,2.41%
2024-10-31,4.281,4.294,4.333,4.26,-0.42%
2024-10-30,4.299,4.252,4.304,4.198,0.59%
2024-10-29,4.274,4.268,4.339,4.254,-0.09%
2024-10-28,4.278,4.266,4.3,4.23,1.09%
2024-10-25,4.232,4.204,4.25,4.174,0.71%
2024-10-24,4.202,4.248,4.248,4.182,-0.94%
2024-10-23,4.242,4.212,4.26,4.21,0.86%
2024-10-22,4.206,4.194,4.222,4.164,0.57%
2024-10-21,4.182,4.097,4.198,4.077,2.63%
2024-10-18,4.075,4.093,4.118,4.065,-0.51%
2024-10-17,4.096,4.022,4.1,4.018,1.99%
2024-10-16,4.016,4.037,4.043,3.995,-0.54%
2024-10-15,4.038,4.1,4.104,4.026,-0.86%
2024-10-11,4.073,4.069,4.118,4.059,-0.51%
2024-10-10,4.094,4.073,4.12,4.051,0.66%
2024-10-09,4.067,4.018,4.078,4.006,0.79%
2024-10-08,4.035,4.02,4.057,3.996,0.22%
2024-10-07,4.026,3.981,4.033,3.967,1.13%
2024-10-04,3.981,3.844,3.985,3.834,3.52%
2024-10-03,3.846,3.789,3.855,3.785,1.67%
2024-10-02,3.783,3.733,3.817,3.724,1.37%
2024-10-01,3.731,3.779,3.79,3.696,-1.46%
2024-09-30,3.787,3.753,3.806,3.749,0.96%
2024-09-27,3.751,3.792,3.809,3.741,-1.20%
2024-09-26,3.796,3.783,3.821,3.754,0.15%
2024-09-25,3.791,3.732,3.793,3.726,1.58%
2024-09-24,3.732,3.745,3.81,3.726,-0.51%
2024-09-23,3.751,3.757,3.794,3.73,0.25%
2024-09-20,3.741,3.713,3.764,3.7,0.61%
2024-09-19,3.719,3.715,3.768,3.691,0.15%
2024-09-18,3.713,3.642,3.721,3.634,1.80%
2024-09-17,3.648,3.618,3.655,3.599,0.83%
2024-09-16,3.618,3.646,3.662,3.618,-1.08%
2024-09-13,3.657,3.65,3.678,3.623,-0.61%
2024-09-12,3.68,3.659,3.706,3.638,0.51%
2024-09-11,3.661,3.637,3.689,3.605,0.56%
2024-09-10,3.64,3.704,3.725,3.637,-1.67%
2024-09-09,3.702,3.734,3.763,3.691,-0.36%
2024-09-06,3.716,3.734,3.77,3.648,-0.26%
2024-09-05,3.725,3.755,3.774,3.721,-0.85%
2024-09-04,3.757,3.837,3.842,3.753,-1.93%
2024-09-03,3.831,3.928,3.932,3.825,-2.42%
2024-09-02,3.926,3.909,3.941,3.905,0.49%
2024-09-01,3.907,3.914,3.917,3.905,-0.06%
2024-08-30,3.909,3.867,3.932,3.852,1.19%
2024-08-29,3.863,3.835,3.888,3.816,0.64%
2024-08-28,3.839,3.818,3.848,3.805,0.25%
2024-08-27,3.829,3.81,3.867,3.806,0.25%
2024-08-26,3.82,3.789,3.822,3.774,0.65%
2024-08-23,3.795,3.845,3.86,3.791,-1.62%
2024-08-22,3.858,3.803,3.877,3.788,1.55%
2024-08-21,3.799,3.799,3.833,3.761,-0.30%
2024-08-20,3.81,3.871,3.886,3.809,-1.66%
2024-08-19,3.875,3.907,3.907,3.852,-0.20%
2024-08-16,3.883,3.924,3.924,3.864,-0.92%
2024-08-15,3.919,3.839,3.953,3.828,2.08%
2024-08-14,3.839,3.846,3.886,3.811,-0.19%
2024-08-13,3.846,3.902,3.924,3.845,-1.56%
2024-08-12,3.907,3.942,3.967,3.896,-0.82%
2024-08-09,3.94,3.988,3.99,3.921,-1.25%
2024-08-08,3.99,3.924,4.022,3.894,0.94%
2024-08-07,3.953,3.884,3.977,3.875,1.31%
2024-08-06,3.901,3.835,3.909,3.805,3.24%
2024-08-05,3.779,3.789,3.832,3.667,-0.35%
2024-08-02,3.792,3.97,3.974,3.787,-4.76%
2024-08-01,3.982,4.056,4.066,3.965,-1.28%
2024-07-31,4.033,4.151,4.155,4.031,-2.61%
2024-07-30,4.141,4.178,4.188,4.13,-0.74%
2024-07-29,4.172,4.196,4.196,4.151,-0.51%
2024-07-26,4.194,4.243,4.264,4.19,-1.19%
2024-07-25,4.245,4.278,4.278,4.196,-0.96%
2024-07-24,4.286,4.254,4.292,4.21,0.73%
2024-07-23,4.254,4.253,4.256,4.221,0.00%
2024-07-22,4.254,4.218,4.278,4.204,0.28%
2024-07-19,4.243,4.194,4.249,4.185,0.97%
2024-07-18,4.202,4.161,4.206,4.156,1.02%
2024-07-17,4.16,4.161,4.196,4.144,0.00%
2024-07-16,4.16,4.222,4.222,4.156,-1.70%
2024-07-15,4.231,4.243,4.249,4.198,1.07%
2024-07-12,4.187,4.212,4.241,4.177,-0.60%
2024-07-11,4.212,4.288,4.315,4.168,-1.64%
2024-07-10,4.282,4.296,4.312,4.267,-0.36%
2024-07-09,4.298,4.282,4.329,4.274,0.41%
2024-07-08,4.28,4.29,4.317,4.265,0.04%
2024-07-05,4.278,4.374,4.404,4.269,-2.15%
2024-07-04,4.372,4.364,4.376,4.353,0.41%
2024-07-03,4.355,4.426,4.445,4.339,-1.87%
2024-07-02,4.438,4.457,4.465,4.414,-0.75%
2024-07-01,4.471,4.412,4.493,4.386,1.80%
2024-06-28,4.392,4.288,4.404,4.261,2.47%
2024-06-27,4.286,4.333,4.347,4.275,-0.99%
2024-06-26,4.329,4.244,4.331,4.242,1.93%
2024-06-25,4.248,4.238,4.259,4.209,0.32%
2024-06-24,4.234,4.257,4.277,4.226,-0.55%
2024-06-21,4.257,4.265,4.279,4.217,-0.09%
2024-06-20,4.261,4.234,4.294,4.228,0.59%
2024-06-19,4.236,4.225,4.241,4.223,0.41%
2024-06-18,4.219,4.275,4.3,4.207,-1.54%
2024-06-17,4.285,4.244,4.294,4.231,1.51%
2024-06-14,4.221,4.252,4.273,4.188,-0.64%
2024-06-13,4.248,4.304,4.328,4.223,-1.62%
2024-06-12,4.318,4.41,4.428,4.25,-1.91%
2024-06-11,4.402,4.463,4.465,4.394,-1.54%
2024-06-10,4.471,4.453,4.479,4.441,0.85%
2024-06-07,4.433,4.293,4.436,4.289,3.42%
2024-06-06,4.287,4.289,4.322,4.275,0.22%
2024-06-05,4.277,4.33,4.359,4.275,-1.21%
2024-06-04,4.33,4.396,4.414,4.314,-1.42%
2024-06-03,4.392,4.493,4.501,4.39,-2.45%
2024-05-31,4.503,4.544,4.572,4.485,-1.04%
2024-05-30,4.55,4.62,4.628,4.542,-1.42%
2024-05-29,4.616,4.548,4.638,4.542,1.49%
2024-05-28,4.548,4.459,4.554,4.445,1.95%
2024-05-27,4.461,4.451,4.473,4.446,-0.13%
2024-05-24,4.467,4.477,4.502,4.463,-0.26%
2024-05-23,4.479,4.426,4.498,4.408,1.20%
2024-05-22,4.426,4.414,4.461,4.41,0.31%
2024-05-21,4.412,4.445,4.451,4.398,-0.79%
2024-05-20,4.447,4.414,4.455,4.406,0.57%
2024-05-17,4.422,4.369,4.426,4.363,1.03%
2024-05-16,4.377,4.336,4.385,4.313,0.76%
2024-05-15,4.344,4.449,4.449,4.34,-2.28%
2024-05-14,4.445,4.489,4.534,4.441,-1.00%
2024-05-13,4.49,4.49,4.496,4.459,-0.22%
2024-05-10,4.5,4.465,4.508,4.441,0.93%
2024-05-09,4.459,4.49,4.52,4.447,-0.91%
2024-05-08,4.5,4.457,4.5,4.451,0.87%
2024-05-07,4.461,4.496,4.496,4.42,-0.59%
2024-05-06,4.487,4.483,4.514,4.469,-0.22%
2024-05-03,4.497,4.583,4.596,4.453,-2.00%
2024-05-02,4.589,4.63,4.651,4.567,-1.11%
2024-05-01,4.641,4.682,4.694,4.581,-0.88%
2024-04-30,4.682,4.611,4.692,4.603,1.53%
2024-04-29,4.611,4.655,4.659,4.607,-1.10%
2024-04-26,4.663,4.714,4.716,4.64,-0.87%
2024-04-25,4.704,4.646,4.739,4.619,1.21%
2024-04-24,4.648,4.6,4.671,4.6,0.90%
2024-04-23,4.607,4.613,4.654,4.568,-0.08%
2024-04-22,4.61,4.631,4.668,4.609,-0.27%
2024-04-19,4.623,4.627,4.635,4.496,-0.30%
2024-04-18,4.637,4.587,4.653,4.561,1.03%
2024-04-17,4.589,4.674,4.684,4.575,-1.72%
2024-04-16,4.669,4.614,4.696,4.591,1.30%
2024-04-15,4.61,4.534,4.663,4.52,2.04%
2024-04-12,4.517,4.582,4.584,4.483,-1.46%
2024-04-11,4.584,4.548,4.593,4.513,0.86%
2024-04-10,4.546,4.366,4.568,4.342,4.22%
2024-04-09,4.362,4.426,4.432,4.354,-1.36%
2024-04-08,4.422,4.414,4.464,4.406,0.50%
2024-04-05,4.4,4.309,4.406,4.305,2.14%
2024-04-04,4.307,4.343,4.381,4.299,-1.01%
2024-04-03,4.351,4.357,4.429,4.343,-0.04%
2024-04-02,4.353,4.305,4.405,4.303,0.83%
2024-04-01,4.317,4.19,4.337,4.188,2.54%
2024-03-29,4.21,4.21,4.21,4.21,0.09%
2024-03-28,4.206,4.206,4.238,4.183,0.42%
2024-03-27,4.188,4.238,4.241,4.182,-1.16%
2024-03-26,4.238,4.243,4.273,4.222,-0.28%
2024-03-25,4.249,4.198,4.261,4.19,1.13%
2024-03-22,4.202,4.265,4.269,4.198,-1.57%
2024-03-21,4.269,4.273,4.293,4.218,-0.18%
2024-03-20,4.277,4.285,4.324,4.233,-0.37%
2024-03-19,4.293,4.328,4.336,4.287,-0.82%
2024-03-18,4.328,4.308,4.348,4.291,0.46%
2024-03-15,4.308,4.296,4.322,4.269,0.38%
2024-03-14,4.292,4.19,4.3,4.186,2.49%
2024-03-13,4.188,4.147,4.198,4.131,0.90%
2024-03-12,4.151,4.094,4.172,4.081,1.28%
2024-03-11,4.098,4.083,4.116,4.052,0.52%
2024-03-08,4.077,4.09,4.131,4.038,-0.28%
2024-03-07,4.089,4.104,4.127,4.054,-0.47%
2024-03-06,4.108,4.155,4.17,4.079,-1.03%
2024-03-05,4.151,4.223,4.223,4.112,-1.57%
2024-03-04,4.217,4.193,4.235,4.189,0.75%
2024-03-01,4.186,4.254,4.296,4.178,-1.61%
2024-02-29,4.254,4.266,4.319,4.225,-0.27%
2024-02-28,4.266,4.305,4.309,4.264,-0.87%
2024-02-27,4.303,4.283,4.321,4.258,0.51%
2024-02-26,4.281,4.258,4.309,4.217,0.79%
2024-02-23,4.248,4.343,4.351,4.246,-1.91%
2024-02-22,4.331,4.323,4.354,4.295,0.28%
2024-02-21,4.319,4.283,4.331,4.25,1.02%
2024-02-20,4.275,4.317,4.319,4.244,-0.96%
2024-02-19,4.317,4.296,4.328,4.282,0.48%
2024-02-18,4.296,4.287,4.301,4.287,0.35%
2024-02-16,4.281,4.238,4.33,4.236,1.11%
2024-02-15,4.234,4.255,4.257,4.187,-0.64%
2024-02-14,4.261,4.328,4.332,4.246,-1.50%
2024-02-13,4.326,4.179,4.328,4.15,3.51%
2024-02-12,4.179,4.183,4.197,4.146,0.05%
2024-02-09,4.177,4.154,4.195,4.125,0.47%
2024-02-08,4.158,4.106,4.173,4.088,1.04%
2024-02-07,4.115,4.102,4.135,4.065,0.61%
2024-02-06,4.09,4.146,4.171,4.079,-1.71%
2024-02-05,4.162,4.054,4.177,4.049,3.43%
2024-02-02,4.024,3.876,4.054,3.873,3.65%
2024-02-01,3.882,3.931,3.958,3.816,-0.92%
2024-01-31,3.918,4.04,4.043,3.912,-2.92%
2024-01-30,4.036,4.078,4.103,4.034,-0.99%
2024-01-29,4.076,4.139,4.145,4.059,-1.53%
2024-01-26,4.139,4.113,4.166,4.093,0.46%
