Date,Close,Open,High,Low,Volume,Change%
2024-12-20,"2,623.29","2,593.66","2,631.77","2,589.80",,1.13%
2024-12-19,"2,593.85","2,587.87","2,626.73","2,583.49",,0.24%
2024-12-18,"2,587.63","2,645.68","2,652.09","2,586.52",,-2.19%
2024-12-17,"2,645.54","2,652.63","2,659.22","2,633.00",,-0.26%
2024-12-16,"2,652.50","2,649.11","2,664.83","2,643.34",,0.16%
2024-12-13,"2,648.39","2,681.47","2,693.02","2,645.90",,-1.23%
2024-12-12,"2,681.33","2,718.07","2,726.31","2,675.04",,-1.35%
2024-12-11,"2,717.93","2,693.76","2,721.35","2,674.58",,0.90%
2024-12-10,"2,693.64","2,658.82","2,695.80","2,657.95",,1.31%
2024-12-09,"2,658.78","2,635.53","2,676.53","2,627.47",,0.98%
2024-12-06,"2,632.91","2,632.18","2,645.69","2,613.57",,0.03%
2024-12-05,"2,632.05","2,649.92","2,655.62","2,623.55",,-0.67%
2024-12-04,"2,649.79","2,643.57","2,657.37","2,632.50",,0.24%
2024-12-03,"2,643.44","2,639.05","2,655.71","2,634.12",121.32K,0.17%
2024-12-02,"2,638.93","2,653.82","2,656.21","2,621.90",,-0.55%
2024-11-29,"2,653.55","2,641.20","2,666.35","2,634.12",,0.48%
2024-11-28,"2,640.96","2,635.74","2,650.12","2,620.94",,0.21%
2024-11-27,"2,635.51","2,632.16","2,658.40","2,627.06",,0.14%
2024-11-26,"2,631.89","2,625.38","2,642.05","2,605.30",,0.25%
2024-11-25,"2,625.26","2,715.10","2,721.43","2,615.70",,-3.22%
2024-11-22,"2,712.55","2,669.84","2,712.91","2,667.38",,1.61%
2024-11-21,"2,669.69","2,650.19","2,673.86","2,647.95",,0.74%
2024-11-20,"2,650.05","2,631.80","2,655.50","2,618.70",,0.70%
2024-11-19,"2,631.68","2,612.29","2,639.69","2,610.25",,0.75%
2024-11-18,"2,612.20","2,561.59","2,615.17","2,561.59",,1.99%
2024-11-15,"2,561.24","2,566.54","2,576.10","2,554.58",,-0.19%
2024-11-14,"2,566.19","2,573.91","2,581.61","2,536.90",,-0.29%
2024-11-13,"2,573.78","2,597.41","2,618.97","2,573.00",,-0.90%
2024-11-12,"2,597.27","2,620.31","2,627.24","2,589.80",,-0.88%
2024-11-11,"2,620.20","2,684.81","2,686.51","2,610.62",,-2.37%
2024-11-08,"2,683.77","2,707.37","2,710.51","2,680.36",,-0.86%
2024-11-07,"2,706.99","2,659.37","2,710.20","2,643.50",,1.80%
2024-11-06,"2,659.24","2,743.88","2,749.81","2,652.44",,-3.07%
2024-11-05,"2,743.59","2,736.59","2,750.06","2,724.75",,0.26%
2024-11-04,"2,736.39","2,734.11","2,748.30","2,729.79",,0.05%
2024-11-01,"2,735.16","2,742.50","2,762.30","2,733.20",,-0.32%
2024-10-31,"2,743.80","2,787.75","2,790.41","2,731.65",,-1.52%
2024-10-30,"2,786.19","2,775.01","2,790.10","2,770.65",,0.40%
2024-10-29,"2,775.13","2,743.70","2,775.89","2,739.82",,1.21%
2024-10-28,"2,741.98","2,734.85","2,746.07","2,724.72",,-0.21%
2024-10-25,"2,747.69","2,736.10","2,747.97","2,716.97",,0.44%
2024-10-24,"2,735.70","2,717.99","2,743.38","2,715.72",,0.67%
2024-10-23,"2,717.54","2,749.52","2,758.53","2,708.79",,-1.12%
2024-10-22,"2,748.38","2,720.00","2,749.47","2,718.93",,1.06%
2024-10-21,"2,719.65","2,721.71","2,740.61","2,714.23",,-0.02%
2024-10-18,"2,720.25","2,692.41","2,722.87","2,691.48",,1.03%
2024-10-17,"2,692.55","2,674.05","2,696.80","2,673.00",,0.72%
2024-10-16,"2,673.24","2,663.00","2,685.73","2,658.71",,0.46%
2024-10-15,"2,660.99","2,651.75","2,669.07","2,638.31",,0.37%
2024-10-14,"2,651.05","2,657.21","2,666.94","2,643.16",,-0.19%
2024-10-11,"2,656.00","2,630.80","2,661.55","2,627.65",,1.01%
2024-10-10,"2,629.48","2,608.14","2,631.63","2,604.15",,0.83%
2024-10-09,"2,607.77","2,620.19","2,624.65","2,605.18",,-0.54%
2024-10-08,"2,621.94","2,643.50","2,653.09","2,604.79",,-0.82%
2024-10-07,"2,643.58","2,651.20","2,659.91","2,637.70",,-0.33%
2024-10-04,"2,652.25","2,654.39","2,670.15","2,632.00",,-0.14%
2024-10-03,"2,655.90","2,658.66","2,663.40","2,639.73",,-0.07%
2024-10-02,"2,657.75","2,661.15","2,663.85","2,641.18",,-0.19%
2024-10-01,"2,662.82","2,635.41","2,673.20","2,631.98",,1.08%
2024-09-30,"2,634.49","2,658.30","2,666.11","2,624.78",,-0.88%
2024-09-27,"2,657.97","2,669.50","2,674.40","2,643.15",,-0.46%
2024-09-26,"2,670.20","2,657.32","2,685.96","2,654.56",,0.50%
2024-09-25,"2,656.82","2,655.90","2,670.60","2,649.84",,0.00%
2024-09-24,"2,656.70","2,628.92","2,664.47","2,622.58",,1.08%
2024-09-23,"2,628.40","2,621.81","2,635.54","2,613.60",,0.25%
2024-09-20,"2,621.96","2,587.50","2,625.79","2,584.81",,1.37%
2024-09-19,"2,586.48","2,559.07","2,594.89","2,551.26",,1.07%
2024-09-18,"2,559.16","2,571.73","2,600.21","2,546.98",,-0.40%
2024-09-17,"2,569.52","2,582.46","2,587.01","2,560.84",,-0.51%
2024-09-16,"2,582.58","2,578.06","2,589.78","2,575.40",,0.24%
2024-09-13,"2,576.50","2,556.52","2,586.18","2,556.52",,0.69%
2024-09-12,"2,558.75","2,512.02","2,560.21","2,511.02",,1.88%
2024-09-11,"2,511.44","2,515.70","2,529.40","2,501.01",,-0.19%
2024-09-10,"2,516.12","2,506.84","2,518.57","2,500.16",,0.43%
2024-09-09,"2,505.25","2,497.32","2,507.42","2,485.60",,0.33%
2024-09-06,"2,497.03","2,516.90","2,529.30","2,485.15",,-0.77%
2024-09-05,"2,516.32","2,495.50","2,523.54","2,493.76",,0.86%
2024-09-04,"2,494.84","2,492.94","2,500.20","2,471.95",,0.08%
2024-09-03,"2,492.76","2,500.50","2,506.44","2,473.25",,-0.26%
2024-09-02,"2,499.29","2,502.74","2,507.50","2,490.14",,-0.15%
2024-08-30,"2,503.03","2,520.89","2,527.07","2,494.36",,-0.72%
2024-08-29,"2,521.18","2,504.65","2,528.77","2,503.65",,0.76%
2024-08-28,"2,502.25","2,522.74","2,529.15","2,493.66",,-0.88%
2024-08-27,"2,524.57","2,518.30","2,526.27","2,503.41",,0.31%
2024-08-26,"2,516.89","2,511.43","2,527.76","2,508.71",,0.19%
2024-08-23,"2,512.07","2,482.20","2,518.45","2,481.20",,1.16%
2024-08-22,"2,483.29","2,512.50","2,514.82","2,470.86",,-1.14%
2024-08-21,"2,511.95","2,512.82","2,520.09","2,494.15",,-0.07%
2024-08-20,"2,513.74","2,501.55","2,532.05","2,497.33",,0.39%
2024-08-19,"2,503.92","2,508.40","2,510.45","2,485.83",,-0.13%
2024-08-16,"2,507.28","2,456.57","2,509.89","2,450.76",,2.08%
2024-08-15,"2,456.10","2,448.15","2,470.25","2,432.19",,0.35%
2024-08-14,"2,447.64","2,467.40","2,478.49","2,438.12",,-0.71%
2024-08-13,"2,465.03","2,472.64","2,477.02","2,458.50",,-0.29%
2024-08-12,"2,472.25","2,431.21","2,473.48","2,423.84",,1.70%
2024-08-09,"2,430.93","2,427.29","2,437.15","2,416.93",,0.17%
2024-08-08,"2,426.75","2,382.43","2,427.80","2,380.70",,1.90%
2024-08-07,"2,381.53","2,389.67","2,407.05","2,379.05",,-0.33%
2024-08-06,"2,389.37","2,410.01","2,418.35","2,381.79",,-0.76%
2024-08-05,"2,407.65","2,443.27","2,458.80","2,364.40",,-1.46%
2024-08-02,"2,443.29","2,445.16","2,477.72","2,410.83",,-0.09%
2024-08-01,"2,445.42","2,448.10","2,462.40","2,430.25",,-0.11%
2024-07-31,"2,448.10","2,410.09","2,451.00","2,403.86",,1.65%
2024-07-30,"2,408.43","2,383.66","2,413.00","2,376.51",,1.04%
2024-07-29,"2,383.54","2,387.20","2,403.23","2,369.77",,-0.09%
2024-07-26,"2,385.57","2,364.30","2,390.82","2,355.89",,0.89%
2024-07-25,"2,364.50","2,398.49","2,401.32","2,353.19",,-1.38%
2024-07-24,"2,397.59","2,408.94","2,432.05","2,396.50",,-0.48%
2024-07-23,"2,409.21","2,396.80","2,412.15","2,388.26",,0.48%
2024-07-22,"2,397.65","2,400.41","2,412.32","2,384.00",,-0.13%
2024-07-19,"2,400.79","2,445.34","2,446.29","2,393.92",,-1.81%
2024-07-18,"2,444.97","2,460.13","2,475.02","2,440.41",,-0.55%
2024-07-17,"2,458.38","2,476.22","2,483.78","2,451.60",,-0.41%
2024-07-16,"2,468.57","2,424.80","2,469.91","2,423.54",,1.92%
2024-07-15,"2,422.07","2,409.50","2,439.74","2,401.35",,0.45%
2024-07-12,"2,411.27","2,416.47","2,418.37","2,391.52",,-0.15%
2024-07-11,"2,414.78","2,371.58","2,424.62","2,370.83",,1.84%
2024-07-10,"2,371.07","2,363.80","2,386.75","2,362.73",,0.32%
2024-07-09,"2,363.58","2,358.60","2,371.52","2,349.59",,0.20%
2024-07-08,"2,358.80","2,391.77","2,391.85","2,351.16",,-1.37%
2024-07-05,"2,391.46","2,358.01","2,393.04","2,354.03",,1.50%
2024-07-04,"2,356.12","2,353.70","2,362.64","2,350.76",,0.00%
2024-07-03,"2,356.06","2,328.00","2,365.06","2,326.93",,1.15%
2024-07-02,"2,329.28","2,332.05","2,336.90","2,319.24",,-0.10%
2024-07-01,"2,331.70","2,326.46","2,338.72","2,318.55",,0.26%
2024-06-28,"2,325.71","2,327.75","2,339.79","2,319.15",,-0.07%
2024-06-27,"2,327.45","2,299.80","2,331.00","2,296.50",,1.29%
2024-06-26,"2,297.91","2,320.00","2,323.95","2,293.70",,-0.91%
2024-06-25,"2,319.01","2,333.25","2,337.26","2,315.56",,-0.60%
2024-06-24,"2,332.93","2,321.60","2,335.02","2,317.37",,0.54%
2024-06-21,"2,320.34","2,360.30","2,368.85","2,316.76",,-1.66%
2024-06-20,"2,359.63","2,329.15","2,365.52","2,327.30",,1.38%
2024-06-19,"2,327.48","2,329.79","2,335.10","2,323.84",,-0.04%
2024-06-18,"2,328.33","2,319.38","2,333.25","2,306.63",,0.41%
2024-06-17,"2,318.87","2,332.20","2,333.48","2,310.02",,-0.59%
2024-06-14,"2,332.52","2,302.52","2,336.87","2,301.35",,1.27%
2024-06-13,"2,303.19","2,325.70","2,326.70","2,295.68",,-0.83%
2024-06-12,"2,322.55","2,315.53","2,341.70","2,310.80",,0.27%
2024-06-11,"2,316.27","2,311.00","2,320.17","2,297.69",,0.25%
2024-06-10,"2,310.60","2,296.00","2,313.87","2,287.31",,0.78%
2024-06-07,"2,292.71","2,376.50","2,387.85","2,286.77",,-3.49%
2024-06-06,"2,375.61","2,355.16","2,378.57","2,353.60",,0.88%
2024-06-05,"2,354.78","2,328.00","2,358.07","2,325.88",,1.16%
2024-06-04,"2,327.68","2,349.00","2,351.76","2,315.53",,-0.96%
2024-06-03,"2,350.35","2,329.61","2,354.82","2,314.76",,1.00%
