Date,Close,Open,High,Low,Volume,Change%
2024-12-20,928.73,922.26,936.04,917.67,,0.57%
2024-12-19,923.50,920.50,934.89,916.15,,0.46%
2024-12-18,919.30,939.80,944.43,919.11,,-2.06%
2024-12-17,938.60,937.85,945.22,924.15,,0.31%
2024-12-16,935.66,925.75,946.48,918.65,,1.20%
2024-12-13,924.60,933.25,940.93,918.50,,-0.61%
2024-12-12,930.25,940.80,954.75,926.68,,-1.00%
2024-12-11,939.60,943.55,951.19,929.23,,-0.29%
2024-12-10,942.35,940.40,948.33,931.94,,0.34%
2024-12-09,939.20,929.50,958.01,927.53,,1.02%
2024-12-06,929.75,939.55,948.92,926.69,,-0.92%
2024-12-05,938.35,942.15,951.46,934.34,,-0.28%
2024-12-04,941.00,954.55,957.90,930.89,,-1.30%
2024-12-03,953.35,948.00,962.68,940.85,,0.69%
2024-12-02,946.80,948.85,951.60,936.70,,0.10%
2024-11-29,945.86,934.70,955.09,931.77,,1.57%
2024-11-28,931.22,930.00,940.59,926.43,,0.44%
2024-11-27,927.13,929.10,942.30,924.45,,-0.08%
2024-11-26,927.90,939.95,945.84,924.43,,-1.16%
2024-11-25,938.75,970.00,973.15,937.48,,-2.54%
2024-11-22,963.25,964.65,975.14,956.57,,0.26%
2024-11-21,960.75,962.60,971.10,953.93,,-0.07%
2024-11-20,961.40,975.30,978.30,958.17,,-1.30%
2024-11-19,974.05,968.60,979.01,961.88,,0.69%
2024-11-18,967.35,940.00,972.96,938.40,,3.07%
2024-11-15,938.55,940.90,954.55,933.85,,-0.12%
2024-11-14,939.70,938.60,946.84,927.62,,0.25%
2024-11-13,937.40,949.00,957.68,935.77,,-1.09%
2024-11-12,947.75,966.10,967.75,939.46,,-1.78%
2024-11-11,964.90,972.13,989.22,960.12,,-0.38%
2024-11-08,968.59,998.40,"1,003.24",965.33,,-2.87%
2024-11-07,997.20,987.83,"1,000.68",974.48,,1.07%
2024-11-06,986.65,"1,001.03","1,003.37",964.55,,-1.32%
2024-11-05,999.80,985.00,"1,006.60",979.80,,1.63%
2024-11-04,983.80,995.90,"1,004.91",978.91,,-0.87%
2024-11-01,992.40,993.60,"1,009.21",987.36,,0.47%
2024-10-31,987.71,"1,014.05","1,015.70",985.25,,-2.06%
2024-10-30,"1,008.50","1,052.35","1,056.76","1,009.90",,-3.55%
2024-10-29,"1,045.67","1,034.55","1,056.02","1,032.34",,1.23%
2024-10-28,"1,033.00","1,025.57","1,041.93","1,014.94",,1.00%
2024-10-25,"1,022.78","1,029.25","1,031.47","1,002.91",,-0.34%
2024-10-24,"1,026.27","1,020.55","1,045.65","1,018.21",,1.03%
2024-10-23,"1,015.77","1,032.00","1,040.79","1,013.16",,-1.30%
2024-10-22,"1,029.12","1,008.15","1,034.76","1,004.65",,2.58%
2024-10-21,"1,003.27","1,015.00","1,027.45","1,004.13",,-1.01%
2024-10-18,"1,013.48",995.85,"1,019.63",990.68,,2.15%
2024-10-17,992.19,997.80,"1,015.16",988.84,,-0.10%
2024-10-16,993.20,987.95,"1,005.01",985.81,,0.92%
2024-10-15,984.17,995.75,"1,002.58",974.67,,-0.88%
2024-10-14,992.88,987.00,"1,003.23",966.93,,0.80%
2024-10-11,984.96,972.70,989.61,969.93,,1.84%
2024-10-10,967.15,950.00,976.21,949.13,,2.34%
2024-10-09,945.00,953.50,963.27,944.54,,-0.53%
2024-10-08,950.00,975.95,980.28,951.15,,-2.28%
2024-10-07,972.17,991.95,999.68,970.50,,-1.60%
2024-10-04,988.00,996.05,"1,010.47",988.00,,-0.27%
2024-10-03,990.67,"1,009.10","1,013.12",979.20,,-1.18%
2024-10-02,"1,002.50",993.85,"1,016.36",985.67,,1.67%
2024-10-01,986.00,981.55,"1,004.53",977.38,,1.01%
2024-09-30,976.17,"1,004.45","1,011.57",971.09,,-2.41%
2024-09-27,"1,000.26","1,012.70","1,020.41",996.87,,-0.70%
2024-09-26,"1,007.31",990.45,"1,020.35",989.29,,1.92%
2024-09-25,988.30,990.65,"1,001.08",978.79,,0.26%
2024-09-24,985.72,961.35,992.97,958.21,,3.08%
2024-09-23,956.29,978.75,981.13,954.40,,-1.93%
2024-09-20,975.10,988.25,998.53,973.99,,-1.39%
2024-09-19,988.88,971.88,996.92,964.58,,2.08%
2024-09-18,968.69,985.70,989.28,965.82,,-1.29%
2024-09-17,981.37,987.60,995.14,976.88,,0.07%
2024-09-16,980.67,998.35,"1,007.20",982.15,,-1.47%
2024-09-13,995.26,982.65,"1,007.68",980.71,,1.85%
2024-09-12,977.20,956.50,984.90,953.65,,2.72%
2024-09-11,951.29,943.35,960.18,932.15,,1.45%
2024-09-10,937.67,942.90,951.76,936.68,,-0.02%
2024-09-09,937.89,922.85,948.00,920.26,,1.77%
2024-09-06,921.57,929.30,942.40,913.39,,-0.28%
2024-09-05,924.20,908.95,938.44,906.63,,2.40%
2024-09-04,902.50,908.75,918.18,900.31,,-0.08%
2024-09-03,903.25,930.60,932.23,899.94,,-2.88%
2024-09-02,930.05,929.60,934.42,922.72,,0.44%
2024-08-30,925.97,942.47,952.53,925.53,,-1.25%
2024-08-29,937.69,934.75,951.58,931.53,,0.83%
2024-08-28,929.97,962.90,964.70,931.00,,-2.47%
2024-08-27,953.50,963.13,966.17,952.48,,-0.88%
